thread,datetime,thread_url,post_id,post_timestamp,post_text
What can be done to motivate those safe entry people to be more interested in job?,20/2/2021 10:47,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/what-can-done-motivate-those-safe-entry-people-more-interested-job-6469427.html,132652059,20/2/2021 10:20,When they themselves tio covid.
What can be done to motivate those safe entry people to be more interested in job?,20/2/2021 10:47,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/what-can-done-motivate-those-safe-entry-people-more-interested-job-6469427.html,132652107,20/2/2021 10:24,Increase their pay based on the number of tt tokens scanned
What can be done to motivate those safe entry people to be more interested in job?,20/2/2021 10:47,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/what-can-done-motivate-those-safe-entry-people-more-interested-job-6469427.html,132652128,20/2/2021 10:25,kiddo23 wrote: Increase their pay based on the number of tt tokens scanned Not all got token lei Many still use hp And they always don't look at the hp to see if screenshot or real check in
What can be done to motivate those safe entry people to be more interested in job?,20/2/2021 10:47,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/what-can-done-motivate-those-safe-entry-people-more-interested-job-6469427.html,132652138,20/2/2021 10:26,Training them free to be security guard
What can be done to motivate those safe entry people to be more interested in job?,20/2/2021 10:47,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/what-can-done-motivate-those-safe-entry-people-more-interested-job-6469427.html,132652163,20/2/2021 10:28,"Rokusaburo wrote: Always see them never even bother to check people going in or out of buildings and more than half the time they always play hp and not do the job they are paid to do properly Pay them more lo, increase 2 times"
What can be done to motivate those safe entry people to be more interested in job?,20/2/2021 10:47,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/what-can-done-motivate-those-safe-entry-people-more-interested-job-6469427.html,132652173,20/2/2021 10:28,Kunkka wrote: Progression ladder to rise up based on performance Performance bonus per week
What can be done to motivate those safe entry people to be more interested in job?,20/2/2021 10:47,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/what-can-done-motivate-those-safe-entry-people-more-interested-job-6469427.html,132652495,20/2/2021 10:47,"hereticBoi wrote: Pay them more lo, increase 2 times I doubt pay them more they will be more motivated, they will still act the same and collect higher pay"
safe entry to scrap,12/2/2021 13:06,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/safe-entry-scrap-6464486.html,132491160,12/2/2021 12:59,"tell me.. how many of these stations setup get to detect and block someone w covid, or they are there for show only becos law say so...?! if that is e case since it serve no purpose, why still do all these unnecessary?"
safe entry to scrap,12/2/2021 13:06,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/safe-entry-scrap-6464486.html,132491190,12/2/2021 13:01,"charliebrown wrote: tell me.. how many of these stations setup get to detect and block someone w covid, or they are there for show only becos law say so...?! if that is e case since it serve no purpose, why still do all these unnecessary? Create job for Singaporean."
safe entry to scrap,12/2/2021 13:06,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/safe-entry-scrap-6464486.html,132491213,12/2/2021 13:02,"Yea... to create jobs lor...,"
safe entry to scrap,12/2/2021 13:06,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/safe-entry-scrap-6464486.html,132491238,12/2/2021 13:04,stimulate economy to prevent recession
safe entry to scrap,12/2/2021 13:06,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/safe-entry-scrap-6464486.html,132491284,12/2/2021 13:06,"charliebrown wrote: tell me.. how many of these stations setup get to detect and block someone w covid, or they are there for show only becos law say so...?! if that is e case since it serve no purpose, why still do all these unnecessary? Create jobs and give us an alternative to dog tags token People very kelian already lose high flying jobs, please don't break their last rice bowl ok?"
Eh! Now no need safeentry to enter shopping center?,12/2/2021 12:44,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/eh-now-no-need-safeentry-enter-shopping-center-6464336.html,132487965,12/2/2021 9:21,The guard there not there any more today All the people entering never scan anything Sent from Xiaomi REDMI NOTE 7 using GAGT
Eh! Now no need safeentry to enter shopping center?,12/2/2021 12:44,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/eh-now-no-need-safeentry-enter-shopping-center-6464336.html,132487984,12/2/2021 9:23,Which mall is this?
Eh! Now no need safeentry to enter shopping center?,12/2/2021 12:44,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/eh-now-no-need-safeentry-enter-shopping-center-6464336.html,132487986,12/2/2021 9:23,again start thread no pic
Eh! Now no need safeentry to enter shopping center?,12/2/2021 12:44,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/eh-now-no-need-safeentry-enter-shopping-center-6464336.html,132487993,12/2/2021 9:24,Errr...where?
Eh! Now no need safeentry to enter shopping center?,12/2/2021 12:44,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/eh-now-no-need-safeentry-enter-shopping-center-6464336.html,132488004,12/2/2021 9:25,"Still have, today no staff?"
