id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1249209573375979521,1249209573375979521,2020-04-12 13:35:46 +08,2020-04-12,13:35:46,+0800,2321908945,the134crew,TAKUYA,"{'type': 'Point', 'coordinates': [1.30705, 103.89573]}",Hair color : Charcoal Ash  Length : Medium  Style : Bob  Our brands : @milbon.corporate @olaplex @kglossofficial mucotaoriginal @Dyson @pravana  ——————————————— MUSUBI BOUTIQUE HAIR SALON (@the134crew) Done by…  https://t.co/XFoFRtXI51,en,"[{'screen_name': 'milbon', 'name': 'milbon preston', 'id': '37896235'}, {'screen_name': 'olaplex', 'name': 'olaplex', 'id': '2225822354'}, {'screen_name': 'kglossofficial', 'name': 'k-gloss', 'id': '3561788775'}, {'screen_name': 'dyson', 'name': 'dyson', 'id': '1410302630'}, {'screen_name': 'pravana', 'name': 'pravana anil', 'id': '1673553386'}, {'screen_name': 'the134crew', 'name': 'takuya', 'id': '2321908945'}]",['https://www.instagram.com/p/B-3omjUnNTQ/?igshid=19nqqy1rq1myj'],[],0,0,0,[],[],https://twitter.com/the134crew/status/1249209573375979521,False,,0,,Singapore,,,,,,[],,,,
1248155331538169857,1248155331538169857,2020-04-09 15:46:35 +08,2020-04-09,15:46:35,+0800,2321908945,the134crew,TAKUYA,"{'type': 'Point', 'coordinates': [1.30705, 103.89573]}",Hair color : Natural black  Length : Short  Style : Medium short  Our brands : @milbon.corporate @olaplex @kglossofficial mucotaoriginal @Dyson @pravana  ——————————————— MUSUBI BOUTIQUE HAIR SALON (@the134crew) Done…  https://t.co/8l5UE5rg4R,en,"[{'screen_name': 'milbon', 'name': 'milbon preston', 'id': '37896235'}, {'screen_name': 'olaplex', 'name': 'olaplex', 'id': '2225822354'}, {'screen_name': 'kglossofficial', 'name': 'k-gloss', 'id': '3561788775'}, {'screen_name': 'dyson', 'name': 'dyson', 'id': '1410302630'}, {'screen_name': 'pravana', 'name': 'pravana anil', 'id': '1673553386'}, {'screen_name': 'the134crew', 'name': 'takuya', 'id': '2321908945'}]",['https://www.instagram.com/p/B-wJMJEH0EM/?igshid=1uz3l9h2qh1u4'],[],0,0,0,[],[],https://twitter.com/the134crew/status/1248155331538169857,False,,0,,Singapore,,,,,,[],,,,
1247725184980848641,1247725184980848641,2020-04-08 11:17:20 +08,2020-04-08,11:17:20,+0800,2321908945,the134crew,TAKUYA,"{'type': 'Point', 'coordinates': [1.30705, 103.89573]}",Hair color : Jet black Length : Medium  Style : Bob Our brands : @milbon.corporate @olaplex @kglossofficial mucotaoriginal @Dyson @pravana  ——————————————— MUSUBI BOUTIQUE HAIR SALON (@the134crew) Done by Takuya…  https://t.co/tjoSpKhBaN,en,"[{'screen_name': 'milbon', 'name': 'milbon preston', 'id': '37896235'}, {'screen_name': 'olaplex', 'name': 'olaplex', 'id': '2225822354'}, {'screen_name': 'kglossofficial', 'name': 'k-gloss', 'id': '3561788775'}, {'screen_name': 'dyson', 'name': 'dyson', 'id': '1410302630'}, {'screen_name': 'pravana', 'name': 'pravana anil', 'id': '1673553386'}, {'screen_name': 'the134crew', 'name': 'takuya', 'id': '2321908945'}]",['https://www.instagram.com/p/B-tFlOKno8c/?igshid=s3605k3j37z1'],[],0,0,0,[],[],https://twitter.com/the134crew/status/1247725184980848641,False,,0,,Singapore,,,,,,[],,,,
1245926603097423872,1245926603097423872,2020-04-03 12:10:25 +08,2020-04-03,12:10:25,+0800,2321908945,the134crew,TAKUYA,"{'type': 'Point', 'coordinates': [1.30705, 103.89573]}",Hair color : Navy ash  Length : Medium  Style : Babybob  Our brands : @milbon.corporate @olaplex @kglossofficial mucotaoriginal @Dyson @pravana  ——————————————— MUSUBI BOUTIQUE HAIR SALON (@the134crew) Done by Takuya…  https://t.co/a4ImGregRI,en,"[{'screen_name': 'milbon', 'name': 'milbon preston', 'id': '37896235'}, {'screen_name': 'olaplex', 'name': 'olaplex', 'id': '2225822354'}, {'screen_name': 'kglossofficial', 'name': 'k-gloss', 'id': '3561788775'}, {'screen_name': 'dyson', 'name': 'dyson', 'id': '1410302630'}, {'screen_name': 'pravana', 'name': 'pravana anil', 'id': '1673553386'}, {'screen_name': 'the134crew', 'name': 'takuya', 'id': '2321908945'}]",['https://www.instagram.com/p/B-gTripnG25/?igshid=7ksa308watz0'],[],0,0,0,[],[],https://twitter.com/the134crew/status/1245926603097423872,False,,0,,Singapore,,,,,,[],,,,
1244945418032685062,1244945418032685062,2020-03-31 19:11:32 +08,2020-03-31,19:11:32,+0800,2321908945,the134crew,TAKUYA,"{'type': 'Point', 'coordinates': [1.30705, 103.89573]}",Hair color : Pink rose brown  Length : Medium  Style : Bob Our brands : @milbon.corporate @olaplex @kglossofficial mucotaoriginal @Dyson @pravana  ——————————————— MUSUBI BOUTIQUE HAIR SALON (@the134crew) Done by…  https://t.co/vffgJU7DAK,en,"[{'screen_name': 'milbon', 'name': 'milbon preston', 'id': '37896235'}, {'screen_name': 'olaplex', 'name': 'olaplex', 'id': '2225822354'}, {'screen_name': 'kglossofficial', 'name': 'k-gloss', 'id': '3561788775'}, {'screen_name': 'dyson', 'name': 'dyson', 'id': '1410302630'}, {'screen_name': 'pravana', 'name': 'pravana anil', 'id': '1673553386'}, {'screen_name': 'the134crew', 'name': 'takuya', 'id': '2321908945'}]",['https://www.instagram.com/p/B-ZVfbJHokz/?igshid=1erfwtgytmy91'],[],0,0,0,[],[],https://twitter.com/the134crew/status/1244945418032685062,False,,0,,Singapore,,,,,,[],,,,
1244234446515122176,1244234446515122176,2020-03-29 20:06:23 +08,2020-03-29,20:06:23,+0800,141190901,shiguan_tan,Tan Shi Guan,"{'type': 'Point', 'coordinates': [1.30705, 103.89573]}",Back to the 90’s  📷: @the134crew  💇🏻‍♂️: @the134crew @ MUSUBI BOUTIQUE HAIR SALON  https://t.co/HY25St26iQ,en,"[{'screen_name': 'the134crew', 'name': 'takuya', 'id': '2321908945'}, {'screen_name': 'the134crew', 'name': 'takuya', 'id': '2321908945'}]",['https://www.instagram.com/p/B-USLPEHiIz/?igshid=yez65iijd7bl'],[],0,0,0,[],[],https://twitter.com/ShiGuan_Tan/status/1244234446515122176,False,,0,,Singapore,,,,,,[],,,,
1243400396892069889,1243400396892069889,2020-03-27 12:52:10 +08,2020-03-27,12:52:10,+0800,2321908945,the134crew,TAKUYA,"{'type': 'Point', 'coordinates': [1.30705, 103.89573]}",Hair color : Black Length : Medium  Style : Mixed body perm  Our brands : @milbon.corporate @olaplex @kglossofficial mucotaoriginal @Dyson @pravana  ——————————————— MUSUBI BOUTIQUE HAIR SALON (@the134crew) Done by…  https://t.co/eTpE3dRlpG,en,"[{'screen_name': 'milbon', 'name': 'milbon preston', 'id': '37896235'}, {'screen_name': 'olaplex', 'name': 'olaplex', 'id': '2225822354'}, {'screen_name': 'kglossofficial', 'name': 'k-gloss', 'id': '3561788775'}, {'screen_name': 'dyson', 'name': 'dyson', 'id': '1410302630'}, {'screen_name': 'pravana', 'name': 'pravana anil', 'id': '1673553386'}, {'screen_name': 'the134crew', 'name': 'takuya', 'id': '2321908945'}]",['https://www.instagram.com/p/B-OW5ZuHGFF/?igshid=9qs2r6uga90n'],[],0,0,0,[],[],https://twitter.com/the134crew/status/1243400396892069889,False,,0,,Singapore,,,,,,[],,,,
1240553070469226496,1240553070469226496,2020-03-19 16:17:55 +08,2020-03-19,16:17:55,+0800,2321908945,the134crew,TAKUYA,"{'type': 'Point', 'coordinates': [1.30705, 103.89573]}",Hair color : Black  Length : Medium  Style : Medium bob Our brands : @milbon.corporate @olaplex @kglossofficial mucotaoriginal @Dyson @pravana  ——————————————— MUSUBI BOUTIQUE HAIR SALON (@the134crew) Done by Takuya…  https://t.co/2f3O11KPYq,en,"[{'screen_name': 'milbon', 'name': 'milbon preston', 'id': '37896235'}, {'screen_name': 'olaplex', 'name': 'olaplex', 'id': '2225822354'}, {'screen_name': 'kglossofficial', 'name': 'k-gloss', 'id': '3561788775'}, {'screen_name': 'dyson', 'name': 'dyson', 'id': '1410302630'}, {'screen_name': 'pravana', 'name': 'pravana anil', 'id': '1673553386'}, {'screen_name': 'the134crew', 'name': 'takuya', 'id': '2321908945'}]",['https://www.instagram.com/p/B96IFK1HQT4/?igshid=14dehgh0uv3vj'],[],0,0,0,[],[],https://twitter.com/the134crew/status/1240553070469226496,False,,0,,Singapore,,,,,,[],,,,
1240216236392206338,1240216236392206338,2020-03-18 17:59:27 +08,2020-03-18,17:59:27,+0800,76619876,ignatiusdamai,Ignatius Damai,"{'type': 'Point', 'coordinates': [1.29815, 103.85561]}",Compulsary post hair cut selfie. Awesome style as always by vehairsalon #haircut #hairstyle #hairstagram #newhairoldme #somethingsneverchange @ V.E Hair Salon  https://t.co/CdN2ZBoxkW,en,[],['https://www.instagram.com/p/B93u6HfFdaV/?igshid=22bkjzrf794y'],[],0,0,0,"['haircut', 'hairstyle', 'hairstagram', 'newhairoldme', 'somethingsneverchange']",[],https://twitter.com/ignatiusdamai/status/1240216236392206338,False,,0,,Singapore,,,,,,[],,,,
1238305650926669825,1238305650926669825,2020-03-13 11:27:28 +08,2020-03-13,11:27:28,+0800,2321908945,the134crew,TAKUYA,"{'type': 'Point', 'coordinates': [1.30705, 103.89573]}",Hair color : Ash blonde  Length . Long  Style : Long layered  Our brands : @milbon.corporate @olaplex @kglossofficial mucotaoriginal @Dyson @pravana  ——————————————— MUSUBI BOUTIQUE HAIR SALON (@the134crew) Done by…  https://t.co/ujCvRVEZXq,en,"[{'screen_name': 'milbon', 'name': 'milbon preston', 'id': '37896235'}, {'screen_name': 'olaplex', 'name': 'olaplex', 'id': '2225822354'}, {'screen_name': 'kglossofficial', 'name': 'k-gloss', 'id': '3561788775'}, {'screen_name': 'dyson', 'name': 'dyson', 'id': '1410302630'}, {'screen_name': 'pravana', 'name': 'pravana anil', 'id': '1673553386'}, {'screen_name': 'the134crew', 'name': 'takuya', 'id': '2321908945'}]",['https://www.instagram.com/p/B9qKEpzn5k8/?igshid=1vxk4hrosxlvs'],[],0,0,0,[],[],https://twitter.com/the134crew/status/1238305650926669825,False,,0,,Singapore,,,,,,[],,,,
