,id,conversation_id,date,time,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,link,video,reply_to,processed_text,demojize_text
29,1260095475178287105,1260095475178287105,2020-05-12,14:32:27,1167115302439538688,gerlie_queen,gbt,,Serving stay home notice with a Chef flatmate is really ❤️  https://t.co/yUH7uGAF8s,en,[],[],['https://pbs.twimg.com/media/EXzCJtuU4AAQgNu.jpg'],0,0,0,[],https://twitter.com/gerlie_queen/status/1260095475178287105,1,[],"['serv', 'stay', 'home', 'notic', 'chef', 'flatmat', 'realli']",Serving stay home notice with a Chef flatmate is really :red_heart:  https://t.co/yUH7uGAF8s
30,1259442323227676672,1259442323227676672,2020-05-10,19:17:03,363494868,arvintunas,Tunas Harapan Bangsa Dan Negara Federal Republik,,21 days into Stay Home Notice....8 days to go,en,[],[],[],0,0,0,[],https://twitter.com/ArvinTunas/status/1259442323227676672,0,[],"['day', 'stay', 'home', 'notic', 'day', 'go']",21 days into Stay Home Notice....8 days to go
32,1258061337441296384,1258061337441296384,2020-05-06,23:49:31,59167125,missstaceytan,Stacey Tan,"{'type': 'Point', 'coordinates': [1.29306, 103.856]}","#year2020  . . . When you finish complaining about the lockdown, stay at home notice, getting bored at home...remember...we are part of the history... . . . When the world united as one to fight together...and the…  https://t.co/awR9LsctJK",en,[],['https://www.instagram.com/p/B_2h6vShXYw/?igshid=14oic5j5pm02d'],[],0,0,0,['year2020'],https://twitter.com/missStaceyTan/status/1258061337441296384,0,[],"['finish', 'complain', 'lockdown', 'stay', 'home', 'notic', 'get', 'bore', 'home', 'rememb', 'part', 'histori', 'world', 'unit', 'one', 'fight', 'togeth']","#year2020  . . . When you finish complaining about the lockdown, stay at home notice, getting bored at home...remember...we are part of the history... . . . When the world united as one to fight together...and the…  https://t.co/awR9LsctJK"
33,1256479232248754176,1256479232248754176,2020-05-02,15:02:47,26206160,ishtefh,Steff,"{'type': 'Point', 'coordinates': [1.29306, 103.856]}","I haven't been studying Japanese for these past few months due to being busy with work stuff and other things, so now since Singapore's so called ""circuit breaker"" was extended until June, then my ""stay home notice""…  https://t.co/nSAr4Zbix1",en,[],['https://www.instagram.com/p/B_rSdZjhzun/?igshid=jd2zb68dhlq1'],[],0,0,0,[],https://twitter.com/ishtefh/status/1256479232248754176,0,[],"['studi', 'japanes', 'past', 'month', 'due', 'busi', 'work', 'stuff', 'thing', 'sinc', 'singapor', 'call', 'circuit', 'breaker', 'extend', 'june', 'stay', 'home', 'notic']","I haven't been studying Japanese for these past few months due to being busy with work stuff and other things, so now since Singapore's so called ""circuit breaker"" was extended until June, then my ""stay home notice""…  https://t.co/nSAr4Zbix1"
34,1256110507037126658,1256110507037126658,2020-05-01,14:37:36,104100715,quenniedevega,Quennie,,Extended Stay-Home-Notice  https://t.co/zAjhvSHcbM,en,[],[],['https://pbs.twimg.com/tweet_video_thumb/EW6Z12nVcAEf8Ho.jpg'],0,0,1,[],https://twitter.com/quenniedevega/status/1256110507037126658,1,[],['extend'],Extended Stay-Home-Notice  https://t.co/zAjhvSHcbM
35,1252799147603714053,1252161514770923520,2020-04-22,11:19:27,57106106,perry_young,PerryYoung,,@jenniferludt @TomBossert you don’t need to ask anyone for permission unless you have been issued a Stay at Home Notice SHN. Hear you re: US,en,[],[],[],1,0,0,[],https://twitter.com/Perry_Young/status/1252799147603714053,0,"[{'screen_name': 'TomBossert', 'name': 'Thomas P. Bossert', 'id': '1399966783'}]","['need', 'ask', 'anyon', 'permiss', 'unless', 'issu', 'stay', 'home', 'notic', 'shn', 'hear', 'us']",@jenniferludt @TomBossert you don’t need to ask anyone for permission unless you have been issued a Stay at Home Notice SHN. Hear you re: US
36,1252049552787378177,1252049552787378177,2020-04-20,09:40:49,2297285306,arfarfil,A R F 🇵🇭🇸🇬,,"Strict 14 days stay home notice for all employees under construction “sector” across the country. Even going to market is not allowed, okay I’ll be locked up until next month right after my birthday. 🤦🏻‍♂️   Pero mas okay na yon atleast safe. 👌🏻",en,[],[],[],0,0,4,[],https://twitter.com/arfarfil/status/1252049552787378177,0,[],"['strict', 'day', 'stay', 'home', 'notic', 'employe', 'construct', 'sector', 'across', 'countri', 'even', 'go', 'market', 'allow', 'okay', 'lock', 'next', 'month', 'right', 'birthday', 'pero', 'ma', 'okay', 'na', 'yon', 'atleast', 'safe']","Strict 14 days stay home notice for all employees under construction “sector” across the country. Even going to market is not allowed, okay I’ll be locked up until next month right after my birthday. :man_facepalming_light_skin_tone:   Pero mas okay na yon atleast safe. :OK_hand_light_skin_tone:"
37,1251699662668496898,1250936273096724480,2020-04-19,10:30:29,15291489,wce917,Christopher Ellis 🇸🇬🇺🇸,,@jamesplloyd And announced all placed on stay at home notice now   https://t.co/4ATWxREp9l,en,[],['https://www.channelnewsasia.com/news/singapore/construction-workers-work-permit-s-pass-stay-home-notice-covid19-12655534'],[],0,0,1,[],https://twitter.com/wce917/status/1251699662668496898,0,"[{'screen_name': 'jamesplloyd', 'name': 'James Lloyd', 'id': '97003436'}]","['announc', 'place', 'stay', 'home', 'notic']",@jamesplloyd And announced all placed on stay at home notice now   https://t.co/4ATWxREp9l
38,1251371809603280897,1251371809603280897,2020-04-18,12:47:43,129636924,vaishnavi,vaishnavi,"{'type': 'Point', 'coordinates': [1.30841104, 103.83592101]}","After nine days of asking for salt and getting tiny individual packets, my Stay Home Notice hotel finally decided to give me this and I just want to say I hope we both learned something today  https://t.co/JqC6VRslB3",en,[],[],['https://pbs.twimg.com/media/EV3EBeWUYAEy9Tb.jpg'],4,0,15,[],https://twitter.com/vaishnavi/status/1251371809603280897,1,[],"['nine', 'day', 'ask', 'salt', 'get', 'tini', 'individu', 'packet', 'stay', 'home', 'notic', 'hotel', 'final', 'decid', 'give', 'want', 'say', 'hope', 'learn', 'someth', 'today']","After nine days of asking for salt and getting tiny individual packets, my Stay Home Notice hotel finally decided to give me this and I just want to say I hope we both learned something today  https://t.co/JqC6VRslB3"
39,1251050595231784962,1251050595231784962,2020-04-17,15:31:19,738288294220304384,jaekyunnie06,⭐ᗰᑌᒪTIᖴᗩᑎᗪOᗰ KᑭOᑭᖴᖇEᗩK ᒍᗩEKYᑌᑎᑎIE,,My housemates keeps on feeding me since the first day of Circuit Breaker 😭 I need to repay their kindness but I can't go out due to my 14days stay home notice argh!,en,[],[],[],0,0,1,[],https://twitter.com/jaekyunnie06/status/1251050595231784962,0,[],"['housem', 'keep', 'feed', 'sinc', 'first', 'day', 'circuit', 'breaker', 'need', 'repay', 'kind', 'ca', 'go', 'due', 'stay', 'home', 'notic', 'argh']",My housemates keeps on feeding me since the first day of Circuit Breaker :loudly_crying_face: I need to repay their kindness but I can't go out due to my 14days stay home notice argh!
40,1249588930581676033,1249585327452221440,2020-04-13,14:43:11,145205455,fitriextreme,◢ ◤,,@hzqhadrna Stay home notice. Tapi aku kene kat Hotel.,en,[],[],[],1,0,0,[],https://twitter.com/FitriExtreme/status/1249588930581676033,0,"[{'screen_name': 'hzqhadrna', 'name': '𝒽𝒶𝓏', 'id': '3240172423'}]","['stay', 'home', 'notic', 'tapi', 'aku', 'kene', 'kat', 'hotel']",@hzqhadrna Stay home notice. Tapi aku kene kat Hotel.
42,1247700238661349381,1247559480042119168,2020-04-08,09:38:12,3303353729,mitch_leow,Mitch Leow 廖为政,,Sister helping me celebrate the end of my Stay Home Notice - which leads on into the month long shutdown on this island.  https://t.co/wfuTYWKHAC,en,[],[],['https://pbs.twimg.com/media/EVC4wCBU4AACiBn.jpg'],0,0,0,[],https://twitter.com/mitch_leow/status/1247700238661349381,1,[],"['sister', 'help', 'celebr', 'end', 'stay', 'home', 'notic', 'lead', 'month', 'long', 'shutdown', 'island']",Sister helping me celebrate the end of my Stay Home Notice - which leads on into the month long shutdown on this island.  https://t.co/wfuTYWKHAC
43,1246349561477513221,1246024332310016002,2020-04-04,16:11:06,40859142,fafuierice,Fafui,,"@renzyfrenzy Yes! Naka stay home notice ako required by gov’t. Lemon water muna and I’m also drinking meds given by the doctor! Thanks, Renzy!!",en,[],[],[],0,0,0,[],https://twitter.com/fafuierice/status/1246349561477513221,0,"[{'screen_name': 'renzyfrenzy', 'name': 'Renzy', 'id': '170646553'}]","['ye', 'naka', 'stay', 'home', 'notic', 'ako', 'requir', 'gov', 'lemon', 'water', 'muna', 'also', 'drink', 'med', 'given', 'doctor', 'thank', 'renzi']","@renzyfrenzy Yes! Naka stay home notice ako required by gov’t. Lemon water muna and I’m also drinking meds given by the doctor! Thanks, Renzy!!"
44,1246127375999553537,1246127375999553537,2020-04-04,01:28:13,720434494998585344,frederickquek,Frederick Quek,"{'type': 'Point', 'coordinates': [1.29306, 103.856]}","[MARCH 31, 2020] ""As currently that I'm aware of the COVID-19 is getting worsened. I'm home the whole day. And I'm terrified to notice that, how hard of their lives can survive? It's not just that. We must all stay…  https://t.co/BBYmE0QEt5",en,[],['https://www.instagram.com/p/B-hu-2VBO8Q/?igshid=77y7pu28anyc'],[],0,0,0,[],https://twitter.com/FrederickQuek/status/1246127375999553537,0,[],"['march', 'current', 'awar', 'get', 'worsen', 'home', 'whole', 'day', 'terrifi', 'notic', 'hard', 'live', 'surviv', 'must']","[MARCH 31, 2020] ""As currently that I'm aware of the COVID-19 is getting worsened. I'm home the whole day. And I'm terrified to notice that, how hard of their lives can survive? It's not just that. We must all stay…  https://t.co/BBYmE0QEt5"
45,1246024332310016002,1246024332310016002,2020-04-03,18:38:45,40859142,fafuierice,Fafui,,"Today, I was coughing so my boss sent me home and told me to go to the doctor because the gov’t spot checks companies. I went to the doctor and he told me my throat is red so he has to issue me an MC (sick leave) for 5 days. And it’s a Stay-At-Home Notice which means I can’t,",en,[],[],[],2,0,0,[],https://twitter.com/fafuierice/status/1246024332310016002,0,[],"['today', 'cough', 'boss', 'sent', 'home', 'told', 'go', 'doctor', 'gov', 'spot', 'check', 'compani', 'went', 'doctor', 'told', 'throat', 'red', 'issu', 'mc', 'sick', 'leav', 'day', 'notic', 'mean']","Today, I was coughing so my boss sent me home and told me to go to the doctor because the gov’t spot checks companies. I went to the doctor and he told me my throat is red so he has to issue me an MC (sick leave) for 5 days. And it’s a Stay-At-Home Notice which means I can’t,"
