Unnamed: 0,Unnamed: 0.1,Post Description,Post Datetime,Comments,Comment Datetime,num_words,Topic,Length,Length Category,Average Loglikelihood,Num Verbs,Num Discourse Relations,Num Pronouns,Relevance score,Relevance Score Category,actionable,valuable
1240,1585,"Singapore may enter phase 3 of its reopening by the end of this year, should community cases remain low as the country intensifies testing and contact tracing.
Gatherings outside homes could be increased from 5 to 8 people. Similarly, 8 visitors could be allowed on home visits, allowing larger families to congregate.
Link in bio @straits_times
ðŸ“¸: Lim Yaohui
#phase3 #coronavirus #covid19 #StraitsTimes",2020-10-20 11:07:45+00:00,Huh 8 for family? Only another 3 more? Doesn't make sense for phase 3.... 🤔,2020-10-22 10:58:59+00:00,10,Social Distancing,14,1,-10.910436200585039,1,0,0,14.314157420614006,2,0,0.0
1241,1587,"Singapore may enter phase 3 of its reopening by the end of this year, should community cases remain low as the country intensifies testing and contact tracing.
Gatherings outside homes could be increased from 5 to 8 people. Similarly, 8 visitors could be allowed on home visits, allowing larger families to congregate.
Link in bio @straits_times
ðŸ“¸: Lim Yaohui
#phase3 #coronavirus #covid19 #StraitsTimes",2020-10-20 11:07:45+00:00,When will Geylang be open?Other businesses can resume but not Geylang??Why the double standards?,2020-10-31 00:35:20+00:00,16,Social Distancing,16,1,-11.958977597987008,2,1,0,8.956402970921674,1,0,0.0
1242,1588,"Singapore may enter phase 3 of its reopening by the end of this year, should community cases remain low as the country intensifies testing and contact tracing.
Gatherings outside homes could be increased from 5 to 8 people. Similarly, 8 visitors could be allowed on home visits, allowing larger families to congregate.
Link in bio @straits_times
ðŸ“¸: Lim Yaohui
#phase3 #coronavirus #covid19 #StraitsTimes",2020-10-20 11:07:45+00:00,I will try my best to find 7 person I like as friends before phase 3,2020-10-20 13:26:18+00:00,14,Social Distancing,16,1,-10.10213395781845,3,0,2,14.314157420614002,2,0,0.0
1243,1589,"Singapore may enter phase 3 of its reopening by the end of this year, should community cases remain low as the country intensifies testing and contact tracing.
Gatherings outside homes could be increased from 5 to 8 people. Similarly, 8 visitors could be allowed on home visits, allowing larger families to congregate.
Link in bio @straits_times
ðŸ“¸: Lim Yaohui
#phase3 #coronavirus #covid19 #StraitsTimes",2020-10-20 11:07:45+00:00,Nice dun have to eat separately le,2020-10-20 13:32:45+00:00,7,Social Distancing,7,0,-13.305922090612759,2,1,0,21.85377547518344,3,0,0.0
1244,1590,"Singapore may enter phase 3 of its reopening by the end of this year, should community cases remain low as the country intensifies testing and contact tracing.
Gatherings outside homes could be increased from 5 to 8 people. Similarly, 8 visitors could be allowed on home visits, allowing larger families to congregate.
Link in bio @straits_times
ðŸ“¸: Lim Yaohui
#phase3 #coronavirus #covid19 #StraitsTimes",2020-10-20 11:07:45+00:00,"Ha ha, HK preparing for 4th wave 😅",2020-10-20 13:37:21+00:00,6,Social Distancing,7,0,-14.664217311825425,0,0,0,12.263892185273145,2,0,0.0
1245,1592,"Singapore may enter phase 3 of its reopening by the end of this year, should community cases remain low as the country intensifies testing and contact tracing.
Gatherings outside homes could be increased from 5 to 8 people. Similarly, 8 visitors could be allowed on home visits, allowing larger families to congregate.
Link in bio @straits_times
ðŸ“¸: Lim Yaohui
#phase3 #coronavirus #covid19 #StraitsTimes",2020-10-20 11:07:45+00:00,@jamalmizuki the cutest social gathering evahhhh,2020-10-20 13:53:56+00:00,5,Social Distancing,5,0,-15.355867190829574,0,0,0,21.85377547518344,3,0,0.0
1246,1594,"Singapore may enter phase 3 of its reopening by the end of this year, should community cases remain low as the country intensifies testing and contact tracing.
Gatherings outside homes could be increased from 5 to 8 people. Similarly, 8 visitors could be allowed on home visits, allowing larger families to congregate.
Link in bio @straits_times
ðŸ“¸: Lim Yaohui
#phase3 #coronavirus #covid19 #StraitsTimes",2020-10-20 11:07:45+00:00,How do the statisticians in the govt derive at the magic no. 8? I’m curious. Pls enlighten.,2020-10-20 13:57:30+00:00,17,Social Distancing,17,1,-11.33606294088707,1,0,0,8.157520887733783,1,0,0.0
1247,1597,"Singapore may enter phase 3 of its reopening by the end of this year, should community cases remain low as the country intensifies testing and contact tracing.
Gatherings outside homes could be increased from 5 to 8 people. Similarly, 8 visitors could be allowed on home visits, allowing larger families to congregate.
Link in bio @straits_times
ðŸ“¸: Lim Yaohui
#phase3 #coronavirus #covid19 #StraitsTimes",2020-10-20 11:07:45+00:00,Yay!! We can all sit at the same table soon. 💕 @hidayahosman @ilagee_ @crownstephmable @miraalwi @shatterism @ataxophobia,2020-10-20 14:52:46+00:00,10,Social Distancing,10,0,-14.700295197145234,1,0,0,8.157520887733781,1,0,0.0
1248,1598,"Singapore may enter phase 3 of its reopening by the end of this year, should community cases remain low as the country intensifies testing and contact tracing.
Gatherings outside homes could be increased from 5 to 8 people. Similarly, 8 visitors could be allowed on home visits, allowing larger families to congregate.
Link in bio @straits_times
ðŸ“¸: Lim Yaohui
#phase3 #coronavirus #covid19 #StraitsTimes",2020-10-20 11:07:45+00:00,What 8? I don't even have 5 friends. 😒,2020-10-20 14:53:14+00:00,5,Social Distancing,8,0,-9.306712881693263,2,0,0,41.612888760855476,4,0,0.0
1249,1600,"Singapore may enter phase 3 of its reopening by the end of this year, should community cases remain low as the country intensifies testing and contact tracing.
Gatherings outside homes could be increased from 5 to 8 people. Similarly, 8 visitors could be allowed on home visits, allowing larger families to congregate.
Link in bio @straits_times
ðŸ“¸: Lim Yaohui
#phase3 #coronavirus #covid19 #StraitsTimes",2020-10-20 11:07:45+00:00,When can we play 11 aside football???,2020-10-20 15:12:18+00:00,6,Social Distancing,7,0,-10.957934354743259,1,0,1,41.612888760855476,4,0,0.0
