Post Description,Post Datetime,Comments,Comment Datetime,num_words,Topic,Length,Length Category,Average Loglikelihood,Num Verbs,Num Discourse Relations,Num Pronouns,Relevance score,Relevance Score Category,actionable,valuable
"We are making progress in controlling the outbreak. The daily infection numbers in the community have been coming down steadily.  In recent days, the number of daily new community cases has been at single digits. If this continues over the next two weeks, we will be in a good position to consider easing on some of the circuit breaker measures after 1 June, but in a careful and calibrated manner.

Note: Table shows the average daily cases over the various time periods, and across different categories",2020-05-14 12:13:56+00:00,PLEASE CHECK OUT MY LATEST 2 posts 🙏🏾 #SaveNursing,2020-05-14,6,Circuit Breaker,7,0,-17.4333928691097,0,0,1,16.878382655329126,2,0,0.0
"We are making progress in controlling the outbreak. The daily infection numbers in the community have been coming down steadily.  In recent days, the number of daily new community cases has been at single digits. If this continues over the next two weeks, we will be in a good position to consider easing on some of the circuit breaker measures after 1 June, but in a careful and calibrated manner.

Note: Table shows the average daily cases over the various time periods, and across different categories",2020-05-14 12:13:56+00:00,But the dorms  infected  still Super high. Reopening should be in@phrases too stay vigilant🙏,2020-05-14,14,Circuit Breaker,14,1,-11.893560234681349,2,1,0,36.84829056280765,4,1,0.0
"We are making progress in controlling the outbreak. The daily infection numbers in the community have been coming down steadily.  In recent days, the number of daily new community cases has been at single digits. If this continues over the next two weeks, we will be in a good position to consider easing on some of the circuit breaker measures after 1 June, but in a careful and calibrated manner.

Note: Table shows the average daily cases over the various time periods, and across different categories",2020-05-14 12:13:56+00:00,Please don’t open the gym and allow dine in yet.,2020-05-15,11,Circuit Breaker,10,0,-10.853864813528359,3,1,0,26.835207397830878,3,0,0.0
"We are making progress in controlling the outbreak. The daily infection numbers in the community have been coming down steadily.  In recent days, the number of daily new community cases has been at single digits. If this continues over the next two weeks, we will be in a good position to consider easing on some of the circuit breaker measures after 1 June, but in a careful and calibrated manner.

Note: Table shows the average daily cases over the various time periods, and across different categories",2020-05-14 12:13:56+00:00,It is good sign with all the gov decisive measures and hard work of frontier... but dorm cases will be remained hard challenges to healthcare and some industries to resume ! Thanks,2020-05-15,31,Circuit Breaker,31,2,-10.783581300071322,5,2,0,11.44584828336689,2,0,0.0
"We are making progress in controlling the outbreak. The daily infection numbers in the community have been coming down steadily.  In recent days, the number of daily new community cases has been at single digits. If this continues over the next two weeks, we will be in a good position to consider easing on some of the circuit breaker measures after 1 June, but in a careful and calibrated manner.

Note: Table shows the average daily cases over the various time periods, and across different categories",2020-05-14 12:13:56+00:00,"Please exercise caution, Minister. When the hair salons medical halls and dessert shops were opened at start of this week, I see so many people crowding out there while on SD duties. It's worrying.",2020-05-15,33,Circuit Breaker,34,2,-11.55917071639717,5,2,1,6.385459797784812,1,0,0.0
"We are making progress in controlling the outbreak. The daily infection numbers in the community have been coming down steadily.  In recent days, the number of daily new community cases has been at single digits. If this continues over the next two weeks, we will be in a good position to consider easing on some of the circuit breaker measures after 1 June, but in a careful and calibrated manner.

Note: Table shows the average daily cases over the various time periods, and across different categories",2020-05-14 12:13:56+00:00,"@lawrencewongst Mr Wong, I respect you the most out of all the ministers who make up the Covid taskforce, and am generally assured with you heading the team. However  the key question to ask here is - does it make sense to virtually lockdown the entire country for extended number of weeks, when we have seen clearly that the average number of community cases is only from single digits to the high teens for awhile now? Singaporeans and businesses alike have been on the receiving end of the strict measures put in place, through entirely no fault of theirs. While the foreign worker dormitories oversight is unfortunate, trying to overcompensate for an earlier mistake with excessively draconian measures is not the way to go. The risk and reward trade-offs here are clearly unbalanced.",2020-05-15,130,Circuit Breaker,132,4,-10.922102109957793,24,4,3,2.385054154808897,0,0,1.0
"We are making progress in controlling the outbreak. The daily infection numbers in the community have been coming down steadily.  In recent days, the number of daily new community cases has been at single digits. If this continues over the next two weeks, we will be in a good position to consider easing on some of the circuit breaker measures after 1 June, but in a careful and calibrated manner.

Note: Table shows the average daily cases over the various time periods, and across different categories",2020-05-14 12:13:56+00:00,"Sir, thanks for opening up the construction sector soon. But to have all workers come under one roof despite from 10 different companies is a challenge. Can we think of other way. We did so much to test every worker. Can we harness technology and big data on this. Test results and dates of last test can be made known and shared when we scan their work permits. With the sharing of testing data, can we find some other way of control. Thanks",2020-05-15,82,Circuit Breaker,83,3,-10.230405031452426,16,3,4,3.859080159904112,0,0,1.0
"We are making progress in controlling the outbreak. The daily infection numbers in the community have been coming down steadily.  In recent days, the number of daily new community cases has been at single digits. If this continues over the next two weeks, we will be in a good position to consider easing on some of the circuit breaker measures after 1 June, but in a careful and calibrated manner.

Note: Table shows the average daily cases over the various time periods, and across different categories",2020-05-14 12:13:56+00:00,Just a curious question will your team be releasing the step of what going to be opening up in a up coming week?,2020-05-16,23,Circuit Breaker,23,1,-9.516678401805752,6,0,1,26.835207397830878,3,0,0.0
"We are making progress in controlling the outbreak. The daily infection numbers in the community have been coming down steadily.  In recent days, the number of daily new community cases has been at single digits. If this continues over the next two weeks, we will be in a good position to consider easing on some of the circuit breaker measures after 1 June, but in a careful and calibrated manner.

Note: Table shows the average daily cases over the various time periods, and across different categories",2020-05-14 12:13:56+00:00,Thank you Sir for keeping us safe. It’s time to open up all the gyms 👍👍,2020-05-14,16,Circuit Breaker,15,1,-10.3190402196651,2,0,2,26.835207397830878,3,0,0.0
"We are making progress in controlling the outbreak. The daily infection numbers in the community have been coming down steadily.  In recent days, the number of daily new community cases has been at single digits. If this continues over the next two weeks, we will be in a good position to consider easing on some of the circuit breaker measures after 1 June, but in a careful and calibrated manner.

Note: Table shows the average daily cases over the various time periods, and across different categories",2020-05-14 12:13:56+00:00,"Thank you sir, take care of health and rest well",2020-05-14,10,Circuit Breaker,10,0,-10.371524695147793,2,1,1,26.835207397830878,3,0,0.0
