,Unnamed: 0,Post Description,Post Datetime,Comments,Comment Datetime,num_words
454,675,"If the proposed wearable device works well, the Government may distribute it to everyone in Singapore, said Dr Vivian Balakrishnan.
The Minister-in-charge of the Smart Nation Initiative added that the move will be more inclusive and ensure everyone in the country remains protected from Covid-19.
Link in bio @straits_times
📸: Kelvin Chng
#coronavirus #covid19 #StraitsTimes #SGUnited",2020-06-05 08:38:22+00:00,Are the government treating singaporean like a prisoners.,2020-06-05 20:50:10+00:00,8
455,676,"If the proposed wearable device works well, the Government may distribute it to everyone in Singapore, said Dr Vivian Balakrishnan.
The Minister-in-charge of the Smart Nation Initiative added that the move will be more inclusive and ensure everyone in the country remains protected from Covid-19.
Link in bio @straits_times
📸: Kelvin Chng
#coronavirus #covid19 #StraitsTimes #SGUnited",2020-06-05 08:38:22+00:00,"Lucky, Singapore residents ! Should be thankful that the Govt takes all these precautionary measures ..",2020-06-05 22:28:14+00:00,14
456,677,"If the proposed wearable device works well, the Government may distribute it to everyone in Singapore, said Dr Vivian Balakrishnan.
The Minister-in-charge of the Smart Nation Initiative added that the move will be more inclusive and ensure everyone in the country remains protected from Covid-19.
Link in bio @straits_times
📸: Kelvin Chng
#coronavirus #covid19 #StraitsTimes #SGUnited",2020-06-05 08:38:22+00:00,We’re gonna be liked tracked birds and dogs. 👍👍👍,2020-06-05 22:48:21+00:00,9
457,678,"If the proposed wearable device works well, the Government may distribute it to everyone in Singapore, said Dr Vivian Balakrishnan.
The Minister-in-charge of the Smart Nation Initiative added that the move will be more inclusive and ensure everyone in the country remains protected from Covid-19.
Link in bio @straits_times
📸: Kelvin Chng
#coronavirus #covid19 #StraitsTimes #SGUnited",2020-06-05 08:38:22+00:00,@imsyaaban dh tk srg ah gini😂,2020-06-05 23:17:24+00:00,5
458,679,"If the proposed wearable device works well, the Government may distribute it to everyone in Singapore, said Dr Vivian Balakrishnan.
The Minister-in-charge of the Smart Nation Initiative added that the move will be more inclusive and ensure everyone in the country remains protected from Covid-19.
Link in bio @straits_times
📸: Kelvin Chng
#coronavirus #covid19 #StraitsTimes #SGUnited",2020-06-05 08:38:22+00:00,is it going to be some sort of a watch?,2020-06-05 14:10:35+00:00,10
459,680,"If the proposed wearable device works well, the Government may distribute it to everyone in Singapore, said Dr Vivian Balakrishnan.
The Minister-in-charge of the Smart Nation Initiative added that the move will be more inclusive and ensure everyone in the country remains protected from Covid-19.
Link in bio @straits_times
📸: Kelvin Chng
#coronavirus #covid19 #StraitsTimes #SGUnited",2020-06-05 08:38:22+00:00,Can we say NO to have this tracking device?,2020-06-05 14:17:41+00:00,9
460,681,"If the proposed wearable device works well, the Government may distribute it to everyone in Singapore, said Dr Vivian Balakrishnan.
The Minister-in-charge of the Smart Nation Initiative added that the move will be more inclusive and ensure everyone in the country remains protected from Covid-19.
Link in bio @straits_times
📸: Kelvin Chng
#coronavirus #covid19 #StraitsTimes #SGUnited",2020-06-05 08:38:22+00:00,Who on earth wants to be traced by a government 24h-7. No thanks. 1984 is coming.,2020-06-05 14:30:44+00:00,14
461,682,"If the proposed wearable device works well, the Government may distribute it to everyone in Singapore, said Dr Vivian Balakrishnan.
The Minister-in-charge of the Smart Nation Initiative added that the move will be more inclusive and ensure everyone in the country remains protected from Covid-19.
Link in bio @straits_times
📸: Kelvin Chng
#coronavirus #covid19 #StraitsTimes #SGUnited",2020-06-05 08:38:22+00:00,Is this gonna have an inbuilt voice recorder and spycam as well while they're at it.,2020-06-05 14:32:11+00:00,15
462,685,"If the proposed wearable device works well, the Government may distribute it to everyone in Singapore, said Dr Vivian Balakrishnan.
The Minister-in-charge of the Smart Nation Initiative added that the move will be more inclusive and ensure everyone in the country remains protected from Covid-19.
Link in bio @straits_times
📸: Kelvin Chng
#coronavirus #covid19 #StraitsTimes #SGUnited",2020-06-05 08:38:22+00:00,"so much for sg civilization and freedom ""protest"" ..... 😂😂😂",2020-06-05 15:44:11+00:00,8
463,686,"If the proposed wearable device works well, the Government may distribute it to everyone in Singapore, said Dr Vivian Balakrishnan.
The Minister-in-charge of the Smart Nation Initiative added that the move will be more inclusive and ensure everyone in the country remains protected from Covid-19.
Link in bio @straits_times
📸: Kelvin Chng
#coronavirus #covid19 #StraitsTimes #SGUnited",2020-06-05 08:38:22+00:00,"I will not wear it ,try me gahmen",2020-06-05 15:48:40+00:00,8
