,Post Description,Post Datetime,Comments,Comment Datetime,num_words
348,Please 🙏 stop 🙏 going 🙏 out 🙏 unless🙏 absolutely 🙏 necessary 🙏,2020-04-05 13:47:02+00:00,No ikea ah!! Don’t be bob the builder 😂,2020-04-06 05:08:10+00:00,9
349,Please 🙏 stop 🙏 going 🙏 out 🙏 unless🙏 absolutely 🙏 necessary 🙏,2020-04-05 13:47:02+00:00,The supermarket is the highest density of people and not all are wearing masks. Maybe less than half. Perhaps mask only in essential areas,2020-04-06 05:08:27+00:00,24
350,Please 🙏 stop 🙏 going 🙏 out 🙏 unless🙏 absolutely 🙏 necessary 🙏,2020-04-05 13:47:02+00:00,Actions better than just the claps event to Show ur supports,2020-04-06 06:54:12+00:00,11
353,Please 🙏 stop 🙏 going 🙏 out 🙏 unless🙏 absolutely 🙏 necessary 🙏,2020-04-05 13:47:02+00:00,"Seriously people!! I don’t know how many time’s our leaders have to make this request???!! I think they should start imposing fines, that’s seems to be the way Singaporeans comply, only through fines!! The medical care team, frontline defenders, and all those who still have to carry out their tasks are placing their LIVES in danger while continuing to carry out their responsibilities. We can’t bloody stay at home and utilise our time well?! I seriously can’t underachieving uncivilised and uncultured we are . To big for our egos to do what we have been told. Please, stay home. Our selfish and irresponsible behaviour will hurt those who are still out there working to eradicate this virus.  Just because they are not your family members who are In The frontlines , doesn’t mean you don’t care’",2020-04-06 17:03:58+00:00,141
354,Please 🙏 stop 🙏 going 🙏 out 🙏 unless🙏 absolutely 🙏 necessary 🙏,2020-04-05 13:47:02+00:00,"I will his way of talking, so cute. ❤️",2020-04-07 06:39:32+00:00,8
355,Please 🙏 stop 🙏 going 🙏 out 🙏 unless🙏 absolutely 🙏 necessary 🙏,2020-04-05 13:47:02+00:00,@roxxnnee he looks so pissed lmaoo,2020-04-07 09:47:47+00:00,5
356,Please 🙏 stop 🙏 going 🙏 out 🙏 unless🙏 absolutely 🙏 necessary 🙏,2020-04-05 13:47:02+00:00,especially melei la. always lepak 24/7.,2020-04-07 13:35:33+00:00,5
357,Please 🙏 stop 🙏 going 🙏 out 🙏 unless🙏 absolutely 🙏 necessary 🙏,2020-04-05 13:47:02+00:00,"People should stay at home.. If you need to buy groceries for Family, only one person go buy.. Here ah even school closed for the safety of childen and students, learning through Online studied at Home,  even the teacher here work from Home.. Restaurants all cannot dine in, all take away.. Ppl.working at offices changed to working by shift to prevent mass gathering.. Going to Supermarket, limited ppl only just 30 or less ppl and check the temperature and sanitizer sprayed to hands.. Didn't touch unnessary things.. Wearing mask.. Even marriage, events postponed and upcoming Bazaar Ramadhan for Fasting month also didn't have this year to prevent the mass gathering.. What I want to say, If we all want to be Safe and fight this covid-19, we must work together to make it done.. To all My Friends out there, Stay Safe and Stay At Home.. 😉😉",2020-04-07 18:51:38+00:00,142
358,Please 🙏 stop 🙏 going 🙏 out 🙏 unless🙏 absolutely 🙏 necessary 🙏,2020-04-05 13:47:02+00:00,Please stay home during this period. Let's us show the world the gold standard so that this circuit breaker will not be extended or more stringent measures will be put in place.  Let's us all give our healthcare workers a break.,2020-04-08 01:30:06+00:00,39
359,Please 🙏 stop 🙏 going 🙏 out 🙏 unless🙏 absolutely 🙏 necessary 🙏,2020-04-05 13:47:02+00:00,I just don’t get it. Why some ppl still travel for no reason (some for buying food so I don’t mind) BUT WHY?! WHAT SO DIFFICULT ABOUT STAYING HOME?,2020-04-08 07:35:33+00:00,31
360,"He said that gatherings should be confined to your household. This means that you should avoid visiting extended families who are not living with you, especially if they are elderly and vulnerable.

Photo from PMO.",2020-04-03 09:02:20+00:00,Me: Playing CS:GO at home Government: Responsible citizen,2020-04-03 09:23:57+00:00,9
361,"He said that gatherings should be confined to your household. This means that you should avoid visiting extended families who are not living with you, especially if they are elderly and vulnerable.

Photo from PMO.",2020-04-03 09:02:20+00:00,"What he's trying to tell people is to voluntarily stay at home. If he enforce a lockdown, it'll make the idiots panic more",2020-04-03 09:27:50+00:00,21
362,"He said that gatherings should be confined to your household. This means that you should avoid visiting extended families who are not living with you, especially if they are elderly and vulnerable.

Photo from PMO.",2020-04-03 09:02:20+00:00,"Like this isn’t bad, like at least we still can go and dabao food and all, imagine we all lock down , we really gonna rot at home",2020-04-03 09:38:46+00:00,28
363,"He said that gatherings should be confined to your household. This means that you should avoid visiting extended families who are not living with you, especially if they are elderly and vulnerable.

Photo from PMO.",2020-04-03 09:02:20+00:00,This screams depression for me,2020-04-03 10:06:44+00:00,5
364,"He said that gatherings should be confined to your household. This means that you should avoid visiting extended families who are not living with you, especially if they are elderly and vulnerable.

Photo from PMO.",2020-04-03 09:02:20+00:00,sch close so more teenagers or parents will bring them out. thats what singaporeans wa t 🙄,2020-04-03 10:09:15+00:00,16
365,"He said that gatherings should be confined to your household. This means that you should avoid visiting extended families who are not living with you, especially if they are elderly and vulnerable.

Photo from PMO.",2020-04-03 09:02:20+00:00,fuck good luck to y’all XMMS WHO CANT MEET boyfriend HAAHAH,2020-04-03 10:12:32+00:00,12
366,"He said that gatherings should be confined to your household. This means that you should avoid visiting extended families who are not living with you, especially if they are elderly and vulnerable.

Photo from PMO.",2020-04-03 09:02:20+00:00,"Let us stay at home, it’s essential. (NSF men)",2020-04-03 11:31:00+00:00,10
367,"He said that gatherings should be confined to your household. This means that you should avoid visiting extended families who are not living with you, especially if they are elderly and vulnerable.

Photo from PMO.",2020-04-03 09:02:20+00:00,Like this no Hari Raya?🤔,2020-04-03 11:44:01+00:00,5
368,"He said that gatherings should be confined to your household. This means that you should avoid visiting extended families who are not living with you, especially if they are elderly and vulnerable.

Photo from PMO.",2020-04-03 09:02:20+00:00,rip my family gathering every month,2020-04-03 11:46:55+00:00,6
369,"He said that gatherings should be confined to your household. This means that you should avoid visiting extended families who are not living with you, especially if they are elderly and vulnerable.

Photo from PMO.",2020-04-03 09:02:20+00:00,"If there's less people outside, it means that it's safer to be outside compared than (possibly) spreading the virus in your homes rather than getting infected by (fewer) people outside",2020-04-03 14:30:41+00:00,28
370,"He said that gatherings should be confined to your household. This means that you should avoid visiting extended families who are not living with you, especially if they are elderly and vulnerable.

Photo from PMO.",2020-04-03 09:02:20+00:00,Gathering shouldn’t even happen!,2020-04-03 14:38:19+00:00,5
