,Post Description,Post Datetime,Comments,Comment Datetime,num_words
179,"As a show of solidarity with fellow Singaporeans, all of Singapore’s political office holders will take a one-month cut in salary.

Members of Parliament (MPs) are included in the measure, while President Halimah Yacob has also expressed to Heng that she will join him to take a one-month cut.

Some senior public officers will also be taking a half-month cut.

Image via gov.sg video.",2020-02-28 05:41:18+00:00,"Cant believe how many keyboard warriors on Insta, trying to bash others' opinion while claiming others are keyboard warriors. Oxymoronic much?",2020-03-25 14:35:29+00:00,21
181,S$800 million worth of props to our frontline workers.,2020-02-18 12:50:36+00:00,Wuhan chef died from covid-19 if im not wrong (sorry if wrog im not here to spread rumors.im here to ask:)),2020-02-18 12:52:00+00:00,20
182,S$800 million worth of props to our frontline workers.,2020-02-18 12:50:36+00:00,damn imagining being rude and ostracising our frontline workers 🤡🤡 couldn’t be me 🤭🤭,2020-02-18 12:54:40+00:00,13
183,S$800 million worth of props to our frontline workers.,2020-02-18 12:50:36+00:00,the slap chair for what ah just asking,2020-02-18 12:54:57+00:00,8
186,S$800 million worth of props to our frontline workers.,2020-02-18 12:50:36+00:00,dogs cats frogs bats rabbits mice and all living things.You tortured and killed them without pity.now you die in painyou will die as long as you kill those animalsthe die,2020-02-18 19:49:10+00:00,28
187,S$800 million worth of props to our frontline workers.,2020-02-18 12:50:36+00:00,"The ""I"" as in he and his team decided it or him alone? He be like i set aside $800m for moh🤔",2020-02-19 19:48:01+00:00,21
188,S$800 million worth of props to our frontline workers.,2020-02-18 12:50:36+00:00,1 = 5.5 $冠狀病毒面具100萬片可用冠状病毒面具100万片可用100万個のコロナウイルスマスクが利用可能1 백만 코로나 바이러스 마스크 사용 가능1 million coronavirus masks available1 εκατομμύριο μάσκες κοροναϊού διαθέσιμες1 Million Coronavirus-Masken verfügbar ‎1 مليون أقنعة فيروس كورونا المتاحة1 million coronavirus-masker til rådighed1 juta masker coronavirus tersediaMagagamit ang 1 milyong mask ng coronavirusSaatavana miljoona miljoona koronavirusmaskia1 million de masques de coronavirus disponibles१ लाख कोरोनाभाइरस मास्कहरू उपलब्ध छन्1 मिलियन कोरोनावायरस मास्क उपलब्ध1 millón de máscaras de coronavirus disponibles1 miljon coronavirusmasker tillgängliga1 milione di maschere di coronavirus disponibili1 million coronavirus-masker tilgjengelig1 milhão de máscaras de coronavírus disponíveis1 миллион доступных коронавирусных масокมีหน้ากาก coronavirus 1 ล้านตัว#corona #coronavírus #coronavirüsü #coronavirusmask #coronamask #koronavirüsü #koronavirüsümaske #coronavirusmexico #coronavirusmalaysia #wuhan #china #wuhanvirus #chinavirus #wuhancorona #chinacorona #wuhancoronavirus #chinacoronavirus #wuhancoronamask #wuhancoronavirusmask #chinacoronamask #chinacoronavirusmask#chinawuhancorona #chinawuhancoronavirus #😷,2020-02-20 17:27:57+00:00,42
191,"One of the packages, the Care and Support Package, is meant to help Singaporeans with their household expenditures in light of the economic uncertainty from the Covid-19 outbreak.

All Singaporeans aged 21 and above in 2020 will receive a one-off cash payout of S$300, S$200 or S$100 depending on their income.

Photo from Getty Images",2020-02-18 08:59:59+00:00,I NOTE that (I’m so sorry),2020-02-18 09:36:53+00:00,7
195,"One of the packages, the Care and Support Package, is meant to help Singaporeans with their household expenditures in light of the economic uncertainty from the Covid-19 outbreak.

All Singaporeans aged 21 and above in 2020 will receive a one-off cash payout of S$300, S$200 or S$100 depending on their income.

Photo from Getty Images",2020-02-18 08:59:59+00:00,🇲🇾 done that way before #BR1M rich country with smaller capacity your government can afford more than S$1000 🤦🏼‍♂️🤦🏼‍♂️,2020-02-18 11:35:12+00:00,16
203,"On Tuesday, Feb. 18, Minister of Finance Heng Swee Keat presented the 2020 Budget and introduced two special packages to provide additional support to help Singaporeans in light of the economic impact of Covid-19.

One of the special packages is the S$4 billion Stabilisation and Support package, which is meant to stabilise the economy and support Singaporean workers and businesses.

Top photo by Li Yang on Unsplash.",2020-02-18 07:24:59+00:00,Hope this will help many struggling jn life! 🙌,2020-02-18 07:26:55+00:00,8
208,"This measure is part of the S$4 billion Support and Stabilisation package, put in place to address the foremost concern of helping workers retain their jobs in this period of economic uncertainty.

Photo by Tiberiu Ana via Flickr",2020-02-18 07:19:07+00:00,Should till further notice mah..,2020-02-18 07:36:33+00:00,5
