post_id,,username,date_time,comments_raw
101580748,54297900,OT Lee,Feb-03,Yes yea this ruling should have made much earlier !!!! All these imports from so high risk countries and yet we continue letting them in - suppose to be Covid tested free - but they landed â€˜infected positiveâ€™ and yet we continue to let people from these â€˜negative-positiveâ€™ countries to come in .. these only mean that their â€˜negative testsâ€™ are unreliable and and most probably â€˜boughtâ€™... how can we continue to risk Sgp in this way with so many repeated â€˜infectedâ€™ imports from these high risk hotspot countries for so long to come in ... a stop has to be made ! ????? ðŸ˜‚ðŸ˜©ðŸ˜­ðŸ˜¡
101580748,54297900,Doreen Chua,Feb-03,"One month,,change long better so community is safe..."
101580748,54297900,Henry Loh Hen Wang,Feb-03,Now...shouldn't it be ALL for ALL newly arrived for the china wuhan virus testing??!!! well..best of course is close the door..
101580748,54297900,Silvester Chua,Feb-03,Please check on the foreign domestic workers as well.
101580748,54297900,Happy Tan,Feb-03,How about those domestic workers?
101580748,54297900,Kelvin Lim,Feb-03,Those coming to visit fiance or fiancee also lah....as long as high risks places involved...
101580748,54297900,Loveangel Sun,Feb-03,"Once again it shows that when you have money, youâ€™ll be treated differently. Why not everybody who comes into the country. Covid virus has no eye if one is rich or poor. Even the virus knows equality but not this country. Sad."
101580748,54297900,Walter Wu,Feb-03,Half of the daily imported cases are arrivals from India and UAE. Those are work pass holders.
101580748,54297900,Jason Lim,Feb-03,One for all make it 30 days
101580748,54297900,Budi Christanto,Feb-03,Finally... At least effort to gear up and adapt... ðŸ™ðŸ‘
101580748,54297900,Doreen Chua,Feb-03,Don't follow other country not allow like australia .
101580748,54297900,Jason Ko,Feb-03,"they may came from same country, but diff treatment. those dependant pass shd be treated the same"
101580748,54297900,Lynn Nay Yaung Thit,Feb-03,"Min Aung Hlaing and all military servants, You must go to ICJ by criminal law."
101580748,54297900,Thabiso Mphahlele,Feb-03,OK.
101580748,54297900,Low Patrick,Feb-03,Well done
101580748,54297900,Tan Sri Hokkien Peng,Feb-03,Now virus smart already ...30 60 90 120 150 180 210 240 270 days also can
101580748,54297900,HK Lim,Feb-03,Steven Hoo
101580748,54297900,Top FanAjumma Obasan,Feb-03,ä½•å¿…æžåˆ°è¿™ä¹ˆå¤æ‚ä¸ç»™è¿›ä¸å°±å®Œäº†
