,Post Description,Post Datetime,Comments,Comment Datetime,num_words
61,Sent off SIAâ€™s first flight where the entire crew has received two doses of vaccines. We will have many of such flights in future as almost the entire maritime and aviation frontline gets vaccinated. The photographers were quite â€˜paisehâ€™ when they asked if I can exit the frame so that they can have a picture of just the crew...good idea and thatâ€™s how I got to take this picture!,2021-02-11 02:05:10+00:00,"SQ kebaya remains iconic and stands the test of time, thanks to renowned fashion designer Pierre Balmain.",2021-02-11 04:15:57+00:00,17
62,Sent off SIAâ€™s first flight where the entire crew has received two doses of vaccines. We will have many of such flights in future as almost the entire maritime and aviation frontline gets vaccinated. The photographers were quite â€˜paisehâ€™ when they asked if I can exit the frame so that they can have a picture of just the crew...good idea and thatâ€™s how I got to take this picture!,2021-02-11 02:05:10+00:00,"If they have been vaccinated,  why do they still need to wear masks?",2021-02-11 03:08:44+00:00,13
63,Sent off SIAâ€™s first flight where the entire crew has received two doses of vaccines. We will have many of such flights in future as almost the entire maritime and aviation frontline gets vaccinated. The photographers were quite â€˜paisehâ€™ when they asked if I can exit the frame so that they can have a picture of just the crew...good idea and thatâ€™s how I got to take this picture!,2021-02-11 02:05:10+00:00,You’re a good sport 😉,2021-02-11 02:32:50+00:00,5
65,Sent off SIAâ€™s first flight where the entire crew has received two doses of vaccines. We will have many of such flights in future as almost the entire maritime and aviation frontline gets vaccinated. The photographers were quite â€˜paisehâ€™ when they asked if I can exit the frame so that they can have a picture of just the crew...good idea and thatâ€™s how I got to take this picture!,2021-02-11 02:05:10+00:00,Feels like they are the guinea pig to test the efficacy of the vaccine. 😂,2021-02-11 02:39:41+00:00,14
66,Sent off SIAâ€™s first flight where the entire crew has received two doses of vaccines. We will have many of such flights in future as almost the entire maritime and aviation frontline gets vaccinated. The photographers were quite â€˜paisehâ€™ when they asked if I can exit the frame so that they can have a picture of just the crew...good idea and thatâ€™s how I got to take this picture!,2021-02-11 02:05:10+00:00,Haha cannot photobomb all the time lah,2021-02-11 04:53:03+00:00,7
67,Sent off SIAâ€™s first flight where the entire crew has received two doses of vaccines. We will have many of such flights in future as almost the entire maritime and aviation frontline gets vaccinated. The photographers were quite â€˜paisehâ€™ when they asked if I can exit the frame so that they can have a picture of just the crew...good idea and thatâ€™s how I got to take this picture!,2021-02-11 02:05:10+00:00,❤️😍cos u r minister ma..,2021-02-11 02:18:38+00:00,5
79,"If youâ€™re looking to conceive, should you take the COVID-19 vaccine?  If you have heart issues, should you take?

Watch this if you have such nagging questions. Infectious disease specialist Dr Leong Hoe Nam answered them clearly. 

Thank you @onefm913 for letting us share the video here too.",2021-01-26 00:05:12+00:00,"Thank you for sharing this, @ongyekung! Hope you're enjoying The BIG Show!",2021-01-26 04:44:15+00:00,10
84,"Woodlands Galaxy Community Centre has been designated as a COVID-19 vaccination centre. Yesterday was day 1, with 200 vaccinations for frontline workers. 

@pohlisan , who is MP and grassroots adviser in the area, visited the CC. Together with her grassroots leaders, she will soon be reaching out to the seniors to ensure that they too get vaccinated! 

#MakeSembawangSpecial",2021-01-21 01:33:35+00:00,Everything’s systematic & queue was smooth when I went for my jab this afternoon; the staff were professional & I don’t experience any pain..thank U all!,2021-01-21 10:41:07+00:00,27
87,"I was at the launch of our Sea-Air Vaccination Exercise yesterday, during which I delivered a 10 min speech to explain why it is so important for our aviation and maritime workers to get vaccinated. I have condensed the speech and recorded a 2.5 min version.  No need to play at x2, because I already spoke very fast! Hope this explains.",2021-01-19 12:28:58+00:00,Singapore - because of smart policies and high discipline ! - has the luxury that we don’t have the Virus here and that people don’t die ! Therefore in Singapore it is possible that front line workers like in aviation and maritime can get vaccinated first! That is a hard earned privilege for the whole country to focus now on economic recovery! Most other (often Western) countries don’t have this choice ! Well done Singapore ! 🇸🇬,2021-01-20 06:56:40+00:00,73
88,"I was at the launch of our Sea-Air Vaccination Exercise yesterday, during which I delivered a 10 min speech to explain why it is so important for our aviation and maritime workers to get vaccinated. I have condensed the speech and recorded a 2.5 min version.  No need to play at x2, because I already spoke very fast! Hope this explains.",2021-01-19 12:28:58+00:00,"Yes, definitely, SG will definitely rise n roar loud again 👍👏🙌🙏",2021-01-19 13:52:36+00:00,10
93,"I was at the launch of our Sea-Air Vaccination Exercise yesterday, during which I delivered a 10 min speech to explain why it is so important for our aviation and maritime workers to get vaccinated. I have condensed the speech and recorded a 2.5 min version.  No need to play at x2, because I already spoke very fast! Hope this explains.",2021-01-19 12:28:58+00:00,"Perhaps, as fronting somebody is a common occurrence, you can consider all to be frontliners. Great speech to all frontliners.",2021-01-20 02:21:36+00:00,20
99,"Today, we start the Sea-Air #Vaccination Exercise, to vaccinate 37,000 frontliners of the #aviation and #maritime industry. 

They are our airplane and port pilots, cabin crew, cargo handlers, transit lounge workers, local seafarers, ship and plane repair technicians etc. 

Some 13,000 of them have registered to be vaccinated this week, and hopefully more will do so in the coming weeks as we step up the capacity of the two vaccination centres at @changiairport T4 and Raffles City to 8,000 a day. 

We aim to substantially complete the exercise within two months. 

These 37,000 workers come into contact with people and cargo from outside #Singapore. When vaccinated, they will not just protect themselves and their families, but they would have taken a big step to secure the borders of Singapore and keep us safe from COVID-19.

#OneAviation #MaritimeSG",2021-01-18 13:33:51+00:00,"Minister Ong, what about our MRT customer service guys that are always on rhe Station platforms and bus captains. When will they be vaccinated.",2021-01-19 06:53:09+00:00,24
102,"Today, we start the Sea-Air #Vaccination Exercise, to vaccinate 37,000 frontliners of the #aviation and #maritime industry. 

They are our airplane and port pilots, cabin crew, cargo handlers, transit lounge workers, local seafarers, ship and plane repair technicians etc. 

Some 13,000 of them have registered to be vaccinated this week, and hopefully more will do so in the coming weeks as we step up the capacity of the two vaccination centres at @changiairport T4 and Raffles City to 8,000 a day. 

We aim to substantially complete the exercise within two months. 

These 37,000 workers come into contact with people and cargo from outside #Singapore. When vaccinated, they will not just protect themselves and their families, but they would have taken a big step to secure the borders of Singapore and keep us safe from COVID-19.

#OneAviation #MaritimeSG",2021-01-18 13:33:51+00:00,"One day, I'm sure SIA will rise again. Stayin' determined",2021-01-18 15:44:30+00:00,9
108,"Today, we start the Sea-Air #Vaccination Exercise, to vaccinate 37,000 frontliners of the #aviation and #maritime industry. 

They are our airplane and port pilots, cabin crew, cargo handlers, transit lounge workers, local seafarers, ship and plane repair technicians etc. 

Some 13,000 of them have registered to be vaccinated this week, and hopefully more will do so in the coming weeks as we step up the capacity of the two vaccination centres at @changiairport T4 and Raffles City to 8,000 a day. 

We aim to substantially complete the exercise within two months. 

These 37,000 workers come into contact with people and cargo from outside #Singapore. When vaccinated, they will not just protect themselves and their families, but they would have taken a big step to secure the borders of Singapore and keep us safe from COVID-19.

#OneAviation #MaritimeSG",2021-01-18 13:33:51+00:00,It’s a wonderful initiative to open borders again.,2021-01-19 07:40:34+00:00,9
110,"We start vaccination for the #aviation and #maritime sectors this afternoon, at two centres: @changiairport T4 for air crew and frontline airport workers, and Raffles City Convention Centre for marine pilots, crew and frontline workers who have to go onboard ships.

This week will be an operational warm-up, where we will vaccinate small groups, to prepare for full scale operations next week. 

I will be at T4 with the CEOs of key aviation companies next Monday to explain the significance of this exercise.",2021-01-13 08:30:23+00:00,Big thanks for the effort!,2021-01-13 09:14:52+00:00,5
