,Unnamed: 0,Post Description,Post Datetime,Comments,Comment Datetime,num_words
908,1798,"There were 22 new Covid-19 cases announced today, with 1 from the community. This is the lowest daily figure since March 16. 
Link in bio @straits_times 
📸: Jason Quah
#StraitsTimes #coronavirus #Covid19",2020-09-07 10:44:28+00:00,"Just because there are only 22 Covid-19 cases today, doesn't mean that the virus is completely gone. It doesn't mean that life can go back to the normal, and that you can quit practicing social distancing or stop wearing your masks. If yall choose not to follow the safety measurements anymore, still will kena the virus one. There is definitely people infected with the virus within our community still but haven't shown up any symptoms yet or visit the doctor or get a swab test.",2020-09-07 13:40:54+00:00,81
916,1814,"There were 22 new Covid-19 cases announced today, with 1 from the community. This is the lowest daily figure since March 16. 
Link in bio @straits_times 
📸: Jason Quah
#StraitsTimes #coronavirus #Covid19",2020-09-07 10:44:28+00:00,Remember to wear a surgical mask with the right BFE. Protect yourself and others.,2020-09-10 13:45:07+00:00,14
921,1827,"There were 22 new Covid-19 cases announced today, with 1 from the community. This is the lowest daily figure since March 16. 
Link in bio @straits_times 
📸: Jason Quah
#StraitsTimes #coronavirus #Covid19",2020-09-07 10:44:28+00:00,"I hope I can travel at least to Vietnam or Hong Kong this December 2020 because I like Climate. I like Coordinates(Latitude and Longitude). Please god, please. I pray for this pandemic to stop soon. I will still wear mask when I travel.",2020-09-07 12:40:26+00:00,43
923,1831,"There were 22 new Covid-19 cases announced today, with 1 from the community. This is the lowest daily figure since March 16. 
Link in bio @straits_times 
📸: Jason Quah
#StraitsTimes #coronavirus #Covid19",2020-09-07 10:44:28+00:00,"Nice , pls lower so can cut off safe distancing and masks 😌",2020-09-07 10:58:31+00:00,11
930,1845,"Covid-19 tests will be conducted ""at a reduced capacity and group size, and in accordance with safe management measures to safeguard the health and well-being of NSmen"", said Mindef.
Singapore Armed Forces NSmen whose IPPT window closes on or before February 7, 2021 will also be granted a one-time waiver.
Link in bio @straits_times
📸: Mindef
#ICT #IPPT #StraitsTimes",2020-09-03 09:28:00+00:00,Drink up and mask up!,2020-09-03 11:21:33+00:00,5
953,1906,"The 31 new cases of Covid-19 announced today is the lowest daily figure since March 22. Of today's new cases, 1 is imported. 
Find out more via the link in bio @straits_times
📸: Shintaro Tay
#coronavirus #Covid19 #StraitsTimes ⁣",2020-08-25 11:46:34+00:00,Great news. Our hardwork in practising safe distancing and mask wearing pays off. Stay vigilant still 🙌. 不可以掉以轻心 💪🏻,2020-08-25 12:24:40+00:00,16
956,1914,"The 31 new cases of Covid-19 announced today is the lowest daily figure since March 22. Of today's new cases, 1 is imported. 
Find out more via the link in bio @straits_times
📸: Shintaro Tay
#coronavirus #Covid19 #StraitsTimes ⁣",2020-08-25 11:46:34+00:00,Need more safe distancing and wearing of mask 👀,2020-08-25 13:11:14+00:00,8
957,1916,"The 31 new cases of Covid-19 announced today is the lowest daily figure since March 22. Of today's new cases, 1 is imported. 
Find out more via the link in bio @straits_times
📸: Shintaro Tay
#coronavirus #Covid19 #StraitsTimes ⁣",2020-08-25 11:46:34+00:00,Can't take it for granted..need to be more careful...wear your mask and safe distancing...,2020-08-25 13:58:57+00:00,15
959,1919,"The 31 new cases of Covid-19 announced today is the lowest daily figure since March 22. Of today's new cases, 1 is imported. 
Find out more via the link in bio @straits_times
📸: Shintaro Tay
#coronavirus #Covid19 #StraitsTimes ⁣",2020-08-25 11:46:34+00:00,💪💪💪 Very soon can go phase 3. If we continue to practice safe distancing and wear mask at all times,2020-08-25 16:40:59+00:00,18
967,1935,"What is the new normal to you? Here’s a look at everyday life in Singapore after the easing of some Covid-19 measures in phase 2.
Link in bio @straits_times
📸: Kua Chee Siong, Ariffin Jamar, Kevin Lim, Mark Cheong, Gin Tay, Gavin Foo, Kelvin Chng
#StraitsTimes #Singapore #Covid19 #Coronavirus",2020-08-24 08:30:13+00:00,The new Normal is just daily routine while wearing mask 👀,2020-08-24 08:57:50+00:00,10
1012,2048,"The PSLE, N levels, O levels and A levels will go on, but with special arrangements, said MOE and SEAB.
Students will not be allowed to take the exams if they are infected with Covid-19, on quarantine order or stay-home notice, or on a leave of absence due to contact with a confirmed case. 
Link in bio @straits_times
📸: Chew Seng Kim
#StraitsTimes",2020-08-21 09:05:34+00:00,wa can write answer inside mask alr @alm0ndd_ @jinwei._,2020-08-27 15:40:13+00:00,7
1032,2079,"😷 Having to wear a mask is one of the most frustrating Covid-19 control measures, according to the results of a poll. ⁣
Link in bio @straits_times ⁣
#Covid19 #coronavirus #StraitsTimes",2020-08-16 07:20:08+00:00,I am tired of wearing mask too but I am still willing to wear it for my loved ones.,2020-08-17 10:11:01+00:00,19
1038,2085,"😷 Having to wear a mask is one of the most frustrating Covid-19 control measures, according to the results of a poll. ⁣
Link in bio @straits_times ⁣
#Covid19 #coronavirus #StraitsTimes",2020-08-16 07:20:08+00:00,"When Govt said wear mask only if you were unwell, people complained. Now give free mask, make you wear mask, also complain. So what you want? Lockdown, don't go out, no need to wear mask 😁😁😁",2020-08-18 01:20:52+00:00,34
1040,2087,"😷 Having to wear a mask is one of the most frustrating Covid-19 control measures, according to the results of a poll. ⁣
Link in bio @straits_times ⁣
#Covid19 #coronavirus #StraitsTimes",2020-08-16 07:20:08+00:00,"Lmao, all the Din Tai Fung chefs are unaffected because they've been wearing mask while at work even before the pandemic.",2020-08-25 06:27:28+00:00,20
1042,2089,"😷 Having to wear a mask is one of the most frustrating Covid-19 control measures, according to the results of a poll. ⁣
Link in bio @straits_times ⁣
#Covid19 #coronavirus #StraitsTimes",2020-08-16 07:20:08+00:00,wearing mask is tiring and very suffocating.. that is why i seldom go out unless other than helping to buy essentials or going to school,2020-08-16 13:29:07+00:00,25
1046,2093,"😷 Having to wear a mask is one of the most frustrating Covid-19 control measures, according to the results of a poll. ⁣
Link in bio @straits_times ⁣
#Covid19 #coronavirus #StraitsTimes",2020-08-16 07:20:08+00:00,Working on a 12 hrs shift with mask on is not an easy thingy.....😢,2020-08-16 14:07:24+00:00,13
1050,2098,"😷 Having to wear a mask is one of the most frustrating Covid-19 control measures, according to the results of a poll. ⁣
Link in bio @straits_times ⁣
#Covid19 #coronavirus #StraitsTimes",2020-08-16 07:20:08+00:00,"I think mask wearing can protect your face from the sun, prevent sun damage and collagen loss from your lower and mid-face.",2020-08-16 15:06:58+00:00,21
1051,2099,"😷 Having to wear a mask is one of the most frustrating Covid-19 control measures, according to the results of a poll. ⁣
Link in bio @straits_times ⁣
#Covid19 #coronavirus #StraitsTimes",2020-08-16 07:20:08+00:00,Especially those who suffered sinusitis problem n asthma... having a mask make it even more difficult to breathe properly....,2020-08-16 15:14:04+00:00,19
1052,2100,"😷 Having to wear a mask is one of the most frustrating Covid-19 control measures, according to the results of a poll. ⁣
Link in bio @straits_times ⁣
#Covid19 #coronavirus #StraitsTimes",2020-08-16 07:20:08+00:00,"Tired or not, gov says must wear a mask, have to wear. Complain as much as you want, what goes in Singapore is what the gov says. This survey is reported because ST has no real news to share. Mask not going to stop the virus and it is just a tool for....not typing any further than this.😊😊😊😊",2020-08-16 15:46:52+00:00,59
1053,2101,"😷 Having to wear a mask is one of the most frustrating Covid-19 control measures, according to the results of a poll. ⁣
Link in bio @straits_times ⁣
#Covid19 #coronavirus #StraitsTimes",2020-08-16 07:20:08+00:00,But wearing a mask is the most effective prevention.,2020-08-16 15:48:21+00:00,9
1056,2104,"😷 Having to wear a mask is one of the most frustrating Covid-19 control measures, according to the results of a poll. ⁣
Link in bio @straits_times ⁣
#Covid19 #coronavirus #StraitsTimes",2020-08-16 07:20:08+00:00,"put the 44% on Island and let them enjoy the gatherings with no distancing at all. no mask, disinfectant, sanitizer n etc. all the 56% will cheer the 44% on, make them the happiest group!",2020-08-16 16:57:46+00:00,32
