Unnamed: 0,postUrl,description,commentCount,pubDate,username,postId
1047,https://www.instagram.com/p/CIAevQWnFHP/,"This brings the total number of cases to 58,190. There are no new cases of locally-transmitted Covid-19 infection. #linkinbio

Photo by Andrew Koay",44,2020-11-25T08:45:13.000Z,mothershipsg,2.45e+18
1061,https://www.instagram.com/p/CH99gmwnkJ0/,"This brings the total number of cases to 58,183.

There are no new cases of locally-transmitted Covid-19 infection. #linkinbio

Photo from Clean and Green Singapore / FB",39,2020-11-24T09:16:23.000Z,mothershipsg,2.45e+18
1073,https://www.instagram.com/p/CH7WkR8nMZg/,"This brings the total number of cases to 58,165.

There are no new cases of locally-transmitted Covid-19 infection. #linkinbio

Photo from NUH / FB",17,2020-11-23T08:57:37.000Z,mothershipsg,2.45e+18
1087,https://www.instagram.com/p/CH2H30_HGP-/,"Five new cases of Covid-19 were reported in Singapore today. All five are imported. #linkinbio 

Image via Clean & Green Singapore/FB.",31,2020-11-21T08:13:00.000Z,mothershipsg,2.45e+18
1123,https://www.instagram.com/p/CHzjCsenM22/,"Four new cases of Covid-19 were reported in Singapore today. All four are imported. #linkinbio 

Image via Christian Chen/Unsplash.",71,2020-11-20T08:12:42.000Z,mothershipsg,2.45e+18
1137,https://www.instagram.com/p/CHxLnu2n-dY/,"Four new cases of Covid-19 were reported in Singapore today. All four are imported. #linkinbio 

Image via CHUTTERSNAP/Unsplash.",62,2020-11-19T10:09:34.000Z,mothershipsg,2.45e+18
1147,https://www.instagram.com/p/CHuZUWEnMgT/,"Five new cases of Covid-19 were reported in Singapore today. All five cases are imported. #linkinbio 

Photo by Fasiha Nazren.",96,2020-11-18T08:11:31.000Z,mothershipsg,2.45e+18
1180,https://www.instagram.com/p/CHo8Su-Hmfv/,"Erin Huien Lim, 26, was working in a communications consultancy when she made the decision to quit her job, and pursue her childhood dream of working in a farm. 

She travelled to New Zealand in late 2019, and began working in a number of different farms, even as Covid-19 struck the country's shores.

Although the work was physically tiring and boring, Lim found time to think about her future, and what truly made her happy. #linkinbio 

Photos courtesy of Erin Lim.",314,2020-11-16T05:21:42.000Z,mothershipsg,2.44e+18
1191,https://www.instagram.com/p/CHnFyXrnm6P/,"Put your hands up, and your masks on.

The pilot for pubs and bars will commence by December 2020 and last for a period of two months, while karaoke lounges and nightclubs will commence by January 2021 for a period of three months.",143,2020-11-15T12:11:23.000Z,mothershipsg,2.44e+18
1266,https://www.instagram.com/p/CHabKXKngMy/,"In the Covid-19 MTF Press Conference, on Nov. 10, Minister for Health Gan Kim Yong talked about the factors they will take into account when applying the vaccine.",70,2020-11-10T14:04:05.000Z,mothershipsg,2.44e+18
1267,https://www.instagram.com/p/CHaakXAnVCZ/,"We might be able to enter Phase 3 before the end of the year if all the stars align, and if everyone plays their part.",92,2020-11-10T13:58:55.000Z,mothershipsg,2.44e+18
1272,https://www.instagram.com/p/CHZzZmpnBKK/,"There are two new cases of locally-transmitted Covid-19 infection. One is in the community, and one resides in a dormitory. #linkinbio

Photo from Clean & Green Singapore / FB",45,2020-11-10T08:15:23.000Z,mothershipsg,2.44e+18
1311,https://www.instagram.com/p/CHSmhXxnKrL/,"Can get food coma next. #linkinbio 

Images from ElaineSheila/IG & Ton Yen General Hospital via Taiwan News",201,2020-11-07T13:08:10.000Z,mothershipsg,2.44e+18
1332,https://www.instagram.com/p/CHPRwjWnkKr/,"The 36-year-old suffered from a gunshot wound to his abdomen, and was conveyed conscious to the hospital.

According to the police, he is currently in stable condition.

Around S$20,000 worth of suspected criminal proceeds, drugs, and drug-related paraphernalia were seized during the raid. #linkinbio 

Photo from Google Maps.",209,2020-11-06T06:09:01.000Z,mothershipsg,2.44e+18
1374,https://www.instagram.com/p/CHFVMz5HV-_/,"At least some of them wore masks...ghoulish masks. #linkinbio 

Photos via Mio Rider Takamatsu, Đặng Đức Trung, Bac Kim & Hường Minh Nguyễn.",179,2020-11-02T09:26:41.000Z,mothershipsg,2.43e+18
