,id,conversation_id,date,time,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,link,video,reply_to,processed_tweets
91,1.275298155760771e+18,1.275267390066946e+18,2020-06-23,13:22:28,363494868.0,arvintunas,Tunas Harapan Bangsa Dan Negara Federal Republik,,"@daphnemaia @ofmeowandbake Normally Singpass, though I will use the tracetogether IC barcode for those need to enter by scanning IC. Certain places are required to implement the SafeEntry NRIC instead the QR.",en,[],[],[],0.0,0.0,1.0,[],https://twitter.com/ArvinTunas/status/1275298155760771072,0.0,"[{'screen_name': 'daphnemaia', 'name': 'Daphne Maia', 'id': '6988732'}, {'screen_name': 'ofmeowandbake', 'name': 'The death of a million is just a statistic', 'id': '815066809'}]","['dahua', 'access', 'control', 'temperatur', 'monitor', 'termin', 'safeentri', 'enabl', 'via', 'qr', 'code', 'enquiri', 'tiong', 'bahru', 'market']"
92,1.2752518880661463e+18,1.275242130911359e+18,2020-06-23,10:18:37,141241551.0,raymond936,Raymond,,"I mean the SafeEntry app, should have 4 languages",en,[],[],[],0.0,0.0,0.0,[],https://twitter.com/Raymond936/status/1275251888066146305,0.0,[],"['scan', 'safeentri', 'contact', 'trace', 'purpos', 'part', 'singapor', 'wealthi', 'economi', 'despit', 'fortitud', 'budget', 'implement', 'use', 'lot', 'busi']"
93,1.275242130911359e+18,1.275242130911359e+18,2020-06-23,09:39:51,141241551.0,raymond936,Raymond,,SafeEntry should support 4 languages for the seniors to use. So called the National Digital Check In System but only English??? #govtech #smartnation #SGUnited #safeentry @GovTechSG @IMDAsg @govsingapore,en,"[{'screen_name': 'govtechsg', 'name': 'govtech (singapore)', 'id': '123167035'}, {'screen_name': 'imdasg', 'name': 'imda singapore', 'id': '66555688'}, {'screen_name': 'govsingapore', 'name': 'singapore government', 'id': '56883209'}]",[],[],2.0,0.0,1.0,"['govtech', 'smartnation', 'sgunited', 'safeentry']",https://twitter.com/Raymond936/status/1275242130911358977,0.0,[],"['smartz', 'safeentri', 'enabl', 'via', 'qr', 'code', 'enquiri', 'tiong', 'bahru', 'market']"
94,1.2743195070838129e+18,1.2743195070838129e+18,2020-06-20,20:33:40,324820259.0,vaibhavidesai,Vaibhavi Desai,,"Contact less delivery + Cash less payment + Safe entry checkin* = New normal   *Safe entry is Singapore’s one stop checkin / checkout API to be used at every single shop, restaurant, mall, business for easy contact tracing.  #PostLockdownScenes #COVID19 #Singapore  https://t.co/JruZBvaDzh",en,[],[],['https://pbs.twimg.com/media/Ea9K0hVVAAczFL0.jpg'],0.0,0.0,13.0,"['postlockdownscenes', 'covid19', 'singapore']",https://twitter.com/VaibhaviDesai/status/1274319507083812869,1.0,[],"['know', 'actual', 'save', 'place', 'frequent', 'save', 'hassl', 'scan', 'everytim', 'use', 'edg', 'android', 'exampl', 'work', 'across', 'browser', 'amp', 'os']"
95,1.274256307231404e+18,1.274256307231404e+18,2020-06-20,16:22:32,18618770.0,cheryltan88,Cheryl Lu-Lien Tan,,"Hello, Phase 2 of openings in #Singapore. 1st #pedicure in #Covid times — I had to check in with the #Singapore government #SafeEntry #contacttracing app, fill out a Declaration of Health, get temp checked+hands sanitized before they let me in. All very thorough &amp; efficient. 💪🇸🇬  https://t.co/yMAVPw7A25",en,[],[],"['https://pbs.twimg.com/media/Ea8RVRCUwAEl20P.jpg', 'https://pbs.twimg.com/media/Ea8RVRDUwAEJygl.jpg', 'https://pbs.twimg.com/media/Ea8RVRDU8AIPQ7J.jpg']",0.0,0.0,2.0,"['singapore', 'pedicure', 'covid', 'singapore', 'safeentry', 'contacttracing']",https://twitter.com/cheryltan88/status/1274256307231404032,1.0,[],"['highli', 'encourag', 'use', 'safeentri', 'qr', 'code', 'upon', 'commut', 'sampl', 'poster', 'found', 'jurong', 'east', 'station', 'jurong', 'east', 'singapor']"
96,1.2739154223169208e+18,1.2739154223169208e+18,2020-06-19,17:47:59,3186369068.0,jlim_junhong,Jaden Lim (jaden.physio),"{'type': 'Point', 'coordinates': [1.30359, 103.81166]}","PHYSIO IN SESSION NOW!  Featuring more signages around Rehab &amp; Beyond (@gobeyondrehab), here at corecollectivesg Dempsey  #GoBeyondRehab #CoreCollectiveSG #physiotherapy #safedistancing #safeentry #rehab…  https://t.co/qilJw0Jc87",en,"[{'screen_name': 'gobeyondrehab', 'name': 'rehab & beyond', 'id': '1011604225929998336'}]",['https://www.instagram.com/p/CBnLhhHn2Kw/?igshid=1ms51xykercby'],[],0.0,0.0,0.0,"['gobeyondrehab', 'corecollectivesg', 'physiotherapy', 'safedistancing', 'safeentry', 'rehab']",https://twitter.com/JLim_Junhong/status/1273915422316920832,0.0,[],"['anyon', 'monitor', 'safeentri', 'probabl', 'wonder', 'went', 'shengsiong', 'time', 'ntuc', 'time', 'day', 'brown', 'sugar', 'sea', 'salt', 'milk', 'lo', 'stock']"
97,1.2737447279263867e+18,1.2737447279263867e+18,2020-06-19,06:29:42,134719988.0,muhdmirza160194,محمد ميرزا,,"Even tho Phase 2 have re-open, remember to take precautionary measures friends and don’t forget to do safe entry wherever you go! Be safe and wear mask at all times 😌✌🏻",en,[],[],[],0.0,1.0,0.0,[],https://twitter.com/muhdmirza160194/status/1273744727926386688,0.0,[],"['use', 'safeentri', 'today', 'seamless', 'experi', 'work', 'better', 'singpass', 'app', 'instead', 'scan', 'qr', 'code', 'phone', 'camera']"
98,1.273660692105556e+18,1.273660692105556e+18,2020-06-19,00:55:47,1.266777212184703e+18,my_cwp,mygirlsvlog_cwp,,"#庆祝美业开工啦 Welcome Back Reopening 19/6🥳🥳🥳 Looking forward to see everyone soon   Due to the current COVID-19 situation, we require all customers to scan QR code to ensure safe entry.   Please follow us on social media👇 Fb: @mygirlsvlog.cwp Ig: @mygirlsvlog_cwp  https://t.co/rfSSv2yutk",en,[],[],[],0.0,0.0,0.0,['庆祝美业开工啦'],https://twitter.com/my_cwp/status/1273660692105555970,1.0,[],"['adher', 'altern', 'work', 'bay', 'spilt', 'team', 'conjunct', 'temperatur', 'screen', 'safeentri', 'deploy', 'facil', 'sanit', 'measur', 'circuit', 'breaker', 'period', 'keep', 'client', 'employe']"
99,1.2732006275736412e+18,1.2732006259210445e+18,2020-06-17,18:27:39,40859142.0,fafuierice,Fafui,,I definitely feel safer given the SafeEntry and Trace Together app but then... I’m scared of the asymptomatics 😅,en,[],[],[],0.0,0.0,0.0,[],https://twitter.com/fafuierice/status/1273200627573641216,0.0,[],"['mcdonald', 'safeti', 'first', 'temperatur', 'wastaken', 'point', 'need', 'scan', 'safeentri', 'qr', 'code', 'perform', 'get', 'collect', 'need', 'miss']"
100,1.2725113456199598e+18,1.272510421136597e+18,2020-06-15,20:48:41,38637581.0,basilyeo,Basil Yeo,,@limmingji Don’t forget to use Safe Entry,en,[],[],[],0.0,0.0,1.0,[],https://twitter.com/basilyeo/status/1272511345619959810,0.0,"[{'screen_name': 'limmingji', 'name': 'Wyatt Mingji Lim (WalkingProblem)', 'id': '21274277'}]","['part', 'circuit', 'breaker', 'measur', 'mandatori', 'deploy', 'safeentri', 'system', 'log', 'employe', 'visitor']"
