,id,conversation_id,date,time,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,link,video,reply_to,processed_tweets
39,1.251050595231785e+18,1.251050595231785e+18,2020-04-17,15:31:19,7.382882942203044e+17,jaekyunnie06,⭐ᗰᑌᒪTIᖴᗩᑎᗪOᗰ KᑭOᑭᖴᖇEᗩK ᒍᗩEKYᑌᑎᑎIE,,My housemates keeps on feeding me since the first day of Circuit Breaker 😭 I need to repay their kindness but I can't go out due to my 14days stay home notice argh!,en,[],[],[],0.0,0.0,1.0,[],https://twitter.com/jaekyunnie06/status/1251050595231784962,0.0,[],"['coronaviru', 'man', 'allegedli', 'breach', 'bak', 'kut', 'teh', 'like', 'charg', 'ye', 'charg', 'irrespons', 'guy', 'fine', 'jail', 'time', 'lot', 'singaporean', 'take', 'threat', 'serious', 'enough']"
40,1.249588930581676e+18,1.2495853274522214e+18,2020-04-13,14:43:11,145205455.0,fitriextreme,◢ ◤,,@hzqhadrna Stay home notice. Tapi aku kene kat Hotel.,en,[],[],[],1.0,0.0,0.0,[],https://twitter.com/FitriExtreme/status/1249588930581676033,0.0,"[{'screen_name': 'hzqhadrna', 'name': '𝒽𝒶𝓏', 'id': '3240172423'}]","['sg', 'monopoli', 'version', 'replac', 'jail', 'land', 'chanc', 'space', 'pick', 'chanc', 'card', 'say', 'land', 'singapor', 'serv', 'go', 'pick', 'bak', 'kut', 'teh']"
42,1.2477002386613494e+18,1.2475594800421192e+18,2020-04-08,09:38:12,3303353729.0,mitch_leow,Mitch Leow 廖为政,,Sister helping me celebrate the end of my Stay Home Notice - which leads on into the month long shutdown on this island.  https://t.co/wfuTYWKHAC,en,[],[],['https://pbs.twimg.com/media/EVC4wCBU4AACiBn.jpg'],0.0,0.0,0.0,[],https://twitter.com/mitch_leow/status/1247700238661349381,1.0,[],"['cb', 'birthday', 'kenna']"
43,1.2463495614775132e+18,1.246024332310016e+18,2020-04-04,16:11:06,40859142.0,fafuierice,Fafui,,"@renzyfrenzy Yes! Naka stay home notice ako required by gov’t. Lemon water muna and I’m also drinking meds given by the doctor! Thanks, Renzy!!",en,[],[],[],0.0,0.0,0.0,[],https://twitter.com/fafuierice/status/1246349561477513221,0.0,"[{'screen_name': 'renzyfrenzy', 'name': 'Renzy', 'id': '170646553'}]","['individu', 'feel', 'unwel', 'leav', 'absenc', 'recent', 'travel', 'histori', 'countri', 'region', 'place', 'travel', 'restrict', 'singapor', 'govern', 'also', 'refrain', 'enter', 'venu']"
44,1.2461273759995535e+18,1.2461273759995535e+18,2020-04-04,01:28:13,7.204344949985853e+17,frederickquek,Frederick Quek,"{'type': 'Point', 'coordinates': [1.29306, 103.856]}","[MARCH 31, 2020] ""As currently that I'm aware of the COVID-19 is getting worsened. I'm home the whole day. And I'm terrified to notice that, how hard of their lives can survive? It's not just that. We must all stay…  https://t.co/BBYmE0QEt5",en,[],['https://www.instagram.com/p/B-hu-2VBO8Q/?igshid=77y7pu28anyc'],[],0.0,0.0,0.0,[],https://twitter.com/FrederickQuek/status/1246127375999553537,0.0,[],"['notic', 'lot', 'come', 'back', 'especi', 'student', 'recent', 'case', 'import', 'sg', 'gov', 'issu', 'incom', 'travel', 'help', 'prevent', 'spread', 'viru', 'mani', 'carrier', 'asymptomat']"
45,1.246024332310016e+18,1.246024332310016e+18,2020-04-03,18:38:45,40859142.0,fafuierice,Fafui,,"Today, I was coughing so my boss sent me home and told me to go to the doctor because the gov’t spot checks companies. I went to the doctor and he told me my throat is red so he has to issue me an MC (sick leave) for 5 days. And it’s a Stay-At-Home Notice which means I can’t,",en,[],[],[],2.0,0.0,0.0,[],https://twitter.com/fafuierice/status/1246024332310016002,0.0,[],"['thing', 'look', 'forward', 'week']"
46,1.244771951119192e+18,1.244771951119192e+18,2020-03-31,07:42:14,14302278.0,sarahcottle,Sarah Cottle,,That concludes our 14-day #StayHome Notice. 42 SMS location checks and ~10 video interviews. @MOM_sg doing an amazing job of keeping us safe in #Singapore. 🙏🏼#Coronavirus #Covid_19 @leehsienloong #Leadership 🇸🇬  https://t.co/j10j9UTOA8,en,"[{'screen_name': 'mom_sg', 'name': 'ministry of manpower', 'id': '85776326'}, {'screen_name': 'leehsienloong', 'name': 'leehsienloong', 'id': '34568673'}]",[],['https://pbs.twimg.com/media/EUZRfUnUEAAgY12.jpg'],1.0,0.0,11.0,"['stayhome', 'singapore', 'coronavirus', 'covid_19', 'leadership']",https://twitter.com/sarahcottle/status/1244771951119192065,1.0,[],"['l', 'v', 'e', 'midst', 'c', 'v', 'one', 'week', 'ldr', 'plu', 'travel', 'taiwan', 'say', 'count', 'bless', 'despit', 'challeng']"
47,1.2442615755292385e+18,1.2442615755292385e+18,2020-03-29,21:54:11,9.771737237393777e+17,_imanrizqi_,Iman Rizqi,"{'type': 'Point', 'coordinates': [1.29306, 103.856]}","While serving my 14 Day Stay-Home Notice (SHN), i did something awesome with a glass mug and some oil. . Stay Safe and Safe Distancing ya big chungus !! .  All pictures inspired by @7theraYT northborders…  https://t.co/jJxIKq9z8U",en,"[{'screen_name': '7therayt', 'name': '7th era', 'id': '1033525388687724544'}]",['https://www.instagram.com/p/B-UegwJn35s/?igshid=l70sp2hz8nba'],[],0.0,0.0,0.0,[],https://twitter.com/_ImanRizqi_/status/1244261575529238529,0.0,[],"['stuck', 'day', 'hbu']"
49,1.2442464284838953e+18,1.2442464284838953e+18,2020-03-29,20:54:00,78516945.0,lizwoodybobeep,LizAnailuZ,,Just listen and obey for everyone’s safety.... ICA cancels Singaporean's passport for breaching stay-home notice  https://t.co/a07eDpYCYJ,en,[],['https://www.channelnewsasia.com/news/singapore/covid19-coronavirus-breach-stay-home-notice-passport-cancelled-12586942#.XoCaJ2F87-E.twitter'],[],0.0,0.0,0.0,[],https://twitter.com/LizWoodyBoBeep/status/1244246428483895298,0.0,[],"['day', 'thingi', 'ah', 'kecoh']"
50,1.244179425047933e+18,1.244179425047933e+18,2020-03-29,16:27:45,100195084.0,damelomar,Omar Bin Alkhatab,,ICA cancels Singaporean's passport for breaching stay-home notice  https://t.co/MrBWl2oVMp,en,[],['https://www.channelnewsasia.com/news/singapore/covid19-coronavirus-breach-stay-home-notice-passport-cancelled-12586942#.XoBb9riIljo.twitter'],[],0.0,0.0,4.0,[],https://twitter.com/DamelOmar/status/1244179425047932929,0.0,[],"['ever', 'sinc', 'expand', 'knowledg', 'cook', 'beyond', 'maggi', 'spaghetti', 'fri', 'egg', 'hahahah', 'love']"
51,1.2437080603311514e+18,1.2437080603311514e+18,2020-03-28,09:14:43,90597912.0,poortan,poor tan,,Coronavirus: Man who allegedly breached stay-home notice for bak kut teh likely to be charged  https://t.co/Wbn4XYOP97 yes charged the irresponsible guy with fine and jail time. A lot of Singaporeans are not taking the threat seriously enough,en,[],['https://str.sg/JYk6'],[],0.0,0.0,0.0,[],https://twitter.com/poortan/status/1243708060331151360,0.0,[],"['singapor', 'penalti', 'fine', 'imprison', 'offenc', 'sg', 'pr', 'pass', 'holder', 'may', 'revok', 'foreign', 'employe', 'work', 'pass', 'may', 'revok']"
