,name,comment,processed_text,demojize_text
4,k00lbeans_,airpods case type beat ✨,"['airpod', 'case', 'type', 'beat']",airpods case type beat :sparkles:
5,mushvroom.__,when we get the tokens sia ?,"['get', 'token', 'sia']",when we get the tokens sia ?
6,christankc,Full of nonsense. Would prefer to stay with QR code or Safe Entry Check-in. Using Trace together app/token is invasion of privacy n freedom,"['full', 'nonsens', 'would', 'prefer', 'stay', 'qr', 'code', 'safe', 'entri', 'use', 'trace', 'togeth', 'invas', 'privaci', 'n', 'freedom']",Full of nonsense. Would prefer to stay with QR code or Safe Entry Check-in. Using Trace together app/token is invasion of privacy n freedom
7,christankc,Boycott cinema and tell the operators who cause their downfall,"['boycott', 'cinema', 'tell', 'oper', 'caus', 'downfal']",Boycott cinema and tell the operators who cause their downfall
8,kristeleantan32,@ella6188,[],@ella6188
9,pngcharkuoyteow,Good.. no need go watch movie anymore,"['good', 'need', 'go', 'watch', 'movi', 'anymor']",Good.. no need go watch movie anymore
10,jiaxinpl,Hahahahgaag NOik not go king use,"['hahahahgaag', 'noik', 'go', 'king', 'use']",Hahahahgaag NOik not go king use
11,jiaxinpl,Going *,['go'],Going *
12,_jonathan_liem,Yeah whatever Netflix for a reason 😎,"['yeah', 'whatev', 'netflix', 'reason']",Yeah whatever Netflix for a reason :smiling_face_with_sunglasses:
13,akmal_aziz,@theodora.todorova94,[],@theodora.todorova94
14,yujicortez,do my AirPods count?,"['airpod', 'count']",do my AirPods count?
15,normalfirdaus,I haven't even get my Token,"['even', 'get', 'token']",I haven't even get my Token
16,sharonshiroii,How different is this from current safe entry? Otherwise it seems like Govt trying to push for mass usage for money spent on something which basically perform the same task as current safe entry 🤔,"['differ', 'current', 'safe', 'entri', 'otherwis', 'seem', 'like', 'govt', 'tri', 'push', 'mass', 'usag', 'money', 'spent', 'someth', 'basic', 'perform', 'task', 'current', 'safe', 'entri']",How different is this from current safe entry? Otherwise it seems like Govt trying to push for mass usage for money spent on something which basically perform the same task as current safe entry :thinking_face:
17,kelssssssss___,I'd rather just watch netflix at home la,"['rather', 'watch', 'netflix', 'home', 'la']",I'd rather just watch netflix at home la
18,diekoenigstiger,"ah yes, 1 step closer to an orwellian future","['ah', 'ye', 'step', 'closer', 'orwellian', 'futur']","ah yes, 1 step closer to an orwellian future"
