,name,comment,processed_text,demojize_text
21,syamvstheuniverse,No CNY. Yaaaaas!,"['cni', 'yaaaaa']",No CNY. Yaaaaas!
22,sataysedapnya,"If u plan this correctly, it w mean u can exploit ur Rediscovers vouchers in Phase 3... 😜","['u', 'plan', 'correctli', 'w', 'mean', 'u', 'exploit', 'ur', 'rediscov', 'voucher', 'phase']","If u plan this correctly, it w mean u can exploit ur Rediscovers vouchers in Phase 3... :winking_face_with_tongue:"
23,ellindaxx,imagine when you only have 7 friends,"['imagin', 'friend']",imagine when you only have 7 friends
0,rgme6395,I want to wfh but my job doesn’t allow me to do so 🤣🤣🤣,"['want', 'wfh', 'job', 'allow']",I want to wfh but my job doesn’t allow me to do so :rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:
1,aaronchewcj,tolong pls lah WFH until i ORD next half year 🙃🙃,"['tolong', 'pl', 'lah', 'wfh', 'ord', 'next', 'half', 'year']",tolong pls lah WFH until i ORD next half year :upside-down_face::upside-down_face:
2,eric_toon,😡😡😡,[],:pouting_face::pouting_face::pouting_face:
3,chloecaracher,Wfh plssss,"['wfh', 'plssss']",Wfh plssss
4,nayelaxoxo,@humadeeba,[],@humadeeba
5,garialdisalim,Cognitive dissonance high for Phase 3...😅,"['cognit', 'disson', 'high', 'phase']",Cognitive dissonance high for Phase 3...:grinning_face_with_sweat:
6,fel.x.fel,Still prefer the option to wfh though! Everyone stays safe❤️,"['still', 'prefer', 'option', 'wfh', 'though', 'everyon', 'stay', 'safe']",Still prefer the option to wfh though! Everyone stays safe:red_heart:
7,kopi.on.the.rocks,I want to stay at home!!!!,"['want', 'stay', 'home']",I want to stay at home!!!!
8,cklim57,Too crowded at the public transport. If can let them continue to wfh. Reduce risk.,"['crowd', 'public', 'transport', 'let', 'continu', 'wfh', 'reduc', 'risk']",Too crowded at the public transport. If can let them continue to wfh. Reduce risk.
9,mr_alpaca_21,Just let me WFH till next yr I ord in Nov leh,"['let', 'wfh', 'till', 'next', 'yr', 'ord', 'nov', 'leh']",Just let me WFH till next yr I ord in Nov leh
10,mr_alpaca_21,Just let me WFH till next yr I ord in Nov leh,"['let', 'wfh', 'till', 'next', 'yr', 'ord', 'nov', 'leh']",Just let me WFH till next yr I ord in Nov leh
11,jeffreyleong,"Those who wish to continue WFH = weekday mindset, their weekend mindset is ""Come and let's meet for meals and catch up.""","['wish', 'continu', 'wfh', 'weekday', 'mindset', 'weekend', 'mindset', 'come', 'let', 'meet', 'meal', 'catch']","Those who wish to continue WFH = weekday mindset, their weekend mindset is ""Come and let's meet for meals and catch up."""
12,pepper.the.phantom.poodle,"Technology has caught up, this pandemic has proven many could wfh (not without its own set of problems). This should become a std feature going forward. The 1-2hrs saved from commuting really makes a differences to quality of life n productivity. Coy gets to save some on rents. Not good for REITS lol","['technolog', 'caught', 'pandem', 'proven', 'mani', 'could', 'wfh', 'without', 'set', 'problem', 'becom', 'std', 'featur', 'go', 'forward', 'save', 'commut', 'realli', 'make', 'differ', 'qualiti', 'life', 'n', 'product', 'coy', 'get', 'save', 'rent', 'good', 'reit', 'lol']","Technology has caught up, this pandemic has proven many could wfh (not without its own set of problems). This should become a std feature going forward. The 1-2hrs saved from commuting really makes a differences to quality of life n productivity. Coy gets to save some on rents. Not good for REITS lol"
13,kirti22arora,@nskumar23 100% agree,['agre'],@nskumar23 100% agree
14,kirti22arora,True,['true'],True
15,siewhuilim,@kaceycho 🥲,[],@kaceycho :smiling_face_with_tear:
16,jeffreyleong,"Those who wish to continue WFH = weekday mindset, their weekend mindset is ""Come and let's meet for meals and catch up.""","['wish', 'continu', 'wfh', 'weekday', 'mindset', 'weekend', 'mindset', 'come', 'let', 'meet', 'meal', 'catch']","Those who wish to continue WFH = weekday mindset, their weekend mindset is ""Come and let's meet for meals and catch up."""
17,saraswatpritu,Shoukd continue with WFH and allow pregnant women and elderly to continue WFH,"['shoukd', 'continu', 'wfh', 'allow', 'pregnant', 'women', 'elderli', 'continu', 'wfh']",Shoukd continue with WFH and allow pregnant women and elderly to continue WFH
18,norasyraf,How about nope,['nope'],How about nope
19,new_start_life_9108,😢 say no @growing_tgt,['say'],:crying_face: say no @growing_tgt
20,taboo_love86,Ppl not even aware of the social distancing anymore... 😒,"['ppl', 'even', 'awar', 'social', 'distanc', 'anymor']",Ppl not even aware of the social distancing anymore... :unamused_face:
21,nanie2909,Oh please ~ We have all already been summoned back to office when phase 2 started. 🙄😒,"['oh', 'pleas', 'alreadi', 'summon', 'back', 'offic', 'phase', 'start']",Oh please ~ We have all already been summoned back to office when phase 2 started. :face_with_rolling_eyes::unamused_face:
22,nanie2909,Oh please ~ We have all already been summoned back to office when phase 2 started. 🙄😒,"['oh', 'pleas', 'alreadi', 'summon', 'back', 'offic', 'phase', 'start']",Oh please ~ We have all already been summoned back to office when phase 2 started. :face_with_rolling_eyes::unamused_face:
23,bigboss.bailey,"""soon"" is redundant with ""near future""","['soon', 'redund', 'near', 'futur']","""soon"" is redundant with ""near future"""
24,jjasmineloh,"Let's welcome this Phase 3, and always remember mask up and good hand hygiene 🙌🏻🙌🏻🙌🏻 We will get through this 👍🏻🙆🏻‍♀️💪🏻💪🏻 @webcorn9","['let', 'welcom', 'phase', 'alway', 'rememb', 'mask', 'good', 'hand', 'hygien', 'get']","Let's welcome this Phase 3, and always remember mask up and good hand hygiene :raising_hands_light_skin_tone::raising_hands_light_skin_tone::raising_hands_light_skin_tone: We will get through this :thumbs_up_light_skin_tone::woman_gesturing_OK_light_skin_tone::flexed_biceps_light_skin_tone::flexed_biceps_light_skin_tone: @webcorn9"
25,itznat.yc,yes b!tches @siya_l8r_losers @_.tan.ya.__ @paultin.seppa @disowned_rug @fishie533 we can finally go out in a group :D,"['ye', 'b', 'tche', 'final', 'go', 'group']",yes b!tches @siya_l8r_losers @_.tan.ya.__ @paultin.seppa @disowned_rug @fishie533 we can finally go out in a group :D
26,fuckyoupine,9 can?,[],9 can?
27,mhdnurirwan,Wait for that one guy who complains 8 pax still not enough in the comments,"['wait', 'one', 'guy', 'complain', 'pax', 'still', 'enough', 'comment']",Wait for that one guy who complains 8 pax still not enough in the comments
28,j.heemangi,"I don't need much, just more entrances/ exits for malls omg pls","['need', 'much', 'exit', 'mall', 'omg', 'pl']","I don't need much, just more entrances/ exits for malls omg pls"
29,lilyman2030,"NYC no indoor dinning again starting today 14th Dec, 2020. Only outdoor dinning","['nyc', 'indoor', 'din', 'start', 'today', 'dec', 'outdoor', 'din']","NYC no indoor dinning again starting today 14th Dec, 2020. Only outdoor dinning"
30,aljy.8138,Yay,['yay'],Yay
31,fusher17,#peterLIMGOHOME😠😠😠 and go out of Valencia 😠😠😠👉,"['go', 'valencia']",#peterLIMGOHOME:angry_face::angry_face::angry_face: and go out of Valencia :angry_face::angry_face::angry_face::backhand_index_pointing_right:
32,fusher17,#peterLIMGOHOME😠😠😠 and go out of Valencia 😠😠😠👉,"['go', 'valencia']",#peterLIMGOHOME:angry_face::angry_face::angry_face: and go out of Valencia :angry_face::angry_face::angry_face::backhand_index_pointing_right:
33,ngohhengjong,👍👏💕,[],:thumbs_up::clapping_hands::two_hearts:
34,kim_ashlynn,I have 3 friends.,['friend'],I have 3 friends.
35,jojoo9657,No need opeennn,"['need', 'opeennn']",No need opeennn
36,newsoul162,I need karaoke!!!!,"['need', 'karaok']",I need karaoke!!!!
