,Unnamed: 0,name,comment,processed_comment
43,19,imaduckwhowantsgrapes,Wait then can shout inauspicious phrases or not,"['wait', 'shout', 'inauspici', 'phrase']"
44,0,rukky_kesh,"Lockdown is fun when you have a side income,it’s a good thing bitcoin is doing fine ! Thanks to @camille_binary_trade 15,450 USD in January stay safe","['lockdown', 'fun', 'side', 'incom', 'good', 'thing', 'bitcoin', 'fine', 'thank', 'usd', 'januari', 'stay', 'safe']"
45,1,cindytanks,😂😂,[]
46,2,christinaswq,Queue outside the door,"['queue', 'outsid', 'door']"
47,3,wengieloh,"Wait till 12midnight then enter lor. LOL ""next legal day"" police can do nothing ! lol","['wait', 'till', 'enter', 'lor', 'lol', 'next', 'legal', 'day', 'polic', 'noth', 'lol']"
48,4,aimieee_tenzinchoying,😂,[]
49,5,faithfulservantofchrist,Very unlikely we will follow the protocols CNY is a yearly affair,"['unlik', 'follow', 'protocol', 'cni', 'yearli', 'affair']"
50,6,fakyooj,knnbccbljpbk now i ang bao only 14 dollar,"['knnbccbljpbk', 'ang', 'bao', 'dollar']"
51,7,mega_1487,🤣🤣,[]
52,8,_jovan.__,Say your greetings along the corridor😂 & angbao put outside the house,"['say', 'greet', 'along', 'corridor', 'angbao', 'put', 'outsid', 'hous']"
53,9,mal.53512,Kenapa sayang air mata berlinang.....,"['kenapa', 'sayang', 'air', 'mata', 'berlinang']"
54,10,mal.53512,😍❤️😍,[]
55,11,rae_ariadne,Unless someone snitches..,"['unless', 'someon', 'snitch']"
56,12,khatibjudgycat,meoooowww meow 😿,"['meoooowww', 'meow']"
57,13,freshjooze,"expect people gathering and waiting for their turn to go up to the unit to visit.. if one cant break the system, they bend the system","['expect', 'peopl', 'gather', 'wait', 'turn', 'go', 'unit', 'visit', 'one', 'cant', 'break', 'system', 'bend', 'system']"
58,14,iamdatzme,"Then pls implement 8 pax per bus, train, office, classroom, supermarket.... etc!!!","['pl', 'implement', 'pax', 'per', 'bu', 'train', 'offic', 'classroom', 'supermarket', 'etc']"
59,15,cayra_lee,😂😂😂,[]
60,16,riziee_b,🤣,[]
61,17,itsmeshiyin,extend cny please 😰‼️‼️‼️‼️‼️‼️‼️🤱🏻🤱🏻🤱🏻🤱🏻🤱🏻🤱🏻😨😨😨😨😨😣😣😣😣😣😣🏂🏂🏂🏂🏂🏂🏂🏂🏂😱😱😱😱😱😡😡😡😡☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️,"['extend', 'cni', 'pleas']"
62,18,filthy_shaun,"Jokes on you, I don't have any friends","['joke', 'friend']"
63,19,k.kerynnn,please😗extend🛒chinese🧧new🎊year🍊please⛓,[]
64,20,alfpoon,"Nothing against Muslim friends. To compare CNY now vs Hari Raya last year is no comparison. https://www.todayonline.com/singapore/new-covid-19-cases-july-28 look at the number of cases last year vs now. Please...things will improve. We stay vigilant, your hari raya this year will be better than last year for sure. Its not tit for tat. No need to compare. Just saying...","['noth', 'muslim', 'friend', 'compar', 'cni', 'vs', 'hari', 'raya', 'last', 'year', 'comparison', 'look', 'number', 'case', 'last', 'year', 'vs', 'pleas', 'thing', 'improv', 'stay', 'vigil', 'hari', 'raya', 'year', 'better', 'last', 'year', 'sure', 'tit', 'tat', 'need', 'compar', 'say']"
65,21,faruq.mk62,Just vidcall zoom la.how we do for hari raya last so this year we can visit only to house only ok the nx day we visit again musilm got 1 month to visit the love one ok,"['vidcal', 'zoom', 'hari', 'raya', 'last', 'year', 'visit', 'hous', 'ok', 'nx', 'day', 'visit', 'musilm', 'got', 'month', 'visit', 'love', 'one', 'ok']"
66,22,angybofu,when u actually have 9 friends......,"['u', 'actual', 'friend']"
67,0,er3kaa,at least better than last yr hari raya LOL,"['least', 'better', 'last', 'yr', 'hari', 'raya', 'lol']"
68,1,dou555jiang,@hyhjasmine reminds me of your case. Hahah your friend’s house,"['remind', 'case', 'hahah', 'friend', 'hous']"
69,2,alfpoon,A fitting way to end the year of the 🐀. Turn everyone into snitches. 😂,"['fit', 'way', 'end', 'year', 'turn', 'everyon', 'snitch']"
70,3,roytankw,They also complicating themselves.,"['also', 'complic']"
71,4,su_anklet23,"Last year Hari Raya all celebrated thru vidcalls, zoom etc. At least this yr cny is slightly better. Stay safe everyone.","['last', 'year', 'hari', 'raya', 'celebr', 'thru', 'vidcal', 'zoom', 'etc', 'least', 'yr', 'cni', 'slightli', 'better', 'stay', 'safe', 'everyon']"
72,5,glaringbliss,You all still lucky can AT LEAST go visit on CNY. We last year Hari Raya video call only.,"['still', 'lucki', 'least', 'go', 'visit', 'cni', 'last', 'year', 'hari', 'raya', 'video', 'call']"
73,6,faruq.mk62,To all sporean just follow up enforcement actions fm mom to safe ur love one what PM Lee said ok,"['sporean', 'follow', 'enforc', 'action', 'fm', 'mom', 'safe', 'ur', 'love', 'one', 'pm', 'lee', 'said', 'ok']"
74,7,legendpvper,Let's see how many people actually comply,"['let', 'see', 'mani', 'peopl', 'actual', 'compli']"
75,8,vadimt84,Cancel cny please.,"['cancel', 'cni', 'pleas']"
76,9,thinktwicefirst,"How about foreign workers staying at apartments and condos, already 6 not from the same family staying together in one unit, can they accept 8 distinct visitors in a day too?","['foreign', 'worker', 'stay', 'apart', 'condo', 'alreadi', 'famili', 'stay', 'togeth', 'one', 'unit', 'accept', 'distinct', 'visitor', 'day']"
77,10,teckthye_17051997,Who is the one causing the migrant workers Dormitory having the covid Outbreak ? Who is the one who stop the Migraine workers for covid test ? Who the one who said if the Contractor Continue to send Migrant workers covid test work Permit will be terminated ? Please step down as a top civil servants than you talk . A good Government must be Responsible for what they have done. Don’t just talk on action too late . We as a citizen will no what to do in coming elections who to vote for,"['one', 'caus', 'migrant', 'worker', 'dormitori', 'covid', 'outbreak', 'one', 'stop', 'migrain', 'worker', 'covid', 'test', 'one', 'said', 'contractor', 'continu', 'send', 'migrant', 'worker', 'covid', 'test', 'work', 'permit', 'termin', 'pleas', 'step', 'top', 'civil', 'servant', 'talk', 'good', 'govern', 'must', 'respons', 'done', 'talk', 'action', 'late', 'citizen', 'come', 'elect', 'vote']"
78,11,teckthye_17051997,Pls Continue to import foreigners with Covid thanks for all this .,"['pl', 'continu', 'import', 'foreign', 'covid', 'thank']"
