,Unnamed: 0,name,comment,processed_comment
20,20,meganpannata,"me, yall @noviinovianty, JR, @natashaxu, ZJ, Max, xbb all can pio liao","['yall', 'jr', 'zj', 'max', 'xbb', 'pio', 'liao']"
21,21,pacukmc,"PM Lee, why do you only thank Singaporeans? what about our frontline workers, 80% of them who are foreigners and who are helping to keep us healthy and safe? should we not thank all Singapore ‘residents’ who play their part instead of only Singaporeans? As a Singaporean myself, I am concerned at this selective choice of audience. If Singapore truly wants to be a vibrant international hub, we need to be more inclusive, especially in our show of appreciation. Everyone is living in the same community. It is meaningless to draw any distinction now between Singaporeans and foreigners.","['pm', 'lee', 'thank', 'singaporean', 'frontlin', 'worker', 'foreign', 'help', 'keep', 'us', 'healthi', 'safe', 'thank', 'singapor', 'resid', 'play', 'part', 'instead', 'singaporean', 'singaporean', 'concern', 'select', 'choic', 'audienc', 'singapor', 'truli', 'want', 'vibrant', 'intern', 'hub', 'need', 'inclus', 'especi', 'show', 'appreci', 'everyon', 'live', 'commun', 'meaningless', 'draw', 'distinct', 'singaporean', 'foreign']"
22,22,thats_right_jimmy,Go FUCK Yourself. 🖕,"['go', 'fuck']"
23,0,ima.balr,Eh this fellow.. unless,"['eh', 'fellow', 'unless']"
24,1,charliechen81,the feng shui Master said 28th is a GOOD day? LOL,"['feng', 'shui', 'master', 'said', 'good', 'day', 'lol']"
25,2,we.shopforyou,why have to be friends? I am happy to be able to go out with my family which we have more than 5 people 🤣,"['friend', 'happi', 'abl', 'go', 'famili', 'peopl']"
26,3,spongycakes_,lsl had the audacity to assume that i have 7 friends,"['lsl', 'audac', 'assum', 'friend']"
27,4,yehuda5745,❤️,[]
28,5,redbluegreencorgi,5some was not enuff. Time for a 8some,"['enuff', 'time']"
29,6,vincen5222,Why not before Christmas like 25th. It will bring back some cheers after this long dreaded year.,"['christma', 'like', 'bring', 'back', 'cheer', 'long', 'dread', 'year']"
30,7,muhammad___afi,This one LJ lah because chinese new year coming that why open P3 fast,"['one', 'lj', 'lah', 'chines', 'new', 'year', 'come', 'open', 'fast']"
31,8,giz_102,Finally plus 3 more ppl....thats alot,"['final', 'plu', 'ppl', 'that', 'alot']"
32,9,asiahawk147,Yes yes can start planing for the charlet liao,"['ye', 'ye', 'start', 'plane', 'charlet', 'liao']"
33,10,parrisonhu,Robbie wanna have dinner phrase 3 soon 😄👌,"['robbi', 'wan', 'na', 'dinner', 'phrase', 'soon']"
34,11,parrisonhu,Guys if you never owe money but ah long harass you what should you do ?,"['guy', 'never', 'owe', 'money', 'ah', 'long', 'harass']"
35,12,atx_ii,NO I WANT TO ENJOY MY PEACE ALONE 😩✋,"['want', 'enjoy', 'peac', 'alon']"
36,13,qwertymese,Imagine the fear of the gov on 28th,"['imagin', 'fear', 'gov']"
37,14,imkimsama,Memes:yo hv NO friend..(´༎ຶ ͜ʖ ༎ຶ `)..,"['meme', 'yo', 'hv', 'friend']"
38,15,octifi_lifestyle,Comments here though 😄,"['comment', 'though']"
39,16,ire828,What about cny?,['cni']
40,17,khai_noob24,Me who go out with more then 5 people:👁👄👁,"['go', 'peopl']"
41,18,lionbreweryco,Yeah!!! 🍻🍻🍻🍻🍻🍻,['yeah']
42,19,cocks1ut,Who tf has 7 friends,"['tf', 'friend']"
43,20,meganpannata,"me, yall @noviinovianty, JR, @natashaxu, ZJ, Max, xbb all can pio liao","['yall', 'jr', 'zj', 'max', 'xbb', 'pio', 'liao']"
44,21,pacukmc,"PM Lee, why do you only thank Singaporeans? what about our frontline workers, 80% of them who are foreigners and who are helping to keep us healthy and safe? should we not thank all Singapore ‘residents’ who play their part instead of only Singaporeans? As a Singaporean myself, I am concerned at this selective choice of audience. If Singapore truly wants to be a vibrant international hub, we need to be more inclusive, especially in our show of appreciation. Everyone is living in the same community. It is meaningless to draw any distinction now between Singaporeans and foreigners.","['pm', 'lee', 'thank', 'singaporean', 'frontlin', 'worker', 'foreign', 'help', 'keep', 'us', 'healthi', 'safe', 'thank', 'singapor', 'resid', 'play', 'part', 'instead', 'singaporean', 'singaporean', 'concern', 'select', 'choic', 'audienc', 'singapor', 'truli', 'want', 'vibrant', 'intern', 'hub', 'need', 'inclus', 'especi', 'show', 'appreci', 'everyon', 'live', 'commun', 'meaningless', 'draw', 'distinct', 'singaporean', 'foreign']"
45,22,thats_right_jimmy,Go FUCK Yourself. 🖕,"['go', 'fuck']"
46,0,farhanbahaman,😂😂😂😂,[]
47,1,igniteous,when its phase 3 but u dont care please i want to stay at home,"['phase', 'u', 'dont', 'care', 'pleas', 'want', 'stay', 'home']"
48,2,aei_sle,"Don't worry guys, we have penny, chip and napkin","['worri', 'guy', 'penni', 'chip', 'napkin']"
49,3,kuberan_nadarajah,Looking for 2 more friends here to make it 3..,"['look', 'friend', 'make']"
50,4,trevajsj,haha,['haha']
51,5,trevajsj,i have like 100 frisnds,"['like', 'frisnd']"
52,6,eeelijahryan,@prisengpanda 🤣🤣,[]
53,7,parrisonhu,Its better not to have true friend than spy 😄👌,"['better', 'true', 'friend', 'spi']"
54,8,_lablongh._,btw i dont have friends,"['btw', 'dont', 'friend']"
55,9,_isaac._.ng_,@zer0.dylan,[]
56,10,laughingyaourt,@abigailchy @shzh.a @celadon_ 🤣🤣,[]
57,11,_n9tur3_l0v3r_,"I got friends, great friends. I'm just lazy af.","['got', 'friend', 'great', 'friend', 'lazi', 'af']"
58,12,richerthanyoulah,@jamieho.e you relate?,['relat']
59,13,shogun_of_titan,relatable😂,['relat']
60,14,jenn_0503,@s.afrn,[]
61,15,al_dzt,@flowww_b,[]
62,16,linusrmusic,@samanthiepantie @j.yee_ang 🤡🤡,[]
63,17,_jia.1,I have 2d friends to go out with,"['friend', 'go']"
64,18,perpetuallyinsomniac,@1lostarz1 me lmaooo,['lmaooo']
65,19,winnniee__,@mellybao,[]
66,20,evangoh1,@gang.y.gang lucky u have 1000 friends,"['lucki', 'u', 'friend']"
67,21,jeon._.jungshookkied,you js called me out 😍,"['js', 'call']"
