,id,conversation_id,date,time,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,link,video,reply_to,processed_tweets,emoji_decoded_tweets
93,1280370358814556160,1280370358814556160,2020-07-07,13:17:36,163350782,sktan5254,Soon Kiat Tan (SK),,At the mid of Pandemic. 3 reminders.  Wear Mask Safe Distancing Wash hands  #covid19 #tskrealtor,en,[],[],[],0,0,1,"['covid19', 'tskrealtor']",https://twitter.com/sktan5254/status/1280370358814556160,0,[],"['mid', 'pandem', 'remind', 'wear', 'mask', 'wash', 'hand']",At the mid of Pandemic. 3 reminders.  Wear Mask Safe Distancing Wash hands  #covid19 #tskrealtor
95,1279757508052017154,1279757508052017154,2020-07-05,20:42:21,257862528,shuraimmmm,Shuraim Basir,,My girlfriend and I was lining up for Swensons at about 8:35pm we saw that there was a barrier in place in the queue entrance. But we assumed that it was because of the safe distancing measures. We didn’t know they were stopping queues at 8:30am. One of the managers came to us..,en,[],[],[],0,0,0,[],https://twitter.com/Shuraimmmm/status/1279757508052017154,0,[],"['girlfriend', 'line', 'swenson', 'saw', 'barrier', 'place', 'queue', 'entranc', 'assum', 'measur', 'know', 'stop', 'queue', 'one', 'manag', 'came', 'us']",My girlfriend and I was lining up for Swensons at about 8:35pm we saw that there was a barrier in place in the queue entrance. But we assumed that it was because of the safe distancing measures. We didn’t know they were stopping queues at 8:30am. One of the managers came to us..
96,1279622130053742593,1279622130053742593,2020-07-05,11:44:24,226604286,zeligdhilee,Zelig Dhi Lee,,Videos of people crowding and cheering their respective parties this #ge2020 makes me worry as the government’s efforts in promoting safe distancing in the interest of curbing #covid19 would go to waste.,en,[],[],[],0,1,0,"['ge2020', 'covid19']",https://twitter.com/zeligdhilee/status/1279622130053742593,0,[],"['video', 'peopl', 'crowd', 'cheer', 'respect', 'parti', 'make', 'worri', 'govern', 'effort', 'promot', 'interest', 'curb', 'would', 'go', 'wast']",Videos of people crowding and cheering their respective parties this #ge2020 makes me worry as the government’s efforts in promoting safe distancing in the interest of curbing #covid19 would go to waste.
97,1279441333443125253,1279436790986731522,2020-07-04,23:45:59,8934712,izreloaded,IZ Reloaded,,@Clear_Liqueur Just wear mask and safe distancing. We know the science behind covid. There’s no need to be living in fear. It’s rare u catch covid if u r just passing by outdoors.,en,[],[],[],1,0,0,[],https://twitter.com/izreloaded/status/1279441333443125253,0,"[{'screen_name': 'Clear_Liqueur', 'name': 'Dr. Pam Liquored Up // Let’s mosey. 🌸', 'id': '48220779'}]","['wear', 'mask', 'know', 'scienc', 'behind', 'covid', 'need', 'live', 'fear', 'rare', 'u', 'catch', 'covid', 'u', 'r', 'pass', 'outdoor']",@Clear_Liqueur Just wear mask and safe distancing. We know the science behind covid. There’s no need to be living in fear. It’s rare u catch covid if u r just passing by outdoors.
98,1279204413563908098,1279204413563908098,2020-07-04,08:04:33,2378489462,bernardlim108,Bernard Lim,"{'type': 'Point', 'coordinates': [1.29468329, 103.83038163]}",Be Strong and Courageous  Don’t be afraid  Don’t be dismayed  For the LORD YOUR GOD Is with you wherever you go Joshua 1:9  Thank you LORD. We’re coming back.  Let’s all stay safe and observe social distancing…  https://t.co/V6i2dGFyUh,en,[],['https://www.instagram.com/p/CCMwrYXnK2N/?igshid=lbuuk409853u'],[],0,0,1,[],https://twitter.com/bernardlim108/status/1279204413563908098,0,[],"['strong', 'courag', 'afraid', 'dismay', 'lord', 'god', 'wherev', 'go', 'joshua', 'thank', 'lord', 'come', 'back', 'let', 'stay', 'observ', 'social']",Be Strong and Courageous  Don’t be afraid  Don’t be dismayed  For the LORD YOUR GOD Is with you wherever you go Joshua 1:9  Thank you LORD. We’re coming back.  Let’s all stay safe and observe social distancing…  https://t.co/V6i2dGFyUh
99,1278987296549867520,1278987296549867520,2020-07-03,17:41:48,897670747623006208,peacekitchensg,Peace Japanese Cuisine,"{'type': 'Point', 'coordinates': [1.34235498, 103.77625465]}",Business as Usual on Polling Day. Limited Seats due to Safe Distancing. Book Your Slots Early. Stay Safe and See You Soon. God Bless. #peacejapanesecuisine #平和日本料理#japanesecuisine #bestjapaneserestaurant #sgfoodies…  https://t.co/9hECkF9KmA,en,[],['https://www.instagram.com/p/CCLN8d6H5t_/?igshid=1monerbj5brm1'],[],0,0,0,"['peacejapanesecuisine', 'bestjapaneserestaurant', 'sgfoodies']",https://twitter.com/peacekitchensg/status/1278987296549867520,0,[],"['busi', 'usual', 'poll', 'day', 'limit', 'seat', 'due', 'book', 'slot', 'earli', 'stay', 'see', 'soon', 'god', 'bless']",Business as Usual on Polling Day. Limited Seats due to Safe Distancing. Book Your Slots Early. Stay Safe and See You Soon. God Bless. #peacejapanesecuisine #平和日本料理#japanesecuisine #bestjapaneserestaurant #sgfoodies…  https://t.co/9hECkF9KmA
100,1278943651024920577,1278943651024920577,2020-07-03,14:48:22,134719988,muhdmirza160194,محمد ميرزا,,No need to skip just for the rehearsals. We are not gonna celebrate NDP cos of Covid-19 due to safe distancing measures n etc for what do rehearsals. Y’all will die ah if no NDP this year 😒,en,[],[],[],0,0,0,[],https://twitter.com/muhdmirza160194/status/1278943651024920577,0,[],"['need', 'skip', 'rehears', 'gon', 'na', 'celebr', 'ndp', 'co', 'due', 'measur', 'n', 'etc', 'rehears', 'die', 'ah', 'ndp', 'year']",No need to skip just for the rehearsals. We are not gonna celebrate NDP cos of Covid-19 due to safe distancing measures n etc for what do rehearsals. Y’all will die ah if no NDP this year :unamused_face:
101,1278312895525371904,1278312895525371904,2020-07-01,21:01:58,751479601533104129,_laforketta,_laforketta,"{'type': 'Point', 'coordinates': [1.30333111, 103.8101924]}",Safe distancing measures  / / Our restaurant is open now for dine-in but we are happy to pack for takeaway.  We are still committed to ensuring the well being of our customers and co-workers. Strict preventive…  https://t.co/Wyz6gUf88e,en,[],['https://www.instagram.com/p/CCGbQ4Ent1J/?igshid=1aef1qmrxtmf7'],[],0,0,0,[],https://twitter.com/_laforketta/status/1278312895525371904,0,[],"['measur', 'restaur', 'open', 'happi', 'pack', 'takeaway', 'still', 'commit', 'ensur', 'well', 'custom', 'strict']",Safe distancing measures  / / Our restaurant is open now for dine-in but we are happy to pack for takeaway.  We are still committed to ensuring the well being of our customers and co-workers. Strict preventive…  https://t.co/Wyz6gUf88e
102,1277471709558431744,1277471709558431744,2020-06-29,13:19:24,2240421060,theshutterwhale,Mark Chua,"{'type': 'Point', 'coordinates': [1.2800945, 103.8509491]}",SafeEntry Tips and Tricks - How to Create Shortcuts and Use the SingPass App Like a Pro in Singapore   https://t.co/sJpg4FOGNq  #singapore #news #sgnews #safeentry #guide #tips #safedistancing #socialdistancing,en,[],['https://theshutterwhale.com/blog/2020/6/29/safeentry-tips-and-tricks-how-to-create-shortcuts-and-use-the-singpass-app-like-a-pro-in-singapore'],[],0,0,0,"['singapore', 'news', 'sgnews', 'safeentry', 'guide', 'tips', 'safedistancing', 'socialdistancing']",https://twitter.com/theshutterwhale/status/1277471709558431744,0,[],"['safeentri', 'tip', 'trick', 'creat', 'shortcut', 'use', 'singpass', 'app', 'like', 'pro', 'singapor']",SafeEntry Tips and Tricks - How to Create Shortcuts and Use the SingPass App Like a Pro in Singapore   https://t.co/sJpg4FOGNq  #singapore #news #sgnews #safeentry #guide #tips #safedistancing #socialdistancing
103,1277198097701986304,1277198097701986304,2020-06-28,19:12:10,160509447,eugeeniegaga,EUGEENIE,,"From 1 July, attractions like Singapore Zoo, USS &amp; S.E.A. Aquarium can reopen, but with safe distancing.",en,[],[],[],0,0,0,[],https://twitter.com/eugeeniegaga/status/1277198097701986304,0,[],"['juli', 'attract', 'like', 'singapor', 'zoo', 'uss', 'amp', 'aquarium', 'reopen']","From 1 July, attractions like Singapore Zoo, USS &amp; S.E.A. Aquarium can reopen, but with safe distancing."
