,Post Description,Post Datetime,Comments,Comment Datetime,num_words
74,"We started our national COVID-19 vaccination programme today. 

Our healthcare workers at the National Centre for Infectious Diseases were the first to receive the Pfizer-BioNTech vaccine in Singapore. They will get their second dose in 21 days. We will progressively roll out our vaccination program to staff at public healthcare institutions and private hospitals. We aim to make vaccination available to the elderly from February next year.

This comes after the Government accepted all the recommendations of the Expert Committee on COVID-19 Vaccinations on Sunday. The vaccine will enable us to better protect ourselves and our loved ones. 

Let me take this opportunity to thank all our healthcare workers and frontline staff for your dedication and outstanding work in keeping all of us safe in Singapore.

(Senior staff nurse Sarah Lim was the first to receive the Pfizer BioNTech vaccine this morning. / MCI Photo by Lee Jia Wen)",2020-12-30 08:55:35+00:00,"👏 👏 with their planning and decisions, the government deserves utmost commendation for their tremendous effort to ensure that all in Singapore are well looked after in these difficult times.",2020-12-30 13:06:20+00:00,28
86,"Our first shipment of the Pfizer-BioNTech COVID-19 vaccine arrived this evening at @changiairport!⁣
⁣
We will be announcing details for vaccination in due course, with priority for frontline workers and our seniors.⁣
⁣
Many thanks to everyone who has made this possible – from securing early access to vaccines, certifying that it is effective and safe for use, and to transporting them to Singapore.⁣
⁣
#SGUnited⁣
#SingaporeTogether⁣
⁣
(MCI Photo by Betty Chua)",2020-12-21 15:11:30+00:00,@4m_qh u got anything to say ?,2020-12-22 00:22:48+00:00,5
92,"Our first shipment of the Pfizer-BioNTech COVID-19 vaccine arrived this evening at @changiairport!⁣
⁣
We will be announcing details for vaccination in due course, with priority for frontline workers and our seniors.⁣
⁣
Many thanks to everyone who has made this possible – from securing early access to vaccines, certifying that it is effective and safe for use, and to transporting them to Singapore.⁣
⁣
#SGUnited⁣
#SingaporeTogether⁣
⁣
(MCI Photo by Betty Chua)",2020-12-21 15:11:30+00:00,"Isn't it supposed to be stored under minus 70°C condition? The plane, the transfer from plane to ground & transport away from the airport...worrying!",2020-12-22 03:45:40+00:00,23
95,"Our first shipment of the Pfizer-BioNTech COVID-19 vaccine arrived this evening at @changiairport!⁣
⁣
We will be announcing details for vaccination in due course, with priority for frontline workers and our seniors.⁣
⁣
Many thanks to everyone who has made this possible – from securing early access to vaccines, certifying that it is effective and safe for use, and to transporting them to Singapore.⁣
⁣
#SGUnited⁣
#SingaporeTogether⁣
⁣
(MCI Photo by Betty Chua)",2020-12-21 15:11:30+00:00,"Thank you for sharing, DPM Heng 👍🇸🇬👏👏👏",2020-12-22 05:00:17+00:00,6
96,"Our first shipment of the Pfizer-BioNTech COVID-19 vaccine arrived this evening at @changiairport!⁣
⁣
We will be announcing details for vaccination in due course, with priority for frontline workers and our seniors.⁣
⁣
Many thanks to everyone who has made this possible – from securing early access to vaccines, certifying that it is effective and safe for use, and to transporting them to Singapore.⁣
⁣
#SGUnited⁣
#SingaporeTogether⁣
⁣
(MCI Photo by Betty Chua)",2020-12-21 15:11:30+00:00,"Please take the vaccine first, thank you.",2020-12-22 05:19:16+00:00,7
109,"Our first shipment of the Pfizer-BioNTech COVID-19 vaccine arrived this evening at @changiairport!⁣
⁣
We will be announcing details for vaccination in due course, with priority for frontline workers and our seniors.⁣
⁣
Many thanks to everyone who has made this possible – from securing early access to vaccines, certifying that it is effective and safe for use, and to transporting them to Singapore.⁣
⁣
#SGUnited⁣
#SingaporeTogether⁣
⁣
(MCI Photo by Betty Chua)",2020-12-21 15:11:30+00:00,Thank you to each and everyone who is involve in bringing the vaccines into Singapore! Remember SIA and the SATs people and all.,2020-12-21 16:03:22+00:00,23
111,"Our first shipment of the Pfizer-BioNTech COVID-19 vaccine arrived this evening at @changiairport!⁣
⁣
We will be announcing details for vaccination in due course, with priority for frontline workers and our seniors.⁣
⁣
Many thanks to everyone who has made this possible – from securing early access to vaccines, certifying that it is effective and safe for use, and to transporting them to Singapore.⁣
⁣
#SGUnited⁣
#SingaporeTogether⁣
⁣
(MCI Photo by Betty Chua)",2020-12-21 15:11:30+00:00,Thank you for taking good care of us during covid 19 pandemic!,2020-12-21 16:12:20+00:00,11
113,"Our first shipment of the Pfizer-BioNTech COVID-19 vaccine arrived this evening at @changiairport!⁣
⁣
We will be announcing details for vaccination in due course, with priority for frontline workers and our seniors.⁣
⁣
Many thanks to everyone who has made this possible – from securing early access to vaccines, certifying that it is effective and safe for use, and to transporting them to Singapore.⁣
⁣
#SGUnited⁣
#SingaporeTogether⁣
⁣
(MCI Photo by Betty Chua)",2020-12-21 15:11:30+00:00,Great news !!! Thank you sir for your and team’s efforts in looking after us and keeping us safe doing the challenging times. 🙏🏼👏🏻,2020-12-21 18:01:53+00:00,23
115,"The @unitednations is marking its 75th anniversary in an extraordinary year.
 
Every country is doing its best to contain the spread of the virus and the economic fallout. But no place can truly be safe, until every place is safe.
 
This is why strong international cooperation is critical to accelerate the development of vaccines, maximise production capacity, and ensure the affordable, fair and equitable access to vaccines for all.
 
New and innovative forms of multilateral cooperation have been created in response to the pandemic, including the Access to COVID-19 Tools (ACT) Accelerator and the COVID-19 Global Vaccines Access (COVAX) Facility. Singapore is an early support of these initiatives, and also co-chairs the Friends of the COVAX Facility with Switzerland.
 
Our collective effort will enable us to overcome this crisis. By working together and strengthening the foundations of international cooperation, we can better deal with future crises and achieve the Sustainable Development Goals, so as to build a better future for our people. 
 
You can watch my recorded statement at the High-Level Event on the COVID-19 response at the UN General Assembly on my Facebook Page. 

(MCI Photo by Zinkie Aw)",2020-09-30 14:00:45+00:00,I still dk the east coast plan,2020-09-30 14:02:41+00:00,7
117,"Health and finance have always been closely intertwined, and in a pandemic, this is even more so. Earlier this evening, Gan Kim Yong and I participated in the Joint Finance and Health Ministers Meeting hosted by @g20org. We thank our Saudi colleagues for their leadership. COVID-19 is a global crisis, so international cooperation is critical. The #G20, which covers nearly 80% of the world’s economy, and the @who have key roles to play.
 
Countries, International Organisations and the private sector are joining forces to accelerate vaccine development, maximise manufacturing capacity, and ensure equitable distribution. Singapore is an early supporter of the COVID-19 Vaccine Global Access Facility. Switzerland and Singapore are also co-chairing the “Friends of the COVAX Facility” to promote vaccine multilateralism. 
 
At the same time, as we restart our economies in a safe manner, countries need to coordinate our resumption of activities. As we restart air travel, testing will be key to give assurance to travellers and public health authorities. We must work together to develop international standards, and share test results quickly including through electronic means.
 
We must also continue to identify gaps and strengthen our health and financial resilience against future outbreaks.
 
(MCI Photo by Betty Chua)",2020-09-17 13:44:44+00:00,❤️this is a good initiative. thank u DPM for such efforts. agree totally with u,2020-09-17 13:51:45+00:00,14
124,"Health and finance have always been closely intertwined, and in a pandemic, this is even more so. Earlier this evening, Gan Kim Yong and I participated in the Joint Finance and Health Ministers Meeting hosted by @g20org. We thank our Saudi colleagues for their leadership. COVID-19 is a global crisis, so international cooperation is critical. The #G20, which covers nearly 80% of the world’s economy, and the @who have key roles to play.
 
Countries, International Organisations and the private sector are joining forces to accelerate vaccine development, maximise manufacturing capacity, and ensure equitable distribution. Singapore is an early supporter of the COVID-19 Vaccine Global Access Facility. Switzerland and Singapore are also co-chairing the “Friends of the COVAX Facility” to promote vaccine multilateralism. 
 
At the same time, as we restart our economies in a safe manner, countries need to coordinate our resumption of activities. As we restart air travel, testing will be key to give assurance to travellers and public health authorities. We must work together to develop international standards, and share test results quickly including through electronic means.
 
We must also continue to identify gaps and strengthen our health and financial resilience against future outbreaks.
 
(MCI Photo by Betty Chua)",2020-09-17 13:44:44+00:00,"Ty Sirs. For understanding undying fortune, is health issues. Health is wealth n wealth is happening",2020-09-18 17:59:27+00:00,16
126,"Health and finance have always been closely intertwined, and in a pandemic, this is even more so. Earlier this evening, Gan Kim Yong and I participated in the Joint Finance and Health Ministers Meeting hosted by @g20org. We thank our Saudi colleagues for their leadership. COVID-19 is a global crisis, so international cooperation is critical. The #G20, which covers nearly 80% of the world’s economy, and the @who have key roles to play.
 
Countries, International Organisations and the private sector are joining forces to accelerate vaccine development, maximise manufacturing capacity, and ensure equitable distribution. Singapore is an early supporter of the COVID-19 Vaccine Global Access Facility. Switzerland and Singapore are also co-chairing the “Friends of the COVAX Facility” to promote vaccine multilateralism. 
 
At the same time, as we restart our economies in a safe manner, countries need to coordinate our resumption of activities. As we restart air travel, testing will be key to give assurance to travellers and public health authorities. We must work together to develop international standards, and share test results quickly including through electronic means.
 
We must also continue to identify gaps and strengthen our health and financial resilience against future outbreaks.
 
(MCI Photo by Betty Chua)",2020-09-17 13:44:44+00:00,I mean health is wealth n wealth is health,2020-09-18 18:00:30+00:00,9
147,"I spoke to PRC Vice Premier Han Zheng earlier today. Much has changed since we last spoke in February, as we now face the common challenge of resuming social and economic activities, while safeguarding against further waves of COVID-19 infections.⁣
⁣
Vice Premier Han and I discussed how China and Singapore can deepen existing cooperation and work together in new areas. One key area of cooperation that we discussed was public health, including the development of COVID-19 diagnostics, vaccines and treatments. I thanked Vice Premier Han for China’s pledge to make Chinese vaccines available globally. We also agreed that it was important to further strengthen connectivity between our two countries and with the rest of the world, in areas such as supply chain, financial, infrastructure and flight connectivity. This will enable the flow of goods, people and investments that are necessary for economic recovery.⁣
⁣
I am glad that our joint efforts to create new opportunities and enhance connectivity have continued despite COVID-19, including through key bilateral projects and cooperation on the Belt and Road Initiative. The strides that we have taken reflects our common resolve to overcome the pandemic together and emerge stronger.⁣
⁣
This is an important year for our countries as we mark the 30th anniversary of diplomatic relations. I look forward to welcoming Vice Premier Han to Singapore for the Joint Council for Bilateral Cooperation (JCBC) meeting when the COVID situation permits.⁣
⁣
(With PRC Vice Premier Han Zheng at the opening of China-Singapore Chongqing Connectivity Initiative Gallery, in October 2019. / MCI Photo by Chwee)",2020-07-31 08:31:50+00:00,Boycott Chinese Products! Down with the CCP!,2020-08-06 00:21:31+00:00,7
149,"I spoke to PRC Vice Premier Han Zheng earlier today. Much has changed since we last spoke in February, as we now face the common challenge of resuming social and economic activities, while safeguarding against further waves of COVID-19 infections.⁣
⁣
Vice Premier Han and I discussed how China and Singapore can deepen existing cooperation and work together in new areas. One key area of cooperation that we discussed was public health, including the development of COVID-19 diagnostics, vaccines and treatments. I thanked Vice Premier Han for China’s pledge to make Chinese vaccines available globally. We also agreed that it was important to further strengthen connectivity between our two countries and with the rest of the world, in areas such as supply chain, financial, infrastructure and flight connectivity. This will enable the flow of goods, people and investments that are necessary for economic recovery.⁣
⁣
I am glad that our joint efforts to create new opportunities and enhance connectivity have continued despite COVID-19, including through key bilateral projects and cooperation on the Belt and Road Initiative. The strides that we have taken reflects our common resolve to overcome the pandemic together and emerge stronger.⁣
⁣
This is an important year for our countries as we mark the 30th anniversary of diplomatic relations. I look forward to welcoming Vice Premier Han to Singapore for the Joint Council for Bilateral Cooperation (JCBC) meeting when the COVID situation permits.⁣
⁣
(With PRC Vice Premier Han Zheng at the opening of China-Singapore Chongqing Connectivity Initiative Gallery, in October 2019. / MCI Photo by Chwee)",2020-07-31 08:31:50+00:00,"Closer engagement with our neighbouring superpower is crucial. When the tide rises, all the boats rise with it.",2020-08-08 08:42:32+00:00,18
