,temp,text,time,comments,url,postid,
1,3.21E+15,"Tomorrow marks the start of the holy month of Ramadan, the fasting month for Muslims.

Fasting month this year will be markedly different. There will be no communal Terawih prayers, because mosques are all closed. Many would also be unable to break fast with their close family and friends, as they usually do. I hope you understand why the circuit breaker restrictions are being extended, to stamp out new COVID-19 transmissions and protect all of us.

I am glad that the Islamic Religious Council of Singapore (MUIS) is providing many online resources, such as SalamSG TV (go.gov.sg/salamsgtv) to foster the Ramadan spirit.

To all our Muslim friends, I wish you a blessed and fulfilling fasting month. May this Ramadan be a time of quiet reflection and prayer, together with your immediate families. â€“ LHL

----
Bulan suci Ramadan atau bulan puasa bagi umat Islam bermula esok.

Bulan puasa tahun ini amat berbeza. Rakan-rakan Muslim kita tidak dapat mengerjakan ibadah secara berkumpulan di masjid seperti sembahyang Terawih kerana masjid-masjid masih ditutup. Mereka juga tidak dapat berbuka puasa beramai-ramai bersama sanak-saudara dan kenalan seperti yang biasa diamalkan. Saya harap anda memahami mengapa kita perlu memperketatkan langkah pemutus rantaian jangkitan COVID-19 dan melanjutkan tempohnya. Semuanya demi menghapuskan wabak ini dan melindungi kita semua.

Saya gembira bahawa MUIS menyediakan banyak wadah dan bahan-bahan online, seperti SalamSG TV (go.gov.sg/salamsgtv) untuk menyemarakkan semangat Ramadan.

Kepada semua umat Islam, selamat menjalani ibadah puasa. Semoga Ramadan ini menyediakan waktu buat renungan dan peluang beribadah bersama keluarga yang terdekat. - LHL

(The majestic Sultan Mosque and the quiet Arab Street area during the circuit breaker period. / MCI Photo by Fyrol)",23/4/2020 18:00,904,https://facebook.com/leehsienloong/posts/3214961655233185,32149616,55233180
1,3.20E+15,"Today is day 12 of our circuit breaker.

This article explains clearly the rationale for the circuit breaker, and what outcomes we hope to see, as people reduce physical interaction and slow the spread of the virus.

The numbers in the migrant worker dorms are still going up. The migrant workers who are ill are getting the medical treatment they need. Fortunately, the vast majority of the cases are mild, because the workers are young. Our healthcare teams continue to monitor their conditions.

We are working to break the chain of transmission in the dorms, to reduce the number of new cases. It will take some time to show results, so we must expect to see more dorm cases for a while longer. But we are building up our healthcare and isolation facilities to handle the load.

In the broader community, there are a few early signs that the circuit breaker is bringing cases down. But we are still worried about hidden cases circulating in our population, which are keeping the outbreak going.

The next few days will be critical. All of us must do our part, in order to defeat COVID-19. â€“ LHL

#StayhomeforSG
#SGUnited
#SingaporeTogether

TODAYONLINE.COM
Singaporeâ€™s circuit breaker: Experts take stock on Day 11 â€” when hoped-for positive effects were to show",18/4/2020 14:28,1013,https://facebook.com/leehsienloong/posts/3202239936505357,32022399,36505350
1,3.18E+15,"Prime Minister Jacinda Ardern and I spoke on the phone this afternoon. We updated each other on how we are managing COVID-19 in Singapore and New Zealand. We are both implementing strict circuit breaking measures, to break transmission of the virus and squeeze the cases down.

PM Ardern shared that after New Zealand implemented their measures, numbers only started to come down on Day 11. We are only in Day 3 and still have a long way to go. If we all comply strictly, as the New Zealanders have done, hopefully by our Day 11 we too will see positive results.

PM Ardern and I also discussed how we can support each other during this time, including keeping supply chains intact between the two countries. Both Singapore and New Zealand will continue to do our part in this global fight against COVID-19.

At home, Masagos Zulkifli has announced that enforcement officers will immediately take down the particulars of anyone breaching the measures (https://go.gov.sg/u5gbvi). We cannot wait to save lives. Please do your part today. â€“ LHL

#SGUnited

(Meeting PM Jacinda Ardern during her official visit to Singapore last year. / MCI Photo by Kenji Soon)",4/9/2020 17:01,577,https://facebook.com/leehsienloong/posts/3180526012010083,31805260,12010080
1,3.18E+15,"A timely, strong reminder from Min Masagos Zulkifli about what is at stake. We are on the third day of our â€œcircuit breakerâ€, but still far too many public gatherings are happening. The number of new COVID-19 cases is increasing sharply, and we must comply with the Stay Home measures very strictly.

From today, any group gathering in public will immediately be issued a written warning by enforcement officers.

If your loved ones do not understand how serious this is, please try hard to help them understand.

The more we take liberties with the Stay Home measures, the longer these painful measures will have to last. I know we all want to go back to normalcy, but this can only happen if we take things seriously. â€“ LHL

#StayhomeforSG
#SGUnited

Masagos Zulkifli
8 April 2020 at 14:56 Â·

#DoNotWasteOur5bn

We are implementing the 28-day circuit breaker to suppress the spread of COVID-19. It is inconvenient and costly. To ease the pain for all of us â€“ households, workers and firms â€“ the government is spending $5bn in the Solidarity Budget, including money from our Reserves.

All we need to do is to Stay Home! I know many of us are staying home. But our Enforcement Officers are still finding people, young and old, gathering in groups day and night on the 2nd day of our circuit breaker. Exercise groups are still meeting in the parks. A good number still do not observe safe distancing when queueing, especially in the markets. These are where clusters of infections can be born.

Our Enforcement Officers have been tirelessly walking the ground. They issued 3,000 advisories today. Fewer than yesterday, but only because the groups dispersed when advised. The point is that there are still many gatherings in public places. This is very worrying.

I ask everyone to take the circuit breaker with the utmost seriousness. We have published the COVID-19 (Temporary Measures) (Control Order) Regulations 2020, to authorise Enforcement Officers to act. From tomorrow if Enforcement Officers come across persons gathered in public, they will issue them written warnings immediately, BEFORE dispersing them. Subsequent infringements will incur a fine or prosecution in court.

We need to work together:
Let's all Stay Home
Go out only for essentials
Wear a mask when you go out

If we do all these, we can hope to see infections decrease over the next few weeks, and to go out more again after the circuit breaker ends.

Today we saw a record 142 new cases. Almost all were local ones. We are already 2 days into the circuit breaker! If we continue like this, all our sacrifices will be in vain, and so too the $5bn Solidarity Budget.

I'm sure we have the resolve to Stay Home. 26 days left. Let's show the world that we can!

#SGUnited
#COVID19
#StayhomeforSG

https://www.mewr.gov.sg/news/three-written-stern-warnings-and-10-000-written-advisories-issued-for-failure-to-comply-with-safe-distancing-measures--closure-of-public-spaces-to-prevent-congregations-1",4/9/2020 9:31,570,https://facebook.com/leehsienloong/posts/3179903892072295,31799038,92072290
1,3.18E+15,"The full suite of â€œcircuit breakerâ€ measures kicked in today. Cabinet still had to meet, but we separated into two locations, connected via teleconferencing. We also spaced out to maintain safe distancing, and wore masks to keep our droplets to ourselves.

The â€œcircuit breakerâ€ is essential to fight the COVID-19 outbreak. As we expected, daily numbers of new cases are still going up, and faster than before. We must bring the numbers down, and the only way is for all of us to observe the circuit breaker measures strictly.

Stay at home, except when you have to go out to do essential work or buy food. If you need to go to the market, stagger your timing too. Avoid being part of the crowd. This is not a month long holiday, when we can go out for jalan jalan or to meet up with friends.

The health of us all depends on the actions of each of us. Please do your part. â€“ LHL

#SGUnited

(Half the meeting group, as viewed on the TV monitor. / MCI Photo by Zinkie Aw)",4/8/2020 19:18,800,https://facebook.com/leehsienloong/posts/3178354698893881,31783546,98893880
1,3.18E+15,"Today is the first day of COVID-19 circuit breaking measures. It is timely that we also rounded up the debate on the Resilience and Solidarity Budgets.

Glad that all Members of Parliament supported the measures. They raised useful ideas to improve the policies to support businesses, workers and households through this crisis.

While we deal with immediate challenges, we must keep an eye on the future too. The MPs raised a relevant question: we do need to use the reserves now, but are we being fiscally prudent enough? Will we still have enough reserves to do more later, if the situation calls for it?

When this is over, the past will not come back. Hence DPM Heng Swee Keat set up two initiatives to think ahead â€” a taskforce on Emerging Stronger to cover the economy, as well as a new emphasis on social resilience under the Singapore Together Movement.

Beyond the Budget measures, it will be our own determination and discipline that will see us through, and keep us safe for the future. â€“ LHL

#SGUnited
#SGTogether

(A quiet Orchard Road on the first day of a month-long â€˜circuit breakerâ€™. / MCI Photo by Fyrol)",4/7/2020 19:03,761,https://facebook.com/leehsienloong/posts/3175985985797419,31759859,85797410
1,3.18E+15,"Today is World Health Day â€“ a global health campaign organised by the World Health Organization (WHO). This yearâ€™s theme celebrates the work of nurses and midwives â€” a fitting one to salute the healthcare professionals working selflessly and tirelessly to care for patients in the midst of the COVID-19 pandemic.

I was cheered by this video of â€œHomeâ€ sung by around 70 of our healthcare workers, and dedicated to all Singaporeans and fellow healthcare workers. Glad to see them positive and in good spirits during these tough times. My deepest thanks to all of you for your dedication and commitment to save lives and bring comfort to the ill and infirm.

Our month long circuit breaker starts today. Let us all do our part to support our healthcare professionals by staying at home, and complying with the enhanced measures in place. â€“ LHL

#SGUnited
#SingaporeTogether

YOUTUBE.COM
Home - Singapore Healthcare Workers in Solidarity against COVID-19",4/7/2020 10:08,495,https://facebook.com/leehsienloong/posts/3175224125873605,31752241,25873600
1,3.17E+15,"We are all fighting COVID-19 together. The circuit breaker measures take effect tomorrow. They will affect us all.

DPM Heng Swee Keat announced a â€œSolidarity Budgetâ€ today in Parliament, to help see Singaporeans through the circuit breaker period. This is on top of the earlier Unity Budget and Resilience Budget. There will be more protection for jobs and livelihoods, more support for workers and firms, and more help for all Singaporeans. Some schemes will be enhanced, others will be brought forward so help can reach you sooner. You can find out more in the link below.

But all these measures will be in vain, unless we all comply strictly with the measures. Everyone needs to be serious about staying at home, and not go about unless absolutely necessary. If you have to go out, practise safe distancing.

If you see the elderly out and about, please gently remind them to stay home. They are the ones most at risk from COVID-19. Be responsible and protect your family, friends, and fellow Singaporeans. â€“ LHL

#SGUnited

SINGAPOREBUDGET.GOV.SG
MOF | Singapore Budget 2020 | Solidarity Budget",4/6/2020 18:52,716,https://facebook.com/leehsienloong/posts/3173281286067889,31732812,86067880
2,4.07E+15,"As DPM Heng Swee Keat announced in his Budget speech today, the FY2020 budget deficit was 13.9% of GDP, the largest ever. This was what we needed, to keep Singaporeans safe and protect their livelihoods during COVID-19.

This year, we will continue to help Singaporeans and businesses through the $11 billion COVID-19 Resilience Package. Although we are again running a deficit, it is much smaller â€“ only 2.2% of GDP. Things are gradually returning to normal.

While grappling with the pandemic, we must not neglect the future. Hence the Budget has many items that build our capabilities and competitiveness. When the sun shines again, we must be ready to seize the new opportunities.

This â€œcan doâ€ spirit helped us overcome the last financial crisis. With the resilience that our people have shown this time, I am confident that we can do it again.

Find out more about the Budget here: www.singaporebudget.gov.sg

â€“ LHL

CHANNELNEWSASIA.COM
Emerging stronger from COVID-19 crisis the focus of Budget 2021",16/2/2021 18:34,248,https://facebook.com/leehsienloong/posts/4068591463203529,40685914,63203520
2,3.88E+15,"Christmas will be a more subdued affair this year because of the pandemic. There wonâ€™t be large parties or celebrations, but thereâ€™s still plenty to see and do with your SingapoRediscover Vouchers. Itâ€™s a good opportunity to spend more time with loved ones and reflect on the true meaning of Christmas. â€“ LHL

(The lights of the Singapore Flyer and Helix Bridge as seen from a distance./ Photo by me)",12/10/2020 10:01,174,https://facebook.com/leehsienloong/posts/3883564248372919,38835714,98372190
