,Unnamed: 0,Unnamed: 0.1,name,comment,processed_comment,emoji_decoded_comment
0,0,0,jojobascrubs84,Never do bad things scared for what,"['never', 'bad', 'thing', 'scare']",Never do bad things scared for what
1,1,1,octifi_lifestyle,But when the pandemic will be over...,['pandem'],But when the pandemic will be over...
2,2,2,_eijiewa_,The question is when the pandemic will be over,"['question', 'pandem']",The question is when the pandemic will be over
3,3,3,kenkopite,@vivianbalakrishnan What does 'taking full responsibility' mean to you? From the YOG budget till now this - how many mistakes have you made? And @leehsienloong what is your take on these mistakes?,"['full', 'respons', 'mean', 'yog', 'budget', 'till', 'mani', 'mistak', 'made', 'take', 'mistak']",@vivianbalakrishnan What does 'taking full responsibility' mean to you? From the YOG budget till now this - how many mistakes have you made? And @leehsienloong what is your take on these mistakes?
4,4,4,liyanloves,"I feel that even after pandemic is over, we could still have contact tracing to protect ourselves from any danger especially ladies.","['feel', 'even', 'pandem', 'could', 'still', 'contact', 'trace', 'protect', 'danger', 'especi', 'ladi']","I feel that even after pandemic is over, we could still have contact tracing to protect ourselves from any danger especially ladies."
5,5,5,ong_kian_y,“I take full responsibility” Trump “it’s not my fault”,"['take', 'full', 'respons', 'trump', 'fault']",“I take full responsibility” Trump “it’s not my fault”
6,6,6,kimotakaa,"i dont get it , Tracetogether sole purpose was to ensure safety of singaporeans during this pandemic . So how are they using the data from Tracetogether to help solve a murder be so bad afterall ? What if it was crucial data?? Maybe it is their fault but come on la if they dont use it just think about the families on the other spectrum. im not a pap dude but come on what hes doing is helping in solving the crime what harm has that got to do with anything ?","['dont', 'get', 'tracetogeth', 'sole', 'purpos', 'ensur', 'safeti', 'singaporean', 'pandem', 'use', 'data', 'tracetogeth', 'help', 'solv', 'murder', 'bad', 'afteral', 'crucial', 'data', 'mayb', 'fault', 'come', 'la', 'dont', 'use', 'think', 'famili', 'spectrum', 'im', 'pap', 'dude', 'come', 'he', 'help', 'solv', 'crime', 'harm', 'got', 'anyth']","i dont get it , Tracetogether sole purpose was to ensure safety of singaporeans during this pandemic . So how are they using the data from Tracetogether to help solve a murder be so bad afterall ? What if it was crucial data?? Maybe it is their fault but come on la if they dont use it just think about the families on the other spectrum. im not a pap dude but come on what hes doing is helping in solving the crime what harm has that got to do with anything ?"
7,7,7,kenkopite,"@vivianbalakrishnan Can you please explain how did you give the statement that TT data would only be used for contact tracing purposes in June 2020, which is 1 month AFTER TT data had already been accessed by the police in May 2020 for a case investigation?","['pleas', 'explain', 'give', 'statement', 'tt', 'data', 'would', 'use', 'contact', 'trace', 'purpos', 'june', 'month', 'tt', 'data', 'alreadi', 'access', 'polic', 'may', 'case', 'investig']","@vivianbalakrishnan Can you please explain how did you give the statement that TT data would only be used for contact tracing purposes in June 2020, which is 1 month AFTER TT data had already been accessed by the police in May 2020 for a case investigation?"
8,8,8,kid474,can you (government) be clear on the usage of the TT device? Is it for pandemic or crime? What's the purpose of it should you decide to disable them after the pandemic. You're contradicting yourself please make up your mind. 😤,"['govern', 'clear', 'usag', 'tt', 'devic', 'pandem', 'crime', 'purpos', 'decid', 'disabl', 'pandem', 'contradict', 'pleas', 'make', 'mind']",can you (government) be clear on the usage of the TT device? Is it for pandemic or crime? What's the purpose of it should you decide to disable them after the pandemic. You're contradicting yourself please make up your mind. :face_with_steam_from_nose:
9,9,9,englingang,"Hmmm... if it helps to fight crime, why not keep it as a deterrent?","['hmmm', 'help', 'fight', 'crime', 'keep', 'deterr']","Hmmm... if it helps to fight crime, why not keep it as a deterrent?"
