,Unnamed: 0,Unnamed: 0.1,name,comment,processed_comment,emoji_decoded_comment
65,65,21,faruq.mk62,Just vidcall zoom la.how we do for hari raya last so this year we can visit only to house only ok the nx day we visit again musilm got 1 month to visit the love one ok,"['vidcal', 'zoom', 'hari', 'raya', 'last', 'year', 'visit', 'hous', 'ok', 'nx', 'day', 'visit', 'musilm', 'got', 'month', 'visit', 'love', 'one', 'ok']",Just vidcall zoom la.how we do for hari raya last so this year we can visit only to house only ok the nx day we visit again musilm got 1 month to visit the love one ok
66,66,22,angybofu,when u actually have 9 friends......,"['u', 'actual', 'friend']",when u actually have 9 friends......
67,67,0,er3kaa,at least better than last yr hari raya LOL,"['least', 'better', 'last', 'yr', 'hari', 'raya', 'lol']",at least better than last yr hari raya LOL
68,68,1,dou555jiang,@hyhjasmine reminds me of your case. Hahah your friend’s house,"['remind', 'case', 'hahah', 'friend', 'hous']",@hyhjasmine reminds me of your case. Hahah your friend’s house
69,69,2,alfpoon,A fitting way to end the year of the 🐀. Turn everyone into snitches. 😂,"['fit', 'way', 'end', 'year', 'turn', 'everyon', 'snitch']",A fitting way to end the year of the :rat:. Turn everyone into snitches. :face_with_tears_of_joy:
70,70,3,roytankw,They also complicating themselves.,"['also', 'complic']",They also complicating themselves.
71,71,4,su_anklet23,"Last year Hari Raya all celebrated thru vidcalls, zoom etc. At least this yr cny is slightly better. Stay safe everyone.","['last', 'year', 'hari', 'raya', 'celebr', 'thru', 'vidcal', 'zoom', 'etc', 'least', 'yr', 'cni', 'slightli', 'better', 'stay', 'safe', 'everyon']","Last year Hari Raya all celebrated thru vidcalls, zoom etc. At least this yr cny is slightly better. Stay safe everyone."
72,72,5,glaringbliss,You all still lucky can AT LEAST go visit on CNY. We last year Hari Raya video call only.,"['still', 'lucki', 'least', 'go', 'visit', 'cni', 'last', 'year', 'hari', 'raya', 'video', 'call']",You all still lucky can AT LEAST go visit on CNY. We last year Hari Raya video call only.
73,73,6,faruq.mk62,To all sporean just follow up enforcement actions fm mom to safe ur love one what PM Lee said ok,"['sporean', 'follow', 'enforc', 'action', 'fm', 'mom', 'safe', 'ur', 'love', 'one', 'pm', 'lee', 'said', 'ok']",To all sporean just follow up enforcement actions fm mom to safe ur love one what PM Lee said ok
74,74,7,legendpvper,Let's see how many people actually comply,"['let', 'see', 'mani', 'peopl', 'actual', 'compli']",Let's see how many people actually comply
75,75,8,vadimt84,Cancel cny please.,"['cancel', 'cni', 'pleas']",Cancel cny please.
76,76,9,thinktwicefirst,"How about foreign workers staying at apartments and condos, already 6 not from the same family staying together in one unit, can they accept 8 distinct visitors in a day too?","['foreign', 'worker', 'stay', 'apart', 'condo', 'alreadi', 'famili', 'stay', 'togeth', 'one', 'unit', 'accept', 'distinct', 'visitor', 'day']","How about foreign workers staying at apartments and condos, already 6 not from the same family staying together in one unit, can they accept 8 distinct visitors in a day too?"
77,77,10,teckthye_17051997,Who is the one causing the migrant workers Dormitory having the covid Outbreak ? Who is the one who stop the Migraine workers for covid test ? Who the one who said if the Contractor Continue to send Migrant workers covid test work Permit will be terminated ? Please step down as a top civil servants than you talk . A good Government must be Responsible for what they have done. Don’t just talk on action too late . We as a citizen will no what to do in coming elections who to vote for,"['one', 'caus', 'migrant', 'worker', 'dormitori', 'covid', 'outbreak', 'one', 'stop', 'migrain', 'worker', 'covid', 'test', 'one', 'said', 'contractor', 'continu', 'send', 'migrant', 'worker', 'covid', 'test', 'work', 'permit', 'termin', 'pleas', 'step', 'top', 'civil', 'servant', 'talk', 'good', 'govern', 'must', 'respons', 'done', 'talk', 'action', 'late', 'citizen', 'come', 'elect', 'vote']",Who is the one causing the migrant workers Dormitory having the covid Outbreak ? Who is the one who stop the Migraine workers for covid test ? Who the one who said if the Contractor Continue to send Migrant workers covid test work Permit will be terminated ? Please step down as a top civil servants than you talk . A good Government must be Responsible for what they have done. Don’t just talk on action too late . We as a citizen will no what to do in coming elections who to vote for
78,78,11,teckthye_17051997,Pls Continue to import foreigners with Covid thanks for all this .,"['pl', 'continu', 'import', 'foreign', 'covid', 'thank']",Pls Continue to import foreigners with Covid thanks for all this .
