,Post Description,Post Datetime,Comments,Comment Datetime,num_words
35,"the ministry of health has confirmed 183 new cases of covid-19 on monday (july 6).⁣⁣⁣
⁣⁣⁣
three of the community cases are singaporeans or permanent residents and 20 are work pass holders. ⁣⁣⁣
⁣⁣⁣
the moh said of the 23 community cases, five were close contacts of earlier cases, and had already been placed on quarantine. another seven are migrant workers who reside together at a temporary accommodation arranged by their company. ⁣⁣⁣
⁣⁣⁣
the total number of covid-19 cases in singapore now stands at 44,983.⁣⁣⁣
⁣⁣⁣
more in #linkinbio",2020-07-06 08:27:56+00:00,Yup.. I think Lock down again soon.. Sigh.. May God bless n protect each n everyone of us.. 🙏,2020-07-06 11:34:48+00:00,18
38,"the ministry of health (moh) has confirmed 136 new cases of covid-19 on sunday (july 5).⁣⁣⁣
⁣⁣⁣
there are 18 new community cases. amongst the cases, six are singaporeans or permanent residents and 12 are work pass holders.⁣⁣⁣
⁣⁣⁣
in addition, there are seven imported cases, all of whom had been placed on a stay-home notice upon arrival in singapore.⁣⁣⁣
⁣⁣⁣
the majority of the new cases are work permit holders residing in foreign worker dormitories.",2020-07-05 08:12:52+00:00,Still trying to allow SHN people to vote?,2020-07-05 09:12:30+00:00,8
40,"the ministry of health (moh) has confirmed 136 new cases of covid-19 on sunday (july 5).⁣⁣⁣
⁣⁣⁣
there are 18 new community cases. amongst the cases, six are singaporeans or permanent residents and 12 are work pass holders.⁣⁣⁣
⁣⁣⁣
in addition, there are seven imported cases, all of whom had been placed on a stay-home notice upon arrival in singapore.⁣⁣⁣
⁣⁣⁣
the majority of the new cases are work permit holders residing in foreign worker dormitories.",2020-07-05 08:12:52+00:00,Why do we still have imported cases?,2020-07-05 10:43:25+00:00,7
41,"the ministry of health (moh) has confirmed 136 new cases of covid-19 on sunday (july 5).⁣⁣⁣
⁣⁣⁣
there are 18 new community cases. amongst the cases, six are singaporeans or permanent residents and 12 are work pass holders.⁣⁣⁣
⁣⁣⁣
in addition, there are seven imported cases, all of whom had been placed on a stay-home notice upon arrival in singapore.⁣⁣⁣
⁣⁣⁣
the majority of the new cases are work permit holders residing in foreign worker dormitories.",2020-07-05 08:12:52+00:00,"With all these rising cases, the GE is still insisted to carry on. This shows how much the current government cares for our well being. It’s always their ways and our voices fall on deaf ears. This pandemic makes me realise we need a voice who can speak on behalf for us and a ear that will hear what we said more than ever before. If you want Singaporean first now and in future, please choose wisely. Gone were the days of the competence PAP who really put our interest first.",2020-07-05 10:57:05+00:00,92
42,"the ministry of health (moh) has confirmed 136 new cases of covid-19 on sunday (july 5).⁣⁣⁣
⁣⁣⁣
there are 18 new community cases. amongst the cases, six are singaporeans or permanent residents and 12 are work pass holders.⁣⁣⁣
⁣⁣⁣
in addition, there are seven imported cases, all of whom had been placed on a stay-home notice upon arrival in singapore.⁣⁣⁣
⁣⁣⁣
the majority of the new cases are work permit holders residing in foreign worker dormitories.",2020-07-05 08:12:52+00:00,I was so excited when i opened my wallet and saw my payment of $8500. What a boost! . you know exactly what I wanted. Thank you so much for the payment @marie_crypto_trade1,2020-07-05 11:13:27+00:00,30
45,"the ministry of health (moh) has confirmed 136 new cases of covid-19 on sunday (july 5).⁣⁣⁣
⁣⁣⁣
there are 18 new community cases. amongst the cases, six are singaporeans or permanent residents and 12 are work pass holders.⁣⁣⁣
⁣⁣⁣
in addition, there are seven imported cases, all of whom had been placed on a stay-home notice upon arrival in singapore.⁣⁣⁣
⁣⁣⁣
the majority of the new cases are work permit holders residing in foreign worker dormitories.",2020-07-05 08:12:52+00:00,"Pity the government...Lockdown people scold them..cos pple cannot to business, earn money n feed their families...DON'T lockdown pple also not happy cos worried virus will spread ..v difficult to make decisions..Tats y don't understand why pple still want to ""fight so hard to get votes to serve the people n get scolded n criticise..",2020-07-06 01:56:02+00:00,56
46,"the ministry of health (moh) has confirmed 136 new cases of covid-19 on sunday (july 5).⁣⁣⁣
⁣⁣⁣
there are 18 new community cases. amongst the cases, six are singaporeans or permanent residents and 12 are work pass holders.⁣⁣⁣
⁣⁣⁣
in addition, there are seven imported cases, all of whom had been placed on a stay-home notice upon arrival in singapore.⁣⁣⁣
⁣⁣⁣
the majority of the new cases are work permit holders residing in foreign worker dormitories.",2020-07-05 08:12:52+00:00,But still I respect PAP for pressing on despite all these...So continue to  加油吧。。👍😊💕,2020-07-06 01:57:05+00:00,14
47,"the ministry of health (moh) has confirmed 136 new cases of covid-19 on sunday (july 5).⁣⁣⁣
⁣⁣⁣
there are 18 new community cases. amongst the cases, six are singaporeans or permanent residents and 12 are work pass holders.⁣⁣⁣
⁣⁣⁣
in addition, there are seven imported cases, all of whom had been placed on a stay-home notice upon arrival in singapore.⁣⁣⁣
⁣⁣⁣
the majority of the new cases are work permit holders residing in foreign worker dormitories.",2020-07-05 08:12:52+00:00,it do really be like 📈📉📈📉📈📉📈📉,2020-07-06 08:08:17+00:00,5
48,"the moh discovered nine new covid-19 infections in two separate households in block 111 on tampines street 11. 

a 66-year-old singaporean man who works at leo dormitory was confirmed to have the disease on june 23. six of his household members later tested positive. 

then, on june 27, a 15-year-old singaporean girl from a separate household reported sick and tested positive for the coronavirus. one of her household members also contracted the disease.

however, no links have been established between the two households so far, the moh said. 

more details in the #linkinbio",2020-07-02 14:00:53+00:00,"“ah shit, here we go again”",2020-07-02 14:01:19+00:00,6
51,"the moh discovered nine new covid-19 infections in two separate households in block 111 on tampines street 11. 

a 66-year-old singaporean man who works at leo dormitory was confirmed to have the disease on june 23. six of his household members later tested positive. 

then, on june 27, a 15-year-old singaporean girl from a separate household reported sick and tested positive for the coronavirus. one of her household members also contracted the disease.

however, no links have been established between the two households so far, the moh said. 

more details in the #linkinbio",2020-07-02 14:00:53+00:00,"I honestly do not get it.. If we are ALL supposed to wear a mask the moment we step out of our homes even if only it is just to go down to check the letter box for letters then how can we be so easily  infected just cos pple at the block are infected? So does it means tat wearing a mask actually don't really protect us or what? Or is it cos we are packed into a crowded lift? But even so is only a minute or 2 inside the lift.. If even by wearing a mask, pple can still get infected so speedily n easily is truly scary.. Sigh",2020-07-03 01:19:46+00:00,110
52,"the moh discovered nine new covid-19 infections in two separate households in block 111 on tampines street 11. 

a 66-year-old singaporean man who works at leo dormitory was confirmed to have the disease on june 23. six of his household members later tested positive. 

then, on june 27, a 15-year-old singaporean girl from a separate household reported sick and tested positive for the coronavirus. one of her household members also contracted the disease.

however, no links have been established between the two households so far, the moh said. 

more details in the #linkinbio",2020-07-02 14:00:53+00:00,"BLK Want want want, ST want want",2020-07-03 07:51:36+00:00,7
55,"the ministry of health has confirmed 291 new cases of covid-19 on saturday (june 27).⁣
⁣
there are 11 new community cases based on the ministry's investigations so far.⁣
⁣
five cases are singaporeans or permanent residents and six are work pass holders.⁣
⁣
the majority of the new cases are work permit holders residing in foreign worker dormitories.⁣
⁣
the total number of covid-19 cases in singapore now stands at 43,246.",2020-06-27 07:31:17+00:00,"Good day everyone don’t throw away your old money (coin or note) bring all to me and make a huge amount of money from your old items Malaysia 🇲🇾,Brunei , Singapore 🇸🇬 Jordan 🇯🇴 China 🇨🇳 with ALMIGHTY ALLAH everything is possible 💯💯💯",2020-06-27 07:38:20+00:00,39
56,"the ministry of health has confirmed 291 new cases of covid-19 on saturday (june 27).⁣
⁣
there are 11 new community cases based on the ministry's investigations so far.⁣
⁣
five cases are singaporeans or permanent residents and six are work pass holders.⁣
⁣
the majority of the new cases are work permit holders residing in foreign worker dormitories.⁣
⁣
the total number of covid-19 cases in singapore now stands at 43,246.",2020-06-27 07:31:17+00:00,This isn’t end before vaccine found,2020-06-27 07:44:28+00:00,7
59,"the ministry of health has confirmed 113 new cases of covid-19 on thursday (june 25).⁣
⁣
there are five new community cases based on the ministry's investigations so far.⁣
⁣
one case is a singaporean and four are work pass holders.⁣
⁣
the majority of the new cases are work permit holders residing in foreign worker dormitories.⁣
⁣
the total number of covid-19 cases in singapore now stands at 42,736.",2020-06-25 07:29:29+00:00,You are my source of inspiration when all hope was lost you bring life to me again with your amazing trading signals $17000 is more than enough to start life again @btrade_michelle_calil,2020-06-25 08:24:13+00:00,30
61,"the ministry of health has confirmed 113 new cases of covid-19 on thursday (june 25).⁣
⁣
there are five new community cases based on the ministry's investigations so far.⁣
⁣
one case is a singaporean and four are work pass holders.⁣
⁣
the majority of the new cases are work permit holders residing in foreign worker dormitories.⁣
⁣
the total number of covid-19 cases in singapore now stands at 42,736.",2020-06-25 07:29:29+00:00,"Sometimes life pushes you to do what you don’t feel doing. I don’t want to venture into trading but I have no other option than to do it,with the way life has frustrated me. I meet @trader_robert_mark I just recieve my profit",2020-06-25 08:53:18+00:00,44
63,"the ministry of health has confirmed 113 new cases of covid-19 on thursday (june 25).⁣
⁣
there are five new community cases based on the ministry's investigations so far.⁣
⁣
one case is a singaporean and four are work pass holders.⁣
⁣
the majority of the new cases are work permit holders residing in foreign worker dormitories.⁣
⁣
the total number of covid-19 cases in singapore now stands at 42,736.",2020-06-25 07:29:29+00:00,"My 2020 has been the best year of my life, finally now I can afford a better living now, being more financially buoyant, from making a significant profit from trading Forex and Stocks with Roberto, you can give it a try and watch your life change, for this @trader_robert_mark is the real deal",2020-06-25 09:29:50+00:00,51
64,"the ministry of health has confirmed 113 new cases of covid-19 on thursday (june 25).⁣
⁣
there are five new community cases based on the ministry's investigations so far.⁣
⁣
one case is a singaporean and four are work pass holders.⁣
⁣
the majority of the new cases are work permit holders residing in foreign worker dormitories.⁣
⁣
the total number of covid-19 cases in singapore now stands at 42,736.",2020-06-25 07:29:29+00:00,"@btrade_michelle_calil I thought it was all fake but this platform proved my instincts wrong,is barely a week I started yet I have received bountiful profit  I must confess she is the best@btrade_michelle_calil",2020-06-25 09:43:36+00:00,32
