,Post Description,Post Datetime,Comments,Comment Datetime,num_words
110,"The majority of the reported infections continue to be work permit holders residing in foreign worker dormitories. #linkinbio

Photo from TTSH/FB.",2020-05-23 08:23:32+00:00,Looks like it's gonna continue for another month at least at this rate 600+ a day or more,2020-05-23 08:36:11+00:00,16
112,"The majority of the reported infections continue to be work permit holders residing in foreign worker dormitories. #linkinbio

Photo from TTSH/FB.",2020-05-23 08:23:32+00:00,CB is kinda useless ngl if people don’t listen 🤡,2020-05-23 08:51:56+00:00,10
115,"The majority of the reported infections continue to be work permit holders residing in foreign worker dormitories. #linkinbio

Photo from TTSH/FB.",2020-05-23 08:23:32+00:00,Cb won't extend is good news!,2020-05-23 10:00:40+00:00,5
118,"The majority of the reported infections continue to be work permit holders residing in foreign worker dormitories. #linkinbio

Photo from TTSH/FB.",2020-05-23 08:23:32+00:00,No ending for FW cases.....,2020-05-23 11:04:22+00:00,5
120,"The majority of the reported infections continue to be work permit holders residing in foreign worker dormitories. #linkinbio

Photo from TTSH/FB.",2020-05-23 08:23:32+00:00,The number of cases are so high everyday. Does this mean that almost all of the workers in the dormitories are infected? This is a systemic failure on the part of the government (& by extension the people). How can we betray the people who have taken care of our country?,2020-05-23 23:28:01+00:00,50
121,"Workers must be segregated into teams according to their different tasks, confined to designated zones, and stagger their break times. The principle, says BCA, is to minimise interaction between workers at their worksites.

Interaction between different teams or shifts even outside of work is forbidden. #linkinbio",2020-05-15 15:07:24+00:00,finally la the road opp my house close dk how long alr,2020-05-15 15:09:10+00:00,12
123,"Workers must be segregated into teams according to their different tasks, confined to designated zones, and stagger their break times. The principle, says BCA, is to minimise interaction between workers at their worksites.

Interaction between different teams or shifts even outside of work is forbidden. #linkinbio",2020-05-15 15:07:24+00:00,Thanks for building our roads and homes 🏡,2020-05-15 15:11:29+00:00,7
124,"Workers must be segregated into teams according to their different tasks, confined to designated zones, and stagger their break times. The principle, says BCA, is to minimise interaction between workers at their worksites.

Interaction between different teams or shifts even outside of work is forbidden. #linkinbio",2020-05-15 15:07:24+00:00,How to distance on site sia 😂,2020-05-15 15:11:49+00:00,6
125,"Workers must be segregated into teams according to their different tasks, confined to designated zones, and stagger their break times. The principle, says BCA, is to minimise interaction between workers at their worksites.

Interaction between different teams or shifts even outside of work is forbidden. #linkinbio",2020-05-15 15:07:24+00:00,appreciate them more. some people really damn ungrateful and can only think about how much of them made the covid-19 numbers increase in singapore... y’all don’t appreciate and don’t know how much they play a part in our lives.,2020-05-15 15:15:55+00:00,42
127,"Workers must be segregated into teams according to their different tasks, confined to designated zones, and stagger their break times. The principle, says BCA, is to minimise interaction between workers at their worksites.

Interaction between different teams or shifts even outside of work is forbidden. #linkinbio",2020-05-15 15:07:24+00:00,How to social distance on site sia,2020-05-15 16:18:59+00:00,7
