Unnamed: 0,Unnamed: 0.1,id,date,time,Comments,hashtags,num_words,Topic,Length,Length Category,Average Loglikelihood,Num Verbs,Num Discourse Relations,Num Pronouns,Relevance score,Relevance Score Category,actionable,valuable
56,70,1.28486e+18,19/7/20,22:35:29,"Things are already pretty normal here, apart from the mask and checking-in with SafeEntry. And the numbers doesn’t really spike either. Perks of being a well-educated nation.",[],26,Safe Entry,27,2,-11.853152254844408,3,1,0,4.600799974507785,0,0,0.0
57,71,1.28267e+18,13/7/20,21:24:35,overheard at dinner in town - “bruh I have more SafeEntry tabs open than porn on my phone sia”,[],18,Safe Entry,19,1,-13.635710419520638,2,0,2,4.600799974507785,0,0,0.0
58,73,1.28193e+18,11/7/20,20:39:43,"Resumption of masses #massresumption #catholicchurch #catholic #covid19 #coronavirus #phase2 #socialdistancing #safeentry #holyeucharist #holycommunion #amen #prayer #blessings @ Church of St Bernadette, Singapore  https://t.co/bpX49gltx2","['massresumption', 'catholicchurch', 'catholic', 'covid19', 'coronavirus', 'phase2', 'socialdistancing', 'safeentry', 'holyeucharist', 'holycommunion', 'amen', 'prayer', 'blessings']",8,Safe Entry,8,0,-19.22114218800286,0,0,0,1.9163009291077386,0,0,0.0
59,74,1.28149e+18,10/7/20,15:26:14,Don’t think I’ve ever checked out from the safe entry thing before,[],14,Safe Entry,12,1,-10.831314725182185,2,0,0,8.595831892535434,1,0,0.0
60,75,1.27955e+18,5/7/20,7:05:54,Safe entry check in deposit cash (@ UOB Autolobby in Singapore)  https://t.co/3FwglFjApv,[],10,Safe Entry,10,0,-15.732974843776361,0,0,0,3.956308328969229,0,0,0.0
61,76,1.27885e+18,3/7/20,8:48:42,"Safe entry check in (@ Jason Tan's Residence in Singapore, )  https://t.co/ukHAqLRpPj",[],8,Safe Entry,9,0,-15.164160174750746,0,0,0,6.711954922277474,1,0,0.0
62,77,1.27856e+18,2/7/20,13:13:55,When you asks customer to scan the safeEntry and they said the phone camera is inactivate and not everyone have the phone camera. BRUHHHH! It’s literally 2020 🤷🏻‍♀️,[],27,Safe Entry,27,2,-10.974084233177415,5,1,1,5.659834081018174,1,0,0.0
63,78,1.27831e+18,1/7/20,21:01:08,Safe entry check-in  / / Our restaurant is open now for dine-in but we are happy to pack for takeaway.  We are still committed to ensuring the well being of our customers and co-workers. Strict preventive measures…  https://t.co/3VBh7qKwPq,[],32,Safe Entry,35,2,-12.428797249053357,7,3,3,5.472696338814407,1,0,0.0
64,79,1.27824e+18,1/7/20,16:13:02,"In #Singapore #taxi cabs, mandatory check-ins to the government’s #SafeEntry contact tracing system. #covidlife #coronavirus #sglife #taxicab #covid_19 #covid19  https://t.co/fNOgAVlBKI","['singapore', 'taxi', 'safeentry', 'covidlife', 'coronavirus', 'sglife', 'taxicab', 'covid_19', 'covid19']",10,Safe Entry,10,0,-17.074017010474062,1,0,0,3.4614944172067914,0,0,0.0
65,80,1.27751e+18,29/6/20,16:06:21,"What if we,,, took our temperature... at the checkpoint 🤔🤔👀👀 before  we entered the mall 😳😳... what if we,,, kissed by the,, safe entry qr code,,, 👀 👀 and forgot to,, check out,, together 😚😚",[],30,Safe Entry,30,2,-11.102359333810623,5,2,2,5.472696338814408,1,0,0.0
66,81,1.27747e+18,29/6/20,13:19:24,SafeEntry Tips and Tricks - How to Create Shortcuts and Use the SingPass App Like a Pro in Singapore   https://t.co/sJpg4FOGNq  #singapore #news #sgnews #safeentry #guide #tips #safedistancing #socialdistancing,"['singapore', 'news', 'sgnews', 'safeentry', 'guide', 'tips', 'safedistancing', 'socialdistancing']",18,Safe Entry,19,1,-16.820559587984018,1,1,0,2.3587985809617456,0,0,0.0
67,82,1.2774e+18,29/6/20,8:45:02,All visitors will need to pass through #Therma and get #OneScan to register their information and check-in with #SafeEntry in a seamless step. @ Pseudoscops  https://t.co/2h66sFkLIj,"['therma', 'onescan', 'safeentry']",20,Safe Entry,21,1,-13.287046786805433,4,1,0,3.8201741446893926,0,0,0.0
68,84,1.27692e+18,28/6/20,0:45:02,I am SICK AND TIRED of scanning safe entry qr codes,[],11,Safe Entry,11,1,-15.14571583081218,2,1,0,6.711954922277475,1,0,0.0
69,85,1.27645e+18,26/6/20,17:30:02,Shopping is no longer a walk in the park... Even my phone couldn't handle the number of SafeEntry ins and outs!  (I was not even window shopping or browsing) #safeentry #sgunited @ Singapore  https://t.co/gKdAY4EmO3,"['safeentry', 'sgunited']",29,Safe Entry,30,2,-12.695239618027784,4,2,1,2.587154798946111,0,0,0.0
70,86,1.2762e+18,26/6/20,1:19:31,"The new thing — the instantaneous electronic temperature check station with the QR code to scan into the #Singapore government’s #SafeEntry site so you can log exactly when you enter &amp; leave a restaurant, store, mall, etc. This was at Long Ji, one of my fave seafood restaurants.  https://t.co/9hdHLy0yrF","['singapore', 'safeentry']",45,Safe Entry,45,2,-12.76813608563854,6,1,2,1.6469353441242927,0,0,0.0
71,89,1.27573e+18,24/6/20,17:45:49,"Safe-N3 Temperature Screening Terminal with SafeEntry enabled by ID Card Basic ( Temperature Scanning, Mask Detection ) Enhanced ( Temperature Scanning, Mask Detection, SafeEntry Check In, SafeEntry Check Out…  https://t.co/X5y53Xb6Tg",[],25,Safe Entry,26,2,-18.621560352394507,1,0,0,1.944385593889365,0,0,0.0
72,90,1.27545e+18,23/6/20,23:41:21,She makes me check out at every SafeEntry @ Jewel Changi Airport  https://t.co/2cmczbBvFW,[],11,Safe Entry,11,1,-15.090684014770469,2,0,1,6.711954922277474,1,0,0.0
73,91,1.2753e+18,23/6/20,13:22:28,"@daphnemaia @ofmeowandbake Normally Singpass, though I will use the tracetogether IC barcode for those need to enter by scanning IC. Certain places are required to implement the SafeEntry NRIC instead the QR.",[],30,Safe Entry,30,2,-14.043425353692205,6,2,1,2.4215157340680813,0,0,0.0
74,92,1.27525e+18,23/6/20,10:18:37,"I mean the SafeEntry app, should have 4 languages",[],8,Safe Entry,9,0,-11.588103205257232,2,0,0,11.752638235706197,2,1,0.0
75,93,1.27524e+18,23/6/20,9:39:51,SafeEntry should support 4 languages for the seniors to use. So called the National Digital Check In System but only English??? #govtech #smartnation #SGUnited #safeentry @GovTechSG @IMDAsg @govsingapore,"['govtech', 'smartnation', 'sgunited', 'safeentry']",20,Safe Entry,21,1,-14.199498600645246,3,1,0,2.4215157340680804,0,1,0.0
76,94,1.27432e+18,20/6/20,20:33:40,"Contact less delivery + Cash less payment + Safe entry checkin* = New normal   *Safe entry is Singapore’s one stop checkin / checkout API to be used at every single shop, restaurant, mall, business for easy contact tracing.  #PostLockdownScenes #COVID19 #Singapore  https://t.co/JruZBvaDzh","['postlockdownscenes', 'covid19', 'singapore']",35,Safe Entry,34,2,-14.724431457368533,5,0,0,1.444015646269344,0,0,0.0
