,index,Sentences,Comment Datetime,Textblob_polarity_score,Textblob_subjectivity_score,Vader_neg_score,Vader_neu_score,Vader_pos_score,Vader_compound_score,Emotions
2215,2705,Dear Respectful and loving Prime Minister of Singapore.,4/6/20,0.55,0.825,0.0,0.345,0.655,0.8591,sadness
2250,2740,"If there is one thing that is particularly poignant for me in this Covid hit CB period - its that as a society, we moved forward.",27/5/20,0.0,0.5,0.0,1.0,0.0,0.0,sadness
2273,2763,"But, if only the gov can return us our cpf I am confident that we seniors can also chip in to help the rest that is unfortunate on such pandemic situation 🙏🙏🙏🙏🙏🙏",26/5/20,0.0,0.8333333333333334,0.081,0.759,0.16,0.4404,sadness
2291,2781,"I live in my parents home , but because it is not HDB, I don't get any grant despite being jobless.",27/5/20,0.13636363636363635,0.5,0.136,0.864,0.0,-0.395,sadness
2294,2784,"True..,after so many decades of independence..,((this is the time that Singapore went into depression))..,((but I salute to our founding father to lay a strong foundation and our forefathers))..,to build a strong and good country for us..,market is so bad now..,((GST muz be waived off or reduced to certain percentage))..,((as now eased of circuit breaker is coming soon))..,((as mentioned and their words of honor))..,((let us faced with the others n our ruling government))..,((from 3rd to 1st world))..,unless Singapore do some changes,((GST waived or drop to certain percentage))..,((secondly,encourage a free market))..,((thirdly..,maintain a good public relations between fellow Singaporeans))..,there's a saying goes..,((a country makes up people than can grow into an rich and prosperous country))..,((if everyone only think of themselves))..,((how can an country strive))??",26/5/20,0.2515567765567765,0.584065934065934,0.048,0.74,0.212,0.9664,sadness
2302,2792,It must have been a really tough decision to make as it cuts deep into our GDP.,26/5/20,-0.19444444444444445,0.6166666666666667,0.222,0.778,0.0,-0.4576,sadness
2309,2799,Unfortunate or unlucky.,26/5/20,-0.5,1.0,0.6,0.4,0.0,-0.4588,sadness
2316,2806,"As a Singaporean, it is immensely painful to have to dig deep into our reserves of which we’ve saved since our independence.",26/5/20,-0.35,0.65,0.117,0.769,0.113,-0.0258,sadness
2317,2807,My grandparents worked hard for these savings.,26/5/20,-0.2916666666666667,0.5416666666666666,0.189,0.811,0.0,-0.1027,sadness
2355,2845,I am trying to find a job in the market myself and feel glad that you truly understand what some of us are really feeling now in the current situation even though it is not so larger population in general.,28/3/20,0.15,0.52,0.0,0.82,0.18,0.7713,sadness
2357,2847,"I have faith in you and your cabinet, Mr PM Sir, to chart our course, out of this very difficult period- the most challenging, SG has faced!",28/3/20,0.15833333333333333,0.8333333333333334,0.091,0.747,0.162,0.2942,sadness
2359,2849,Even the US of A looks so ill prepared and has now become the new epicenter for the virus.,28/3/20,-0.18181818181818182,0.7272727272727273,0.166,0.734,0.1,-0.3481,sadness
2373,2863,Stay strong my fellow singaporean,28/3/20,0.4333333333333333,0.7333333333333333,0.0,0.548,0.452,0.5106,sadness
2389,2879,"If it can’t be done, what will happen to the rest of the Self-Employed after the 133,333th person (as the funds can only help that amount) who applies for the SIRS?",1/5/20,0.0,1.0,0.0,0.917,0.083,0.4019,sadness
2401,2892,"Personally, I feel that it is for a worthy cause , not only for us but for the rest of the world as well.",24/3/20,0.1111111111111111,0.7666666666666666,0.0,0.805,0.195,0.5574,sadness
2408,2899,Agencies unable to substance and Singaporean will be losing their job.,24/3/20,-0.5,0.5,0.206,0.794,0.0,-0.3818,sadness
2423,2914,"Once they have come into contact with so many, and someone were to sneeze, it doesn't matter if the rest of the day they are sitting a mile from the rest.",24/3/20,0.5,0.5,0.036,0.964,0.0,-0.0191,sadness
2457,2963,This does not help us at all as business has been bad.,27/2/20,-0.6999999999999998,0.6666666666666666,0.365,0.635,0.0,-0.6964,sadness
2500,3006,Easy to advise only without knowing the situation at the pharmacies.,20/2/20,0.21666666666666667,0.9166666666666667,0.0,0.775,0.225,0.4404,sadness
2551,3058,"“It shouted to one’s ear, to realize what is called ""Good Times”, feel what is true love on earth.",20/2/20,0.5166666666666666,0.6166666666666667,0.0,0.618,0.382,0.872,sadness
2593,3100,Do away projects or purchases which can not earn income and not necessary.,26/2/21,0.0,1.0,0.0,1.0,0.0,0.0,sadness
2609,3116,"The next wave is after effect of self inflicted,  artificial jack up the share market during depression.",26/2/21,-0.3,0.5,0.177,0.718,0.105,-0.3612,sadness
2636,3143,"Do not do things that upset others because the media is doing its job and they can do no more, so we respectfully request not to comment in every news about Burma.",17/2/21,0.125,0.6,0.13,0.783,0.088,-0.1426,sadness
2646,3153,Take home pay decrease and unable to meet household expenses!,17/2/21,-0.625,0.5,0.158,0.842,0.0,-0.1759,sadness
2658,3166,If the person not working does not have CPF and mediasave how to afford all this thing's right?,16/2/21,0.2857142857142857,0.5357142857142857,0.0,1.0,0.0,0.0,sadness
2673,3181,This is the sad local hiring culture!,17/2/21,-0.25,0.5,0.361,0.639,0.0,-0.5255,sadness
