,Comment Datetime,Textblob_polarity_score,Textblob_subjectivity_score,Vader_neg_score,Vader_neu_score,Vader_pos_score,Vader_compound_score,SMA_1,SMA_3,SMA_5,SMA_7,SMA_14
47,2020-02-28,0.11315719696969695,0.6648688973063972,0.10194999999999999,0.7575000000000001,0.140575,0.08283000000000001,0.08283000000000001,0.10632666666666662,0.10687600000000001,0.11243047619047619,0.06065323129251702
48,2020-02-29,0.3344632549989693,0.6432475262832406,0.058571428571428566,0.6457857142857143,0.29564285714285715,0.3533714285714286,0.3533714285714286,0.11236714285714283,0.1550102857142857,0.12682163265306123,0.08688154761904764
49,2020-03-01,0.32,0.76,0.0,0.657,0.343,0.5161,0.5161,0.3174338095238095,0.23769028571428574,0.20055020408163265,0.11960119047619049
50,2020-03-03,0.487037037037037,0.7824691358024691,0.029777777777777778,0.6151111111111112,0.35511111111111116,0.5167333333333333,0.5167333333333333,0.4620682539682539,0.27398695238095233,0.25826925170068027,0.19413214285714284
51,2020-03-04,0.05034013605442178,0.7891156462585034,0.05285714285714286,0.7975714285714286,0.14971428571428572,0.15332857142857145,0.15332857142857145,0.3953873015873015,0.32447266666666663,0.2655019047619048,0.18812704081632653
52,2020-03-05,0.04678030303030304,0.6839856902356902,0.03411111111111111,0.8453333333333334,0.12055555555555555,0.1740666666666667,0.1740666666666667,0.28137619047619045,0.34272,0.2424757142857143,0.1777151360544218
53,2020-03-07,-0.004513888888888873,0.6833333333333333,0.0995,0.766625,0.13387500000000002,0.0826625,0.0826625,0.13668591269841268,0.2885782142857143,0.26844178571428573,0.16545184523809522
54,2020-03-08,0.5166666666666666,0.775,0.0,0.5805,0.4195,0.73055,0.73055,0.3290930555555555,0.33146821428571427,0.36097321428571433,0.23670184523809526
55,2020-03-09,0.11388888888888887,0.8083333333333332,0.112,0.777,0.11066666666666668,0.016733333333333333,0.016733333333333333,0.2766486111111111,0.2314682142857143,0.3128820578231292,0.21985184523809526
56,2020-03-10,-0.3833333333333333,0.9666666666666667,0.1386666666666667,0.7626666666666666,0.09866666666666668,-0.0188,-0.0188,0.24282777777777775,0.1970425,0.23646777210884354,0.21850898809523808
