,index,Sentences,Comment Datetime,Textblob_polarity_score,Textblob_subjectivity_score,Vader_neg_score,Vader_neu_score,Vader_pos_score,Vader_compound_score,Emotions
1908,2113,I don't see many wearing masks.,20/3/20,0.5,0.5,0.0,1.0,0.0,0.0,neutral
1913,2118,All sat behind.,20/3/20,-0.4,0.7,0.0,1.0,0.0,0.0,neutral
1951,2156,?There are more then 250 students rite??,20/3/20,0.5,0.5,0.0,1.0,0.0,0.0,neutral
1952,2157,?Is that ok??,20/3/20,0.5,0.5,0.0,0.422,0.578,0.4098,neutral
1968,2175,"Precisely,  I used to take 858 long distance to changi airport to work,  always crowded and pack,  what is the measure.",24/3/20,0.17500000000000002,0.6000000000000001,0.0,1.0,0.0,0.0,neutral
1991,2198,Even individuals are allowed to buy 50k boxes easily now.,25/3/20,0.43333333333333335,0.8333333333333334,0.0,0.789,0.211,0.34,neutral
2012,2220,Imagine that person is someone you love dearly.,25/3/20,0.5,0.6,0.0,0.462,0.538,0.7906,neutral
2015,2223,Please stay home and only go out if absolutely necessary.,25/3/20,0.0,1.0,0.0,0.796,0.204,0.3182,neutral
2021,2229,A lot business with no entry to their premises and coffee shop did not comply safe entry requirements and more complacence.,29/6/20,0.5,0.5,0.204,0.796,0.0,-0.5583,neutral
2082,2290,Stay home & buy essential what you need only.,28/3/20,0.0,0.65,0.0,1.0,0.0,0.0,neutral
2098,2306,Self discipline your own kids.,28/3/20,0.6,1.0,0.0,1.0,0.0,0.0,neutral
2101,2309,Your own kids is your responsibility to handle them.,28/3/20,0.6,1.0,0.0,1.0,0.0,0.0,neutral
2109,2317,"So to tell me,me and wife should safe distance at home to ah?",10/3/21,0.5,0.5,0.0,0.805,0.195,0.4404,neutral
2110,2318,"Understand the need for rules,if its too rigid and there is no efficiency on ground, kinda just paper law.regardless all stay safe and go out when needed imo.",10/3/21,0.5,0.5,0.112,0.725,0.163,0.4019,neutral
2156,2364,"We have enough hatred and morons on earth, I guess we won’t need anymore of your kin.",7/3/21,-0.4,0.75,0.317,0.683,0.0,-0.7579,neutral
2164,2373,They are earning more than $10k each month.,1/3/21,0.5,0.5,0.0,1.0,0.0,0.0,neutral
2175,2384,"Fine, fine and more fine.",2/3/21,0.43750000000000006,0.5,0.0,0.27,0.73,0.5267,neutral
2177,2386,Absolutely nothing.,2/3/21,0.2,0.9,0.0,1.0,0.0,0.0,neutral
2187,2396,Yes it's true that Singapore needs experts to work in the country but that doesn't give them a free pass to do whatever they want.,1/3/21,0.375,0.7250000000000001,0.124,0.696,0.181,-0.0908,neutral
2190,2399,"I'm very sure, these ppl will not do what they did back in their own country.",1/3/21,0.4166666666666667,0.6666666666666666,0.0,0.853,0.147,0.3804,neutral
2202,2411,Always think it won't happen to me lah so lucky meh!.,24/2/21,0.41666666666666663,0.8333333333333334,0.0,0.719,0.281,0.6005,neutral
2203,2412,If there any WP holder get penalties about illegal gathering should let us know.,24/2/21,-0.5,0.5,0.196,0.655,0.149,-0.2185,neutral
2211,2420,"You probably think it's too late to invest in it but the truth of the matter is, it isn't.",24/2/21,-0.3,0.6,0.0,0.806,0.194,0.4767,neutral
2222,2431,Only now then start to get nab.,23/2/21,0.0,1.0,0.0,1.0,0.0,0.0,neutral
2223,2432,Many has earns behind the scene and where's the  🚔 huh?,23/2/21,0.04999999999999999,0.6,0.0,1.0,0.0,0.0,neutral
2248,2459,What can i say... Mr Sani Yusuf provided an Unique trading earnings.,17/2/21,0.375,1.0,0.0,1.0,0.0,0.0,neutral
2249,2460,It is really one of a kind and has it's own league.,17/2/21,0.4666666666666666,0.7000000000000001,0.0,0.732,0.268,0.5667,neutral
2252,2463,"Good job ma Mr Sani Yusuf God will continue to increase you and your family,, you can also invest with him safely.",17/2/21,0.6,0.55,0.0,0.632,0.368,0.8591,neutral
2263,2474,"In most instances, there can be no smoke without fire.",28/1/21,0.5,0.5,0.18,0.654,0.166,-0.0423,neutral
2266,2477,US record is more than 4000  just a day.,27/1/21,0.5,0.5,0.0,1.0,0.0,0.0,neutral
2320,2531,Public and opposition already given you free consultation feedback on this kind issue will happen.,2020-07-17,0.3333333333333333,0.5888888888888889,0.0,0.64,0.36,0.8074,neutral
2324,2535,We want peaceful country.,2020-07-17,0.25,0.5,0.0,0.308,0.692,0.5423,neutral
2325,2536,Maybe we should rank Singapore minister?,2020-07-20,-0.8,0.9,0.0,1.0,0.0,0.0,neutral
2329,2540,Let someone else who can do better do the work please?,2020-07-20,0.5,0.5,0.0,0.634,0.366,0.6369,neutral
2364,2577,Okay.,2020-05-31,0.5,0.5,0.0,0.0,1.0,0.2263,neutral
2380,2593,Why delete your thread if you did nothing wrong?,2020-04-11,-0.5,0.9,0.0,0.758,0.242,0.3724,neutral
2386,2599,Is it that hard to ask?,2020-04-11,-0.2916666666666667,0.5416666666666666,0.219,0.781,0.0,-0.1027,neutral
2403,2616,"If you need to buy groceries for Family, only one person go buy..",2020-04-07,0.0,1.0,0.0,1.0,0.0,0.0,neutral
2420,2633,People from overseas kana so many 😂😂😂😂😂😂😱😱,2020-03-25,0.5,0.5,0.0,1.0,0.0,0.0,neutral
2444,2660,One more lockdown and its curtains for most of sg businesses.,2021-01-23,0.5,0.5,0.0,1.0,0.0,0.0,neutral
2457,2674,Although we all know temperature taking doesn't mean anything but it better than nothing.,2021-01-23,0.09375,0.59375,0.0,0.772,0.228,0.5927,neutral
2469,2686,Base on contain stall that has business with long queues?,2020-04-01,-0.42500000000000004,0.7,0.167,0.833,0.0,-0.2023,neutral
2472,2689,How can this be judged by good or no business or queue.,2020-04-01,0.7,0.6000000000000001,0.146,0.662,0.192,0.1779,neutral
2473,2690,Everyone need to keep safe distance.,2020-04-01,0.5,0.5,0.0,0.633,0.367,0.4404,neutral
2480,2697,If everyone cooperate would  be better.,2021-02-21,0.5,0.5,0.0,0.633,0.367,0.4404,neutral
2502,2727,I see so many ppl exercising at Sengkang Riverside Park!!!,2020-04-09,0.9765625,0.5,0.0,1.0,0.0,0.0,neutral
2509,2734,"People want to be free...we want to do whatever we want...but if you close all these places, more people will stay home.",2020-04-09,0.5,0.5,0.0,0.885,0.115,0.1531,neutral
2511,2736,Do you all understand what does a lockdown even mean?,2020-03-28,-0.3125,0.6875,0.0,1.0,0.0,0.0,neutral
2517,2742,"So my dear Singaporeans, be careful what you wish for.",2020-03-28,-0.1,1.0,0.0,0.494,0.506,0.7334,neutral
2534,2759,Most retails packed goods as close as possible to cover these cost.,2020-03-28,0.25,0.75,0.0,1.0,0.0,0.0,neutral
2539,2764,It’s only a matter of time where every mall will close.,2020-03-28,0.0,1.0,0.0,0.891,0.109,0.0258,neutral
2552,2778,Safe distancing.,2020-03-27,0.5,0.5,0.0,0.256,0.744,0.4404,neutral
2553,2779,All these latest changes are sinking in #surreal,2020-03-27,0.375,0.95,0.0,1.0,0.0,0.0,neutral
2568,2795,"I see so many people asking questions on how if they are with family, babies, etc.",2020-03-27,0.5,0.5,0.0,1.0,0.0,0.0,neutral
2585,2812,I never liked sitting so close in food places.,2020-03-22,-0.3,0.8,0.25,0.75,0.0,-0.3252,neutral
2586,2813,It’s not hygienic and far too noisy.,2020-03-22,0.1,1.0,0.221,0.779,0.0,-0.1779,neutral
2600,2827,Go out only when it is essential.,2020-03-22,0.0,0.65,0.0,1.0,0.0,0.0,neutral
2603,2830,Super crowded and people pushing each other.,2020-03-22,0.10416666666666666,0.5208333333333333,0.0,0.606,0.394,0.5994,neutral
2631,2858,"Before you can solve COVID 19, you are creating more health problems!",2020-03-20,0.625,0.5,0.183,0.553,0.264,0.0807,neutral
2651,2878,"Stay safe, Singapore.",2020-03-14,0.5,0.5,0.0,0.408,0.592,0.4404,neutral
2715,2943,Awesome job!!!,2020-06-10,1.0,1.0,0.0,0.167,0.833,0.7163,neutral
2731,2959,"More jobs will go, schools will have to close for longer periods if the trend don't improve.",2020-04-11,0.5,0.5,0.131,0.869,0.0,-0.3412,neutral
2741,2970,Awesome.,2020-04-11,1.0,1.0,0.0,0.0,1.0,0.6249,neutral
2747,2976,"From Day One, if we have use our Heart, you will be wearing mask is for your loved ones, if we use our brain, will be thinking no need to wear mask cos you are well, cos you are thinking only you and yourSELF.",2020-04-05,0.35,0.9,0.045,0.833,0.122,0.5859,neutral
2755,2984,And why need to wear a mask even for one or two minutes only !,2021-01-23,0.0,1.0,0.0,1.0,0.0,0.0,neutral
2764,2994,it makes me vulnerable.,2021-01-09,-0.5,0.5,0.388,0.612,0.0,-0.2263,neutral
2780,3011,It's very hot so bosses and floor managers please take note let workers know it's ok to let dishwashers run full cycle and let the dishes cool down abit before taking then out.,2020-07-27,0.27388888888888885,0.5977777777777777,0.0,0.815,0.185,0.7003,neutral
2784,3015,Everyone eating out please help to do this we all want to remain open for business and working .,2020-07-27,0.0,0.5,0.0,0.704,0.296,0.6486,neutral
2785,3016,"Ask them go prinsep Street there and catch, sure can get more fines and close more shop.",2020-07-26,0.5,0.6296296296296297,0.0,0.874,0.126,0.3182,neutral
